mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	crescendo_hairpin	crescendo_line
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0						p					
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0	p			0			
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1				0			
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2				0			
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3				0			
2	1	1	1	0.0	0	0	Dynamic	3/4	1	2	0						other-dynamics					
2	1	1	1	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	4							
2	1	1	1	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	5							
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6				0			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	7				0			
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	8							
3	2	4	4	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	9							
3	2	4	4	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	10							
4	3	7	7	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	11				1			
4	3	7	7	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	12							
4	3	7	7	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	13							
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	14				1			
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	15				1			
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16							
5	4	10	10	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	17							
5	4	10	10	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	18							
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	19				2			
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	20							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	21			articStaccatoAbove				
6	5	13	13	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	22							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	23							
6	5	13	13	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	24							
6	5	13	13	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	25							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	26							
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	27				3			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	28							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	29			articStaccatoAbove				
7	6	16	16	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	30							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	31							
7	6	16	16	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	32							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33							
8	7	19	19	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	34				4			
8	7	19	19	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	35	>						
8	7	19	19	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	36							
8	7	21	21	0.0	1/2	1/2	Dynamic	3/4	2	1	0						sf					
