mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	Trill:trill
1	1	0	0	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	0				0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1				0				
1	1	2	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	2				0				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	3								
1	1	0	0	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	4								
2	2	3	3	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	5				1				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	6				1				
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	7				1				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	8								
2	2	3	3	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	9								
3	3	6	6	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	10				2				
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	11				2				
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	12				2				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	13								
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	14								
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	15								
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	16								
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	17				3				
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	18								
4	4	9	9	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	19								
4	4	9	9	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	20								
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	21				4				
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	22				4				
5	5	14	14	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	23				4				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	24								
5	5	12	12	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	25								
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	26				5				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	27				5				
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	28				5				
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	29								
