mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	0	0	0	0.75		0	3/4	Chord	4/4	1	1	3/16	1/8	3/2	0	p	
1	0	3/4	3/4	0.25		3/16	15/16	Chord	4/4	1	1	1/16	1/16	1	1		
2	1	1	1	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	2		
2	1	2	2	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	3		
2	1	11/4	11/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	4		
2	1	3	3	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	5		
2	1	15/4	15/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	6		
2	1	4	4	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	7		
2	1	19/4	19/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	8		
2	1	1	1	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	9		
2	1	3	3	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	10		
2	1	1	1	4.0		0	0	Chord	4/4	2	2	1	1	1	11		
3	2	5	5	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	12		
3	2	8	8	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	13		
3	2	35/4	35/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	14		
3	2	5	5	0.75		0	0	Chord	4/4	2	1	3/16	1/8	3/2	15		
3	2	23/4	23/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	16		
3	2	6	6	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	17		
3	2	27/4	27/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	18		
3	2	7	7	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	19		
3	2	8	8	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	20		
3	2	35/4	35/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	21		
4	3	9	9	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	22		
4	3	10	10	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	23		
4	3	43/4	43/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	24		
4	3	11	11	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25		
4	3	12	12	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	26		
4	3	51/4	51/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	27		
4	3	9	9	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	28		
4	3	10	10	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	29		
4	3	43/4	43/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	30		
4	3	11	11	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	31		
4	3	12	12	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	32		
4	3	51/4	51/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	33		
4	3	9	9	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	34		
4	3	10	10	0.75		1/4	1/4	Chord	4/4	2	2	3/16	1/8	3/2	35		
4	3	43/4	43/4	0.25		7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	36		
4	3	11	11	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	37		
4	3	12	12	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	38		
4	3	51/4	51/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	39		
5	4	13	13	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	40		
5	4	14	14	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	41		
5	4	15	15	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	42		
5	4	16	16	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	43		
5	4	67/4	67/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	44		
5	4	13	13	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	45		
5	4	14	14	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	46		
5	4	15	15	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	47		
5	4	16	16	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	48		
5	4	67/4	67/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	49		
5	4	13	13	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	50		
5	4	14	14	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	51		
5	4	15	15	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	52		
6	5	17	17	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	53		
6	5	18	18	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	54	<	
6	5	75/4	75/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	55		
6	5	19	19	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	56		
6	5	79/4	79/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	57		
6	5	20	20	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	58		
6	5	83/4	83/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	59		
6	5	17	17	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	60		
6	5	18	18	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	61		
6	5	75/4	75/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	62		
6	5	19	19	0.75		1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	63		
6	5	79/4	79/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	64		
6	5	20	20	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	65		
6	5	83/4	83/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	66		
6	5	17	17	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	67		
6	5	19	19	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	68		
6	5	17	17	4.0		0	0	Chord	4/4	2	3	1	1	1	69		
7	6	21	21	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	70	p	
7	6	24	24	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	71		
7	6	99/4	99/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	72		
7	6	21	21	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	73		
7	6	24	24	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	74		
7	6	99/4	99/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	75		
7	6	21	21	0.75		0	0	Chord	4/4	2	2	3/16	1/8	3/2	76		
7	6	87/4	87/4	0.25		3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	77		
7	6	22	22	0.75		1/4	1/4	Chord	4/4	2	2	3/16	1/8	3/2	78		
7	6	91/4	91/4	0.25		7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	79		
7	6	23	23	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	80		
7	6	24	24	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	81		
7	6	99/4	99/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	82		
8	7	25	25	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	83		
8	7	26	26	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	84		
8	7	107/4	107/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	85		
8	7	27	27	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	86		
8	7	28	28	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	87		
8	7	115/4	115/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	88		
8	7	25	25	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	89		
8	7	26	26	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	90		
8	7	107/4	107/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	91		
8	7	27	27	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	92		
8	7	28	28	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	93		
8	7	115/4	115/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	94		
8	7	25	25	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	95		
8	7	26	26	0.75		1/4	1/4	Chord	4/4	2	2	3/16	1/8	3/2	96		
8	7	107/4	107/4	0.25		7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	97		
8	7	27	27	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	98		
8	7	28	28	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	99		
8	7	115/4	115/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	100		
9	8	29	29	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	101		
9	8	30	30	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	102		
9	8	31	31	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	103		
9	8	32	32	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	104		
9	8	131/4	131/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	105		
9	8	29	29	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	106		
9	8	30	30	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	107		
9	8	31	31	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	108		
9	8	32	32	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	109		
9	8	131/4	131/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	110		
9	8	29	29	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	111		
9	8	30	30	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	112		
9	8	31	31	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	113		
10	9	33	33	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	114	<	
10	9	34	34	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	115		
10	9	139/4	139/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	116		
10	9	35	35	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	117		
10	9	143/4	143/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	118		
10	9	36	36	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	119		
10	9	147/4	147/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	120		
10	9	33	33	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	121		
10	9	34	34	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	122		
10	9	139/4	139/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	123		
10	9	35	35	0.75		1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	124		
10	9	143/4	143/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	125		
10	9	36	36	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	126		
10	9	147/4	147/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	127		
10	9	33	33	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	128		
10	9	35	35	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	129		
10	9	33	33	4.0		0	0	Chord	4/4	2	3	1	1	1	130		
11	10	37	37	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	131	f	
11	10	40	40	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	132		
11	10	163/4	163/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	133		
11	10	37	37	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	134		
11	10	40	40	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	135		
11	10	163/4	163/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	136		
11	10	37	37	0.75		0	0	Chord	4/4	2	2	3/16	1/8	3/2	137		
11	10	151/4	151/4	0.25		3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	138		
