mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	0				0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	1								
1	1	0	0	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	2				1				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	3								
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	4								
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	5								
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	6								
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	7								
3	3	4	4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	8				2				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	9								
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	10			articStaccatoBelow					
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	11			articStaccatoBelow					
3	3	4	4	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	12				3				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	13								
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	14			articStaccatoBelow					
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	15			articStaccatoBelow					
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	16								
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	17								
5	5	8	8	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	18				4				
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	19								
5	5	8	8	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	20				5				
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	21								
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	22								
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	23								
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	24								
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	25								
7	7	12	12	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	26				6				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	27								
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	28			articStaccatoAbove					
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	29			articStaccatoAbove					
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	30								
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	31			articStaccatoAbove					
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	32			articStaccatoAbove					
7	7	12	12	0.75	0	0	Chord	2/4	2	2	3/16	1/8	3/2	33				7				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16	1/16	1	34								
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	35								
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	36								
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	37								
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	38								
9	9	16	16	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	39				8				
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	40								
9	9	16	16	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	41				9				
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	42								
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	43								
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	44								
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	45								
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	46								
11	11	20	20	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	47				10				
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	48								
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	49			articStaccatoAbove					
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	50			articStaccatoAbove					
11	11	20	20	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	51								
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	52								
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	53								
11	11	20	20	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	54				11				
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	55								
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	56			articStaccatoAbove					
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	57			articStaccatoAbove					
12	12	22	22	0.0	0	0	Spanner	2/4	1	1	0									0		
12	12	22	22	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	58				12		0		
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	59						0		
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	60				13		0		
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	61						0		
12	12	23	23	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	62				14		0		
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	63						0		
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	64				15		0		
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	65						0		
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	66				16				
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	67				16				
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	68				16				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	69				16				
13	13	24	24	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	70				17		0		
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	71						0		
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	72				18		0		
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	73						0		
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	74				19		0		
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	75						0		
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	76				20		0		
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	77						0		
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	78				16				
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	79				16				
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	80				16				
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	81				16				
14	14	26	26	0.0	0	0	Spanner	2/4	1	1	0											
14	14	26	26	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	82				21				
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	83								
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	84				22				
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	85								
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	86				23				
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	87								
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	88				24				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	89								
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	90				16				
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	91				16				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	92				16				
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	93				16				
15	15	28	28	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	94				25				
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	95								
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	96				26				
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	97								
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	98				27				
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	99								
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	100				28				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	101								
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	102				16				
