mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	decrescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.	HairPin:3_decresc	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p													
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Adagioconespressione.	40.0	1.0								
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	0														
1	1	2	2	0.0	1/2	1/2	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
1	1	2	2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	1							0							
1	1	9/4	9/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	2							0							
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	3							0							
1	1	11/4	11/4	0.0	11/16	11/16	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0	0							
1	1	11/4	11/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	4							0							
1	1	23/8	23/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	5														
1	1	0	0	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	6														
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	7														
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p													
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0												0						
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	8								0						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	9								0						
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	10								0						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	11								0						
1	1	2	2	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
1	1	2	2	0.0	1/2	1/2	Spanner	3/4	2	1	0												1						
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	12								1						
1	1	5/2	5/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																		
1	1	5/2	5/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												2						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	13								2						
2	2	3	3	0.0	0	0	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	14														
2	2	9/2	9/2	0.0	3/8	3/8	Spanner	3/4	1	1	0														0				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15							1			0				
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	16							1			0				
2	2	11/2	11/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0				0				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	17										0				
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0																		
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0												3						
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	18								3						
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	19								3						
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	20								3						
2	2	9/2	9/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
2	2	9/2	9/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												4						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	21								4						
2	2	5	5	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
2	2	5	5	0.0	1/2	1/2	Spanner	3/4	2	1	0												5						
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	22								5						
2	2	11/2	11/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																		
2	2	11/2	11/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												6						
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	23								6						
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0					fp													
3	3	6	6	0.0	0	0	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																		
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	24														
3	3	7	7	0.0	1/4	1/4	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
3	3	7	7	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	25							2							
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	26							2							
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	27							2							
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	28							2							
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	29							2							
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	30							2							
