mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
1	0	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8		1/8	1	0				0			
1	0	0	0	0.5	0	7/8	Chord	4/4	1	2	1/8		1/8	1	1	p			1			
1	0	0	0	0.0	0	7/8	Dynamic	4/4	2	1	0						p					
1	0	0	0	0.5	0	7/8	Chord	4/4	2	1	1/8		1/8	1	2				2			
2	1	1/2	1/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	3				0			
2	1	1	1	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	4							
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	5				3			
2	1	1/2	1/2	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	6							
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	7				4			
2	1	1/2	1/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	8				2			
2	1	1	1	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	9							
2	1	4	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	10				5			
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	11				3			
3	2	5	5	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	12							
3	2	8	8	0.0	7/8	7/8	Spanner	4/4	1	1	0										0	
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	13				6		0	
3	2	9/2	9/2	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	14						0	
3	2	9/2	9/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	15				5			
3	2	5	5	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	16							
3	2	8	8	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	17				7			
4	3	17/2	17/2	0.0	0	0	Spanner	4/4	1	1	0								6			
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	18				6			
4	3	9	9	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	19				6			
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	20				6			
4	3	10	10	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	21				6			
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	22				6			
4	3	11	11	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	23				6			
4	3	23/2	23/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	24				6			
4	3	12	12	0.0	7/8	7/8	Dynamic	4/4	1	1	0						f		6			
4	3	12	12	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	25	f			6			
4	3	17/2	17/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	26				7			
4	3	19/2	19/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	27				7			
4	3	21/2	21/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	28				7			
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	29							
5	4	25/2	25/2	0.0	0	0	Spanner	4/4	1	1	0								6	0		
5	4	25/2	25/2	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	30				6	0		
5	4	51/4	51/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	31				6	0		
5	4	13	13	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	32				6	0		
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	33				6	0		
5	4	27/2	27/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	34				6	0		
5	4	55/4	55/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	35				6	0		
5	4	14	14	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	36				6	0		
5	4	57/4	57/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	37					0		
5	4	29/2	29/2	0.0	1/2	1/2	Dynamic	4/4	1	1	0						p					
