mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
1	1	0	0	0.0	0	0	Dynamic	9/8	1	1	0						p							
1	1	0	0	0.0	0	0	Spanner	9/8	1	1	0									0				
1	1	0	0	3.0	0	0	Chord	9/8	1	1	3/4		1/2	3/2	0	p				0				
1	1	3	3	0.0	3/4	3/4	Chord	9/8	1	1	0	grace16	1/16	1	1					0				
1	1	3	3	0.0	3/4	3/4	Chord	9/8	1	1	0	grace16	1/16	1	2					0				
1	1	3	3	1.0	3/4	3/4	Chord	9/8	1	1	1/4		1/4	1	3					0				
1	1	4	4	0.375	1	1	Chord	9/8	1	1	3/32		1/16	3/2	4					0				
1	1	35/8	35/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32		1/32	1	5					0				
1	1	0	0	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	6			articStaccatoAbove						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	7			articStaccatoAbove						
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	8			articStaccatoAbove						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	9			articStaccatoAbove						
1	1	2	2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	10			articStaccatoAbove						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	11			articStaccatoAbove						
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	12			articStaccatoAbove						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	13			articStaccatoAbove						
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	14			articStaccatoAbove						
1	1	0	0	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	15									
2	2	9/2	9/2	0.0	0	0	Spanner	9/8	1	1	0													
2	2	9/2	9/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	16									
2	2	6	6	1.0	3/8	3/8	Chord	9/8	1	1	1/4		1/4	1	17									
2	2	7	7	0.25	5/8	5/8	Chord	9/8	1	1	1/16		1/16	1	18			articStaccatoBelow	0					
2	2	29/4	29/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16		1/16	1	19			articStaccatoBelow	0					
2	2	15/2	15/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16		1/16	1	20			articStaccatoBelow	0					
