mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0							𝅘𝅥=30	30.0	𝅘𝅥	30.0	1.0				
1	1	0	0	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	0												
1	1	1	1	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	1												
2	2	2	2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	2												
2	2	7/2	7/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32	1/16	3/2	3									0			
2	2	31/8	31/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	4												
2	2	2	2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	5												
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	6												
3	3	4	4	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	7												
3	3	9/2	9/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32	1/16	3/2	8									1			
3	3	39/8	39/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	9												
3	3	5	5	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	10												
3	3	11/2	11/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32	1/16	3/2	11			ornamentTurn									
3	3	47/8	47/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	12												
3	3	4	4	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	13												
3	3	9/2	9/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	14												
3	3	5	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	15												
3	3	11/2	11/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	16												
4	4	6	6	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	17												
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	18												
4	4	7	7	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	19												
4	4	15/2	15/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	20									2			
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	21												
4	4	6	6	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	22												
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	23												
4	4	7	7	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	24												
4	4	6	6	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	25									3			
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	26									3			
4	4	7	7	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	27												
4	4	6	6	1.5		0	0	Chord	2/4	2	2	3/8	1/4	3/2	28												
5	5	8	8	0.0		0	0	Spanner	2/4	1	1	0														0	
5	5	8	8	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	29											0	
5	5	35/4	35/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	30											0	
5	5	9	9	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	31											0	
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	32											0	
5	5	8	8	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	33											0	
5	5	17/2	17/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	34											0	
5	5	9	9	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	35											0	
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	36											0	
5	5	8	8	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	37												
5	5	17/2	17/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	38												
5	5	9	9	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	39												
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	40												
5	5	8	8	1.5		0	0	Chord	2/4	2	2	3/8	1/4	3/2	41												
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	42												
6	6	10	10	0.0		0	0	Dynamic	2/4	1	1	0					sf										
6	6	10	10	0.0		0	0	Spanner	2/4	1	1	0															
6	6	10	10	0.0		0	0	Spanner	2/4	1	1	0													0		
6	6	10	10	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	43										0		
6	6	11	11	0.0		1/4	1/4	Spanner	2/4	1	1	0															
6	6	11	11	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24	1/16	2/3	44												
6	6	67/6	67/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24	1/16	2/3	45									4			
6	6	34/3	34/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24	1/16	2/3	46												
6	6	23/2	23/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24	1/16	2/3	47									5			
6	6	35/3	35/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24	1/16	2/3	48												
6	6	71/6	71/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24	1/16	2/3	49												
6	6	10	10	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	50												
6	6	21/2	21/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	51												
6	6	11	11	0.16666666666666666		1/4	1/4	Chord	2/4	1	2	1/24	1/16	2/3	52												
6	6	10	10	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	53												
6	6	11	11	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	54												
6	6	10	10	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	55												
6	6	21/2	21/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	56												
6	6	11	11	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	57												
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	58												
7	7	12	12	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	59	p											
7	7	13	13	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	60												
7	7	13	13	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	61												
8	8	14	14	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	62												
8	8	31/2	31/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32	1/16	3/2	63												
8	8	127/8	127/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	64												
8	8	14	14	1.5		0	0	Chord	2/4	1	2	3/8	1/4	3/2	65												
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	66												
8	8	14	14	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	67												
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	68												
9	9	16	16	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	69												
9	9	33/2	33/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32	1/16	3/2	70												
9	9	135/8	135/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	71												
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	72												
9	9	35/2	35/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32	1/16	3/2	73												
9	9	143/8	143/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	74												
9	9	16	16	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	75												
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	76												
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	77												
9	9	16	16	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	78												
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	79												
9	9	17	17	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	80												
