mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
1	0	0	0	0.0	0	5/8	Dynamic	2/2	1	1	0						p						
1	0	0	0	0.5	0	5/8	Chord	2/2	1	1	1/8		1/8	1	0	p		articStaccatoAbove					
1	0	1/2	1/2	0.5	1/8	3/4	Chord	2/2	1	1	1/8		1/8	1	1			articStaccatoAbove					
1	0	1	1	0.5	1/4	7/8	Chord	2/2	1	1	1/8		1/8	1	2			articStaccatoAbove					
2	1	3/2	3/2	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	3				0				
2	1	3	3	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	4				0				
2	1	7/2	7/2	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	5				0				
2	1	5	5	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	6								
2	1	3/2	3/2	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	7				1				
2	1	2	2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	8				1				
2	1	5/2	5/2	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	9				1				
2	1	3	3	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	10								
2	1	7/2	7/2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	11				2				
2	1	4	4	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	12				2				
2	1	9/2	9/2	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	13				2				
2	1	5	5	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	14								
3	2	11/2	11/2	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	15								
3	2	15/2	15/2	0.0	1/2	1/2	Chord	2/2	1	1	0	acciaccatura	1/8	1	16								
3	2	15/2	15/2	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	17				3				
3	2	8	8	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	18				3				
3	2	17/2	17/2	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	19				3				
3	2	9	9	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	20				3				
3	2	11/2	11/2	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	21				4				
3	2	6	6	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	22				4				
3	2	13/2	13/2	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	23				4				
3	2	7	7	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	24								
3	2	15/2	15/2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	25								
3	2	8	8	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	26								
3	2	17/2	17/2	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	27								
3	2	9	9	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	28								
4	3	19/2	19/2	0.0	0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	29				3				
4	3	19/2	19/2	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	30				3				
4	3	10	10	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	31				3				
4	3	21/2	21/2	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	32				3				
4	3	11	11	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	33								
4	3	23/2	23/2	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	34			articStaccatoAbove					
4	3	25/2	25/2	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	35			articStaccatoAbove					
4	3	19/2	19/2	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	36								
4	3	10	10	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	37								
4	3	21/2	21/2	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	38								
4	3	11	11	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	39								
4	3	23/2	23/2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	40								
4	3	12	12	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	41								
4	3	25/2	25/2	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	42								
4	3	13	13	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	43								
5	4	27/2	27/2	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	44								
5	4	33/2	33/2	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	45				5				
5	4	17	17	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	46								
5	4	27/2	27/2	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	47				6				
5	4	14	14	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	48				6				
5	4	29/2	29/2	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	49				6				
5	4	15	15	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	50								
5	4	31/2	31/2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	51				7				
5	4	16	16	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	52				7				
5	4	33/2	33/2	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	53				7				
5	4	17	17	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	54								
6	5	35/2	35/2	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	1	55								
6	5	35/2	35/2	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	1	56								
6	5	35/2	35/2	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	57				8				
6	5	39/2	39/2	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	58								
6	5	41/2	41/2	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	59				9				
6	5	21	21	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	60								
6	5	35/2	35/2	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	61				10				
6	5	18	18	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	62				10				
6	5	37/2	37/2	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	63				10				
6	5	19	19	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	64								
6	5	39/2	39/2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	65				11				
6	5	20	20	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	66				11				
6	5	41/2	41/2	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	67				11				
6	5	21	21	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	68								
7	6	43/2	43/2	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	1	69								
7	6	43/2	43/2	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	1	70								
7	6	43/2	43/2	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	71				12				
7	6	47/2	47/2	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	72								
7	6	49/2	49/2	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	73				13				
7	6	25	25	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	74								
7	6	43/2	43/2	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	75				14				
7	6	22	22	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	76				14				
7	6	45/2	45/2	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	77				14				
7	6	23	23	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	78								
7	6	47/2	47/2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	79				15				
7	6	24	24	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	80				15				
7	6	49/2	49/2	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	81				15				
7	6	25	25	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	82								
