mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0	p	
1	0	0	0	1.0	0	1/2	Chord	3/4	2	1	1/4	1/4	1	1		
2	1	1	1	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	2		
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	3		
2	1	1	1	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	4		
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5		
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	6		articStaccatoAbove
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	7		articStaccatoBelow
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	8		articStaccatoAbove
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	9		articStaccatoAbove
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	10		articStaccatoBelow
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	11		articStaccatoBelow
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	12		articStaccatoAbove
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	13		articStaccatoAbove
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	14		articStaccatoBelow
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	15		
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	16		articStaccatoAbove
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	17		
6	5	13	13	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	18		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	19		
6	5	13	13	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	20		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	21		
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	22		articStaccatoAbove
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	23		articStaccatoAbove
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24		articStaccatoBelow
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	25		articStaccatoBelow
8	7	19	19	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	26		articStaccatoAbove
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	27		articStaccatoAbove
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	28		articStaccatoBelow
