mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line
1	0	0	0	0.0	0	3/8	Dynamic	4/4	1	1	0						p			
1	0	0	0	0.5	0	3/8	Chord	4/4	1	1	1/8		1/8	1	0					
1	0	1/2	1/2	0.5	1/8	1/2	Chord	4/4	1	1	1/8		1/8	1	1					
1	0	1	1	0.5	1/4	5/8	Chord	4/4	1	1	1/8		1/8	1	2					
1	0	3/2	3/2	0.5	3/8	3/4	Chord	4/4	1	1	1/8		1/8	1	3			articStaccatoBelow		
1	0	2	2	0.5	1/2	7/8	Chord	4/4	1	1	1/8		1/8	1	4			articStaccatoBelow		
1	0	0	0	0.5	0	3/8	Chord	4/4	2	1	1/8		1/8	1	5					
1	0	1/2	1/2	0.5	1/8	1/2	Chord	4/4	2	1	1/8		1/8	1	6					
1	0	1	1	0.5	1/4	5/8	Chord	4/4	2	1	1/8		1/8	1	7					
1	0	3/2	3/2	0.5	3/8	3/4	Chord	4/4	2	1	1/8		1/8	1	8			articStaccatoAbove		
1	0	2	2	0.5	1/2	7/8	Chord	4/4	2	1	1/8		1/8	1	9			articStaccatoAbove		
2	1	5/2	5/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	10					
2	1	4	4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	11				0	
2	1	9/2	9/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	12				0	
2	1	5	5	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	13					
2	1	11/2	11/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	14			articStaccatoBelow		
2	1	6	6	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	15			articStaccatoBelow		
2	1	5/2	5/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	16					
2	1	4	4	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	17				1	
2	1	9/2	9/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	18				1	
2	1	5	5	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	19					
2	1	11/2	11/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	20			articStaccatoAbove		
2	1	6	6	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	21			articStaccatoAbove		
3	2	13/2	13/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	22					
3	2	8	8	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	23				2	
3	2	17/2	17/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	24				2	
3	2	9	9	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	25					
3	2	19/2	19/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	26			articStaccatoBelow		
3	2	10	10	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	27			articStaccatoBelow		
3	2	13/2	13/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	28					
4	3	21/2	21/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	29			ornamentTurn	3	
4	3	23/2	23/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	30				3	
4	3	12	12	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	31				3	
4	3	25/2	25/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	32				3	
4	3	13	13	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	33				3	
4	3	27/2	27/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	34				3	
4	3	14	14	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	35					
4	3	21/2	21/2	4.0	0	0	Chord	4/4	2	1	1		1	1	36					
5	4	29/2	29/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	37					
5	4	16	16	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	38				4	
5	4	33/2	33/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	39				4	
5	4	17	17	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	40					
5	4	35/2	35/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	41			articStaccatoBelow		
5	4	18	18	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	42			articStaccatoBelow		
5	4	29/2	29/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	43					
5	4	16	16	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	44				5	
5	4	33/2	33/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	45				5	
5	4	17	17	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	46					
5	4	35/2	35/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	47			articStaccatoBelow		
5	4	18	18	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	48			articStaccatoBelow		
6	5	37/2	37/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	49					
6	5	20	20	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	50				6	
6	5	41/2	41/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	51				6	
6	5	21	21	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	52					
6	5	43/2	43/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	53			articStaccatoBelow		
6	5	22	22	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	54			articStaccatoBelow		
