mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	0			0			
1	1	1	1	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	1			0			
1	1	0	0	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	2			1			
1	1	1	1	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	3			1			
2	2	2	2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	4			0			
2	2	3	3	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	5						
2	2	2	2	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	6			1			
2	2	3	3	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	7						
3	3	4	4	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	8		articStaccatoBelow				
3	3	5	5	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	9		articStaccatoBelow				
3	3	4	4	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	10		articStaccatoAbove				
3	3	5	5	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	11		articStaccatoAbove				
4	4	6	6	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	12						
4	4	6	6	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	13						
5	5	8	8	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	14			2			
5	5	9	9	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	15						
5	5	8	8	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	16			3			
5	5	9	9	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	17			3			
6	6	10	10	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	18		articStaccatoBelow				
6	6	11	11	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	19		articStaccatoBelow				
6	6	10	10	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	20			3			
6	6	11	11	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	21						
7	7	12	12	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	22		articStaccatoBelow				
7	7	13	13	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	23		articStaccatoBelow				
7	7	12	12	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	24		articStaccatoBelow				
7	7	13	13	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	25		articStaccatoBelow				
8	8	14	14	0.0		0	0	Dynamic	2/4	1	1	0				sf					
8	8	14	14	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	26						
8	8	14	14	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	27						
9	9	16	16	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	28		articStaccatoAbove				
9	9	17	17	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	29		articStaccatoAbove				
9	9	16	16	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	30						
9	9	17	17	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	31						
9	9	16	16	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	32						
9	9	17	17	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	33						
10	10	18	18	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	34			4			
10	10	19	19	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	35						
10	10	18	18	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	36						
10	10	18	18	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	37						
11	11	20	20	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	38		articStaccatoAbove				
11	11	21	21	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	39		articStaccatoAbove				
11	11	20	20	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	40						
11	11	21	21	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	41						
11	11	20	20	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	42						
11	11	21	21	0.0		1/4	1/4	Dynamic	2/4	2	1	0				sf					
11	11	21	21	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	43						
12	12	22	22	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	44						
12	12	23	23	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	45						
12	12	22	22	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	46						
12	12	23	23	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	47						
12	12	22	22	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	48						
12	12	23	23	0.0		1/4	1/4	Dynamic	2/4	2	1	0				sf					
12	12	23	23	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	49						
13	13	24	24	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	50		articStaccatoAbove				
13	13	25	25	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	51		articStaccatoAbove				
13	13	24	24	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	52						
13	13	25	25	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	53						
13	13	24	24	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	54						
13	13	25	25	0.0		1/4	1/4	Dynamic	2/4	2	1	0				sf					
13	13	25	25	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	55			5			
14	14	26	26	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	56						
14	14	27	27	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	57						
14	14	26	26	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	58						
14	14	26	26	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	59			5			
14	14	27	27	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	60						
15	15	28	28	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	61		articStaccatoAbove				
15	15	29	29	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	62		articStaccatoAbove				
15	15	28	28	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	63						
15	15	29	29	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	64						
15	15	28	28	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	65		articStaccatoBelow				
15	15	29	29	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	66		articStaccatoBelow				
16	16	30	30	0.0		0	0	Dynamic	2/4	1	1	0				sf					
16	16	30	30	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	67						
16	16	30	30	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	68						
16	16	30	30	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	69						
17	17	32	32	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	70						
17	17	33	33	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	71			6			
17	17	33	33	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	72			7			
