mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	diminuendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill	Ottava:8vb
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0								"<i><font size=""12""/>Per la misura si conta nel largo sempre quattro semicrome, cio è              .</i>"														
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0								"<b><font size=""12""/>Largo.</b>"														
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0								"<b>(<font size=""12""/><sym>unicodeNote16thUp</sym><font size=""10""/> = 76)</b>"														
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥𝅮=45	22.0	𝅘𝅥𝅮	45.0	0.0									
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0								"<i><font size=""12""/>dolce</i>"														
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0						p																
1	1	1/12	1/12	0.0	1/48	1/48	Tempo	4/4	1	1	0									𝅘𝅥𝅮=47	24.0	𝅘𝅥𝅮	47.0	0.0									
1	1	1/6	1/6	0.0	1/24	1/24	Tempo	4/4	1	1	0									𝅘𝅥𝅮=49	24.0	𝅘𝅥𝅮	49.0	0.0									
1	1	1/6	1/6	0.08333333333333333	1/24	1/24	Chord	4/4	1	1	1/48			1/32	2/3	0																	
1	1	1/4	1/4	0.0	1/16	1/16	Tempo	4/4	1	1	0									𝅘𝅥𝅮=50	25.0	𝅘𝅥𝅮	50.0	0.0									
1	1	1/4	1/4	0.08333333333333333	1/16	1/16	Chord	4/4	1	1	1/48			1/32	2/3	1									0								
1	1	1/2	1/2	0.08333333333333333	1/8	1/8	Chord	4/4	1	1	1/48			1/32	2/3	2									1								
1	1	7/12	7/12	0.08333333333333333	7/48	7/48	Chord	4/4	1	1	1/48			1/32	2/3	3									1								
1	1	2/3	2/3	0.08333333333333333	1/6	1/6	Chord	4/4	1	1	1/48			1/32	2/3	4																	
1	1	3/4	3/4	0.375	3/16	3/16	Chord	4/4	1	1	3/32			1/16	3/2	5																	
1	1	9/8	9/8	0.0	9/32	9/32	Tempo	4/4	1	1	0									𝅘𝅥𝅮=40	20.0	𝅘𝅥𝅮	40.0	0.0									
1	1	9/8	9/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32			1/32	1	6																	
1	1	5/4	5/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	7																	
1	1	17/8	17/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32			1/32	1	8																	
1	1	9/4	9/4	0.0	9/16	9/16	SystemText	4/4	1	1	0								"<font size=""15""/>"														
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	9																	
1	1	25/8	25/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32			1/32	1	10																	
1	1	13/4	13/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	11																	
1	1	33/8	33/8	0.125	33/32	33/32	Chord	4/4	1	1	1/32			1/32	1	12																	
1	1	17/4	17/4	0.5	17/16	17/16	Chord	4/4	1	1	1/8			1/8	1	13																	
1	1	19/4	19/4	0.125	19/16	19/16	Chord	4/4	1	1	1/32			1/32	1	14																	
1	1	39/8	39/8	0.0	39/32	39/32	Tempo	4/4	1	1	0									𝅘𝅥=22	22.0	𝅘𝅥	22.0	0.0									
1	1	39/8	39/8	0.125	39/32	39/32	Chord	4/4	1	1	1/32			1/32	1	15									2								
1	1	5	5	0.125	5/4	5/4	Chord	4/4	1	1	1/32			1/32	1	16									2								
1	1	41/8	41/8	0.125	41/32	41/32	Chord	4/4	1	1	1/32			1/32	1	17									2								
1	1	21/4	21/4	0.125	21/16	21/16	Chord	4/4	1	1	1/32			1/32	1	18									2								
1	1	43/8	43/8	0.125	43/32	43/32	Chord	4/4	1	1	1/32			1/32	1	19									2								
1	1	11/2	11/2	0.125	11/8	11/8	Chord	4/4	1	1	1/32			1/32	1	20									2								
1	1	45/8	45/8	0.125	45/32	45/32	Chord	4/4	1	1	1/32			1/32	1	21																	
1	1	1/2	1/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16			1/16	1	22																	
1	1	0	0	0.0	0	0	Spanner	4/4	2	1	0																			0	0		
1	1	0	0	0.08333333333333333	0	0	Chord	4/4	2	1	1/48			1/32	2/3	23									3					0	0		
1	1	1/12	1/12	0.08333333333333333	1/48	1/48	Chord	4/4	2	1	1/48			1/32	2/3	24									3					0	0		
1	1	1/3	1/3	0.08333333333333333	1/12	1/12	Chord	4/4	2	1	1/48			1/32	2/3	25									4					0	0		
1	1	5/12	5/12	0.08333333333333333	5/48	5/48	Chord	4/4	2	1	1/48			1/32	2/3	26									5					0	0		
1	1	2/3	2/3	0.08333333333333333	1/6	1/6	Chord	4/4	2	1	1/48			1/32	2/3	27														0	0		
1	1	3/4	3/4	0.375	3/16	3/16	Chord	4/4	2	1	3/32			1/16	3/2	28														0	0		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	29														0	0		
1	1	2	2	0.0	1/2	1/2	Spanner	4/4	2	1	0																						
1	1	2	2	0.0	1/2	1/2	Spanner	4/4	2	1	0																			1	1		
1	1	5/2	5/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	30														1	1		
1	1	3	3	0.0	3/4	3/4	Spanner	4/4	2	1	0																						
1	1	3	3	0.0	3/4	3/4	Spanner	4/4	2	1	0																			2	2		
1	1	7/2	7/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	31														2	2		
1	1	4	4	0.0	1	1	Spanner	4/4	2	1	0																						
1	1	4	4	0.0	1	1	Spanner	4/4	2	1	0																			3	3		
1	1	9/2	9/2	0.25	9/8	9/8	Chord	4/4	2	1	1/16			1/16	1	32														3	3		
1	1	19/4	19/4	0.25	19/16	19/16	Chord	4/4	2	1	1/16			1/16	1	33														3	3		
1	1	5	5	0.0	5/4	5/4	Spanner	4/4	2	1	0																						
2	1	23/4	23/4	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	34																	
2	1	27/4	27/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	35									6								
2	1	7	7	0.5	5/16	5/16	Chord	4/4	1	1	1/8			1/8	1	36									6								
2	1	15/2	15/2	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	37																	
2	1	31/4	31/4	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=20	20.0	𝅘𝅥	20.0	0.0									
2	1	31/4	31/4	0.0	1/2	1/2	Spanner	4/4	1	1	0																	0					
2	1	31/4	31/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	38												0					
