mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	66							
8	8	14	14	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	67							
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	68							
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	69							
8	8	14	14	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	70							
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	71							
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	72			ornamentTurn	10			
9	9	17	17	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	73				10			
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	74							
9	9	16	16	0.0	0	0	Dynamic	2/4	1	2	0						p					
9	9	16	16	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	75							
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	76							
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	77							
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	78							
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	79							
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	80							
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	81							
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	82							
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	83							
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	84							
9	9	16	16	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	85							
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	86							
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	87							
10	10	18	18	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	88							
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	89				11			
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	90				11			
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	91				11			
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	92				11			
10	10	19	19	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	93				11			
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	94				11			
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	95				11			
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	96							
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	97			ornamentTurn	12			
11	11	21	21	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	98				12			
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	99							
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	100							
11	11	20	20	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	101							
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	102							
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	103							
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	104							
11	11	21	21	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	105							
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	106							
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	107							
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	108							
11	11	20	20	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	109							
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	110							
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	111							
12	12	22	22	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	112							
12	12	22	22	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	113				13			
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	114				13			
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	115				13			
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	116				13			
12	12	23	23	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	117				13			
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	118				13			
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	119				13			
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	120							
13	13	24	24	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	121							
13	13	24	24	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	122							
13	13	199/8	199/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	123							
13	13	25	25	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	124							
13	13	25	25	0.875	1/4	1/4	Chord	2/4	1	1	7/32		1/8	7/4	125							
13	13	207/8	207/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	126							
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	127				14			
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	128				14			
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	129							
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	130				15			
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	131				15			
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	132							
14	14	26	26	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	133							
14	14	26	26	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	134	>						
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	135				16			
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	136							
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	137				17			
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	138				17			
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	139				17			
14	14	27	27	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	140				17			
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	141				17			
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	142				17			
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	143							
14	14	105/4	105/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	144							
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	145							
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	146				18			
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	147				18			
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	148				18			
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	149							
15	15	28	28	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	150	p						
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	151							
15	15	28	28	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	152				19			
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	153				19			
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	154				19			
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	155				19			
15	15	29	29	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	156				19			
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	157				19			
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	158				19			
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	159							
15	15	28	28	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	160							
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	161							
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	162				20			
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	163							
16	16	30	30	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	164							
16	16	61/2	61/2	0.125	1/8	1/8	Chord	2/4	1	2	1/32		1/32	1	165							
16	16	245/8	245/8	0.125	5/32	5/32	Chord	2/4	1	2	1/32		1/32	1	166							
16	16	123/4	123/4	0.125	3/16	3/16	Chord	2/4	1	2	1/32		1/32	1	167							
16	16	247/8	247/8	0.125	7/32	7/32	Chord	2/4	1	2	1/32		1/32	1	168							
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	169							
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	170				21			
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	171							
16	16	30	30	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	172							
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0						f					
17	17	32	32	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	173							
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	174							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	175							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	176							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	177							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	178							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	179							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	180							
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	181							
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	182			articStaccatoBelow				
17	17	271/8	271/8	0.0	15/32	15/32	Dynamic	2/4	1	1	0						p					
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	183							
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	184							
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	185							
18	18	34	34	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	186				22			
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	187							
18	18	34	34	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	188							
19	19	36	36	0.0	0	0	Dynamic	2/4	1	1	0						f					
19	19	36	36	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	189							
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	190							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	191							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	192							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	193							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	194							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	195							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	196							
19	19	37	37	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	197							
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	198			articStaccatoBelow				
19	19	303/8	303/8	0.0	15/32	15/32	Dynamic	2/4	1	1	0						p					
19	19	303/8	303/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	199							
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	200							
19	19	303/8	303/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	201							
20	20	38	38	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	202							
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	203							
20	20	38	38	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	204							
21	21	335/8	335/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	205							
21	21	40	40	0.0	0	0	Dynamic	2/4	2	1	0						f					
21	21	40	40	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	206							
21	21	40	40	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	207							
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	208							
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	209							
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	210							
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	211							
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	212							
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	213							
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	214			articStaccatoBelow				
21	21	335/8	335/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	215							
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	216				23			
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	217							
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	218				24			
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	219							
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	220				25			
22	22	42	42	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	221							
22	22	42	42	0.0	0	0	Dynamic	2/4	2	1	0						fp					
22	22	42	42	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	222							
23	23	44	44	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	223							
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	224				26			
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	225							
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	226				27			
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	227							
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	228				28			
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	229				28			
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	230							
24	24	46	46	0.0	0	0	Dynamic	2/4	1	1	0						pp					
24	24	46	46	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	231				29			
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	232				29			
24	24	95/2	95/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	233			ornamentTurn	29			
24	24	383/8	383/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	234							
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	235							
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	236							
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	237							
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	238							
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	239				30			
25	25	97/2	97/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	240				30			
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	241							
25	25	48	48	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	242							
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	243							
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	244							
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	245							
26	26	50	50	0.0	0	0	Spanner	2/4	1	1	0										0	
26	26	50	50	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	246				31		0	
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	247			ornamentTurn	31		0	
26	26	103/2	103/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	248				31		0	
26	26	415/8	415/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	249						0	
26	26	103/2	103/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	250							
26	26	415/8	415/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	251							
26	26	50	50	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	252							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	253							
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	254							
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	255							
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	256				32		0	
27	27	105/2	105/2	0.0	1/8	1/8	Spanner	2/4	1	1	0											
27	27	105/2	105/2	0.0	1/8	1/8	Spanner	2/4	1	1	0									1		
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	257					1		
27	27	211/4	211/4	0.0	3/16	3/16	Spanner	2/4	1	1	0											
27	27	52	52	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	258							
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	259							
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	260							
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	261							
28	28	1297/24	1297/24	0.041666666666666664	1/96	1/96	Chord	2/4	1	1	1/96		1/64	2/3	262				33			
28	28	649/12	649/12	0.041666666666666664	1/48	1/48	Chord	2/4	1	1	1/96		1/64	2/3	263				33			
28	28	433/8	433/8	0.041666666666666664	1/32	1/32	Chord	2/4	1	1	1/96		1/64	2/3	264				33			
28	28	325/6	325/6	0.041666666666666664	1/24	1/24	Chord	2/4	1	1	1/96		1/64	2/3	265				33			
28	28	1301/24	1301/24	0.041666666666666664	5/96	5/96	Chord	2/4	1	1	1/96		1/64	2/3	266				33			
28	28	217/4	217/4	0.041666666666666664	1/16	1/16	Chord	2/4	1	1	1/96		1/64	2/3	267				33			
28	28	1303/24	1303/24	0.041666666666666664	7/96	7/96	Chord	2/4	1	1	1/96		1/64	2/3	268				33			
28	28	163/3	163/3	0.041666666666666664	1/12	1/12	Chord	2/4	1	1	1/96		1/64	2/3	269				33			
28	28	435/8	435/8	0.041666666666666664	3/32	3/32	Chord	2/4	1	1	1/96		1/64	2/3	270				33			
28	28	653/12	653/12	0.041666666666666664	5/48	5/48	Chord	2/4	1	1	1/96		1/64	2/3	271				33			
28	28	1307/24	1307/24	0.041666666666666664	11/96	11/96	Chord	2/4	1	1	1/96		1/64	2/3	272							
