mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0			ornamentTurn	0			
1	1	1	1	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	1				0			
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2							
1	1	0	0	0.0	0	0	Dynamic	2/4	1	2	0						p					
1	1	0	0	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	3							
1	1	1	1	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	4							
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	5				1			
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	6				1			
2	2	2	2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	7				2			
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	8							
2	2	2	2	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	9							
2	2	2	2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	10							
3	3	4	4	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	11			ornamentTurn	3			
3	3	5	5	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	12				3			
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	13							
3	3	4	4	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	14							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	15							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	16							
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	17				4			
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	18				4			
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	19				4			
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	20							
3	3	4	4	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	21							
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	22							
4	4	6	6	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	23				5			
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	24							
4	4	6	6	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	25							
4	4	6	6	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	26							
5	5	8	8	0.0	0	0	Spanner	2/4	1	1	0											0
5	5	8	8	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	27							0
5	5	71/8	71/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	28							0
5	5	9	9	0.875	1/4	1/4	Chord	2/4	1	1	7/32		1/8	7/4	29							0
5	5	79/8	79/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	30							0
5	5	8	8	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	31							0
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	32							0
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	33							
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	34							
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0											
6	6	10	10	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	35							
6	6	87/8	87/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	36							
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	37				6			
6	6	10	10	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	38							
6	6	11	11	0.0	1/4	1/4	Dynamic	2/4	1	2	0						fp					
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	39							
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	40							
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	41							
7	7	12	12	0.0	0	0	Spanner	2/4	1	1	0								6	0		
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	42				6	0		
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	43					0		
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	44			articStaccatoAbove	7	0		
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	45			articStaccatoAbove		0		
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0											
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	46				8			
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	47							
7	7	12	12	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	48							
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	49							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	50							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	51							
8	8	14	14	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	52							
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	53							
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	54			ornamentTrill	9			
8	8	61/4	61/4	0.0	5/16	5/16	Chord	2/4	1	1	0	acciaccatura	1/8	1	55				9			
8	8	61/4	61/4	0.0	5/16	5/16	Chord	2/4	1	1	0	acciaccatura	1/8	1	56				9			
8	8	61/4	61/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	57				9			
8	8	123/8	123/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	58				9			
8	8	31/2	31/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	59				9			
8	8	125/8	125/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	60				9			
8	8	63/4	63/4	0.08333333333333333	7/16	7/16	Chord	2/4	1	1	1/48		1/32	2/3	61				9			
8	8	95/6	95/6	0.08333333333333333	11/24	11/24	Chord	2/4	1	1	1/48		1/32	2/3	62				9			
8	8	191/12	191/12	0.08333333333333333	23/48	23/48	Chord	2/4	1	1	1/48		1/32	2/3	63							
8	8	14	14	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	64							
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	65							
