mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8		1/8	1	0	p	
1	0	0	0	0.5	0	1/4	Chord	3/8	2	1	1/8		1/8	1	1		
2	1	1/2	1/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	2		
2	1	1	1	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	3		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	4		
2	1	1/2	1/2	1.5	0	0	Chord	3/8	1	2	3/8		1/4	3/2	5		
2	1	1/2	1/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	6		
2	1	1	1	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	7		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	8		
2	1	1/2	1/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	9		
3	2	2	2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	10		
3	2	9/4	9/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	11		
3	2	5/2	5/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	12		
3	2	23/8	23/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	13		
3	2	3	3	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	14		
3	2	27/8	27/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	15		
3	2	2	2	1.5	0	0	Chord	3/8	1	2	3/8		1/4	3/2	16		
3	2	2	2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	17		
3	2	9/4	9/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	18		
3	2	5/2	5/2	0.375	1/8	1/8	Chord	3/8	2	1	3/32		1/16	3/2	19		
3	2	23/8	23/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32		1/32	1	20		
3	2	3	3	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	21		
3	2	27/8	27/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	22		
3	2	2	2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	23		
4	3	7/2	7/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	24		
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	25		
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	26	<	
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	27		
4	3	7/2	7/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	28		
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	29		
4	3	4	4	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	30		
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	31		
5	4	5	5	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	32		
5	4	43/8	43/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	33		
5	4	11/2	11/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	34		articStaccatoAbove
