mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0						p					
1	0	0	0	0.25	0	1/2	Chord	3/4	1	1	1/16		1/16	1	0							
1	0	1/4	1/4	0.25	1/16	9/16	Chord	3/4	1	1	1/16		1/16	1	1							
1	0	1/2	1/2	0.25	1/8	5/8	Chord	3/4	1	1	1/16		1/16	1	2							
1	0	3/4	3/4	0.25	3/16	11/16	Chord	3/4	1	1	1/16		1/16	1	3							
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	4							
2	1	3	3	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	5							
2	1	13/4	13/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	6							
2	1	7/2	7/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	7							
2	1	15/4	15/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	8							
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	9							
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10							
3	2	6	6	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	11							
3	2	25/4	25/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	12							
3	2	13/2	13/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	13							
3	2	27/4	27/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	14							
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	15							
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	16			articStaccatoBelow				
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	17			articStaccatoBelow				
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	18			articStaccatoBelow				
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	19							
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	20							
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21							
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	22				0			
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23							
5	4	12	12	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	24							
5	4	49/4	49/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	25							
5	4	25/2	25/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	26							
5	4	51/4	51/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	27							
5	4	10	10	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	28							
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29							
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30							
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	31							
6	5	15	15	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	32							
6	5	61/4	61/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	33							
6	5	31/2	31/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	34							
6	5	63/4	63/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	35							
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36							
