mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	19				4				
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	20				4				
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	21				4				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	22								
4	4	9	9	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	23								
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24				5				
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	25				5				
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	26				5				
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	27				5				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	28								
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	29								
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	30				6				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	31				6				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	32								
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	33				7				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	34				7				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	35								
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	36				8				
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	37				8				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	38								
6	6	15	15	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	39								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	40								
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	41								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	42								
7	7	18	18	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	43				9				
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	44				9				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	45				9				
7	7	18	18	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	46								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	47								
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	48				10				
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	49				10				
7	7	18	18	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	50								
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	51			articStaccatoAbove					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	52								
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	53								
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	54			articStaccatoAbove					
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	55								
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p						
9	9	24	24	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	56	p							
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	57								
9	9	24	24	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	58				11				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	59				11				
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	60								
9	9	24	24	1.5	0	0	Chord	3/4	2	3	3/8	1/4	3/2	61				12				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8	1/8	1	62				12				
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	63								
10	10	27	27	0.0	0	0	Spanner	3/4	1	1	0									0		
10	10	27	27	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	64	<					0		
10	10	27	27	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	65				13				
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	66				13				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	67								
10	10	27	27	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	68								
10	10	27	27	1.5	0	0	Chord	3/4	2	3	3/8	1/4	3/2	69				14				
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8	1/8	1	70				14				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	71								
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0					sf						
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0											
11	11	30	30	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	72								
11	11	30	30	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	73				15				
11	11	30	30	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	74				16				
11	11	30	30	3.0	0	0	Chord	3/4	2	3	3/4	1/2	3/2	75				17				
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	76								
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	77				15				
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	78				15				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	79				15				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	80				15				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	81								
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	82								
12	12	33	33	1.0	0	0	Chord	3/4	2	3	1/4	1/4	1	83				17				
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	3	1/8	1/8	1	84				17				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8	1/8	1	85				17				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	3	1/8	1/8	1	86				17				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	3	1/8	1/8	1	87								
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	88	<							
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	89								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	90								
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	91				18				
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	92				18				
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	93				18				
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	94				19				
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	95				19				
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	96								
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	97	>							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	98								
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	99				18				
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	100				18				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	101								
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	102								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103								
15	15	42	42	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	104	>							
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	105								
15	15	42	42	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	106				20				
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	107				20				
