mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
44	44	129	129	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	274								
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	275				49				
44	44	130	130	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	276				49				
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	277				49				
44	44	131	131	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	278				49				
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	279								
44	44	129	129	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	280								
45	45	132	132	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	281			articStaccatoBelow					
45	45	133	133	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	282				50				
45	45	267/2	267/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0					sf		50				
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	283				50				
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	284				50				
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	285								
45	45	133	133	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	286								
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	287			articStaccatoAbove					
45	45	133	133	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	288								
45	45	132	132	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	289								
45	45	133	133	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	290								
46	46	135	135	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	291			articStaccatoBelow					
46	46	136	136	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	292				51				
46	46	273/2	273/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0					sf		51				
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	293				51				
46	46	137	137	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	294				51				
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	295								
46	46	136	136	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	296								
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	297			articStaccatoAbove					
46	46	136	136	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	298								
46	46	135	135	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	299								
46	46	136	136	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	300								
47	47	138	138	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	301			articStaccatoAbove					
47	47	139	139	0.0	1/4	1/4	Spanner	3/4	1	1	0									2		
47	47	139	139	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	302	<			52		2		
47	47	279/2	279/2	0.0	3/8	3/8	Spanner	3/4	1	1	0							52				
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	303				52				
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	304				52				
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	305				52				
47	47	138	138	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	306								
47	47	138	138	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	307			articStaccatoAbove					
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	308				52				
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	309				52				
48	48	142	142	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	310				52				
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	311				52				
48	48	143	143	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	312				52				
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	313								
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	314								
49	49	144	144	0.0	0	0	Dynamic	3/4	1	1	0					p						
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	315	p		articStaccatoBelow					
49	49	145	145	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	316				53				
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	317				53				
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	318				53				
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	319				53				
49	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	320								
50	50	147	147	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	321			articStaccatoBelow					
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	322				54				
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	323				54				
50	50	149	149	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	324				54				
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	325								
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	326			articStaccatoBelow					
51	51	150	150	0.0	0	0	Spanner	3/4	1	1	0									3		
51	51	150	150	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	327				55		3		
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	1	1	0							55				
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	328								
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	329								
51	51	150	150	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	330								
52	52	153	153	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	331				55				
52	52	153	153	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	332								
52	52	154	154	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	333				56				
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	334				56				
52	52	155	155	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	335				56				
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	336								
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	337								
52	52	154	154	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	338				57				
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	339				57				
52	52	155	155	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	340				57				
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	341								
52	52	153	153	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	342								
53	53	156	156	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	343								
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	344								
53	53	156	156	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	345								
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	346								
53	53	156	156	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	347								
53	53	156	156	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	348								
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	349								
54	54	159	159	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	350								
54	54	160	160	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	351				58				
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	352				58				
54	54	161	161	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	353				58				
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	354								
54	54	159	159	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	355								
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	356								
54	54	160	160	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	357				59				
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	358				59				
54	54	161	161	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	359				59				
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	360								
54	54	159	159	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	361								
55	55	162	162	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	362								
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	363								
55	55	162	162	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	364								
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	365								
55	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	366								
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	367								
55	55	162	162	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	368								
56	56	165	165	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	369								
56	56	165	165	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	370								
56	56	166	166	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	371				60				
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	372				60				
56	56	167	167	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	373				60				
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	374								
56	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	375								
56	56	166	166	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	376				61				
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	377				61				
56	56	167	167	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	378				61				
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	379								
56	56	165	165	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	380								
57	57	168	168	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	381			articStaccatoAbove					
57	57	169	169	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf						
57	57	169	169	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	382								
57	57	168	168	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	383								
57	57	169	169	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	384				62				
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	385				62				
57	57	170	170	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	386				62				
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	387								
57	57	168	168	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	388								
57	57	169	169	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	389				63				
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	390				63				
57	57	170	170	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	391				63				
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	392								
57	57	168	168	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	393			articStaccatoBelow					
57	57	169	169	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	394								
58	58	171	171	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	395			articStaccatoAbove					
58	58	172	172	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf						
58	58	172	172	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	396								
58	58	171	171	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	397								
58	58	172	172	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	398				64				
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	399				64				
58	58	173	173	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	400				64				
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	401								
58	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	402								
58	58	172	172	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	403				65				
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	404				65				
58	58	173	173	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	405				65				
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	406								
58	58	171	171	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	407			articStaccatoBelow					
58	58	172	172	0.0	1/4	1/4	Dynamic	3/4	2	2	0					sf						
58	58	172	172	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	408								
59	59	174	174	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	409	p							
59	59	174	174	0.0	0	0	Dynamic	3/4	1	2	0					p						
59	59	174	174	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	410								
59	59	174	174	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	411								
59	59	174	174	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	412								
60	60	177	177	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	413								
60	60	177	177	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	414								
60	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	415								
60	60	177	177	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	416								
61	61	180	180	0.0	0	0	Dynamic	3/4	1	1	0					pp						
61	61	180	180	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	417	pp							
61	61	180	180	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	418								
62	62	183	183	0.0	0	0	Spanner	3/4	1	1	0									4		
62	62	183	183	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	419	<			66		4		
62	62	185	185	0.0	1/2	1/2	Spanner	3/4	1	1	0							66				
62	62	185	185	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	420				66				
62	62	743/4	743/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	421								
63	63	186	186	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	422				67				
63	63	186	186	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	423	p							
63	63	186	186	0.0	0	0	Dynamic	3/4	2	1	0					p						
63	63	186	186	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	424								
63	63	186	186	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	425								
64	64	189	189	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	426				67				
64	64	190	190	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	427				67				
64	64	191	191	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	428				67				
64	64	189	189	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	429								
64	64	189	189	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	430								
64	64	191	191	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	431								
64	64	189	189	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	432								
65	65	192	192	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	433				67				
65	65	193	193	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	434				67				
65	65	194	194	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	435				67				
65	65	192	192	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	436								
65	65	192	192	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	437								
65	65	192	192	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	438								
66	66	195	195	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	439				67				
66	66	196	196	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	440				67				
66	66	197	197	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	441								
66	66	195	195	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	442				68				
66	66	196	196	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	443				68				
66	66	197	197	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	444								
67	67	198	198	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	445				69				
67	67	198	198	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	446								
67	67	198	198	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	447								
67	67	198	198	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	448								
68	68	201	201	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	449				69				
68	68	202	202	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	450				69				
68	68	203	203	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	451								
68	68	201	201	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	452								
68	68	201	201	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	453								
68	68	203	203	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	454								
68	68	201	201	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	455								
69	69	204	204	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	456			articStaccatoAbove	70				
69	69	205	205	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	457			articStaccatoBelow	70				
69	69	206	206	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	458			articStaccatoBelow					
69	69	204	204	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	459								
69	69	204	204	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	460								
69	69	204	204	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	461								
70	70	207	207	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	462			articStaccatoAbove	71				
70	70	208	208	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	463			articStaccatoAbove	71				
70	70	209	209	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	464			articStaccatoAbove					
71	71	210	210	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	465				72				
71	71	211	211	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	466				72				
71	71	210	210	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	467								
71	71	212	212	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	468								
71	71	210	210	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	469				73				
71	71	212	212	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	470				73				
72	72	213	213	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	471				72				
72	72	214	214	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	472				72				
72	72	215	215	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	473								
72	72	213	213	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	474								
72	72	215	215	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	475								
72	72	213	213	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	476				73				
72	72	215	215	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	477				73				
73	73	216	216	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	478				74				
73	73	217	217	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	479				74				
73	73	216	216	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	480								
73	73	218	218	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	481								
73	73	216	216	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	482				73				
73	73	218	218	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	483				73				
74	74	219	219	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	484				74				
74	74	220	220	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	485				74				
74	74	219	219	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	486								
74	74	221	221	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	487								
74	74	219	219	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	488				73				
74	74	221	221	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	489								
75	75	222	222	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	490				74				
75	75	223	223	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	491				74				
75	75	224	224	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	492				74				
75	75	222	222	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	493								
75	75	222	222	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	494								
76	76	225	225	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	495				74				
76	76	226	226	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	496				74				
76	76	227	227	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	497				74				
76	76	225	225	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	498								
76	76	225	225	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	499								
77	77	228	228	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	500								
77	77	228	228	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	501				75				
77	77	229	229	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	502				75				
77	77	230	230	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	503								
77	77	228	228	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	504								
78	78	231	231	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	505								
78	78	232	232	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	506								
78	78	233	233	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	507								
79	79	234	234	0.0	0	0	Dynamic	3/4	1	1	0					p						
79	79	235	235	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	508								
79	79	235	235	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	509				76				
79	79	236	236	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	510				76				
79	79	234	234	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	511								
79	79	234	234	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	512								
80	80	237	237	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	513								
80	80	237	237	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	514				76				
80	80	238	238	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	515				76				
80	80	239	239	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	516								
80	80	237	237	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	517				77				
80	80	238	238	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	518				77				
80	80	239	239	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	519								
80	80	237	237	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	520								
81	81	241	241	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	521								
81	81	241	241	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	522				78				
81	81	242	242	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	523				78				
81	81	240	240	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	524								
81	81	240	240	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	525								
82	82	243	243	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	526								
82	82	243	243	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	527				78				
82	82	244	244	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	528				78				
82	82	245	245	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	529								
82	82	243	243	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	530				79				
82	82	244	244	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	531				79				
82	82	245	245	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	532								
82	82	243	243	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	533								
83	83	246	246	0.0	0	0	Dynamic	3/4	1	1	0					p						
83	83	247	247	0.0	1/4	1/4	Spanner	3/4	1	1	0									5		
83	83	247	247	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	534				80		5		
83	83	248	248	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	535				80		5		
83	83	247	247	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	536						5		
83	83	248	248	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	537				81				
83	83	246	246	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	538								
84	84	249	249	0.0	0	0	Spanner	3/4	1	1	0							80				
84	84	249	249	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	539				80				
84	84	250	250	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	540				80				
84	84	251	251	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	541								
84	84	249	249	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	542								
84	84	249	249	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	543				81				
84	84	250	250	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	544				81				
84	84	251	251	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	545								
84	84	249	249	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	546								
85	85	253	253	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	547								
85	85	253	253	1.0	1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	548				82				
85	85	254	254	1.0	1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	549				82				
85	85	254	254	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	550				83				
85	85	252	252	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	551								
86	86	255	255	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	552								
86	86	255	255	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	553								
86	86	256	256	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	554								
86	86	257	257	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	555								
86	86	255	255	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	556				83				
86	86	256	256	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	557				83				
86	86	257	257	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	558				83				
86	86	255	255	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	559								
87	87	258	258	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	560				84				
87	87	259	259	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	561				84				
