mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line
1	0	0	0	0.5	0	3/8	Chord	2/4	2	1	1/8		1/8	1	0			articStaccatoBelow		
2	1	1/2	1/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1			articStaccatoAbove		
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	2			articStaccatoAbove		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	3			articStaccatoAbove		
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4			articStaccatoAbove		
3	2	5/2	5/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	5			articStaccatoAbove		
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	6			articStaccatoAbove		
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	7			articStaccatoAbove		
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	8			articStaccatoAbove		
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	9			articStaccatoAbove		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	10			articStaccatoAbove		
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	11				0	
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	12				0	
4	3	6	6	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	13				0	
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	14					
5	4	8	8	0.0	3/8	3/8	Dynamic	2/4	1	1	0						mf			
5	4	8	8	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15	mf		articStaccatoBelow		
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	16			articStaccatoAbove		
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	17			articStaccatoAbove		
5	4	15/2	15/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	18				1	
5	4	31/4	31/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	19				1	
5	4	8	8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	20				1	
5	4	33/4	33/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	21					
6	5	17/2	17/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	22			articStaccatoBelow		
6	5	9	9	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	23			articStaccatoBelow		
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	24			articStaccatoBelow		
6	5	10	10	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	25			articStaccatoBelow		
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	26			articStaccatoAbove		
6	5	9	9	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	27				2	
6	5	37/4	37/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	28					
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	29			articStaccatoAbove		
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	30			articStaccatoAbove		
7	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	31			articStaccatoBelow		
7	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	32			articStaccatoBelow		
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	33			articStaccatoBelow		
7	6	12	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	34			articStaccatoBelow		
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	35			articStaccatoAbove		
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	36			articStaccatoAbove		
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	37			articStaccatoAbove		
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	38			articStaccatoAbove		
8	7	25/2	25/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	39			articStaccatoAbove		
8	7	13	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	40			articStaccatoAbove		
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	41				3	
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	42				3	
8	7	14	14	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	43			articStaccatoAbove	3	
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	44					
8	7	25/2	25/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	45			articStaccatoAbove		
8	7	13	13	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	46			articStaccatoAbove		
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	47			articStaccatoAbove		
8	7	14	14	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	48			articStaccatoAbove		
9	8	29/2	29/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	49			articStaccatoBelow		
9	8	15	15	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	50			articStaccatoBelow		
9	8	31/2	31/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	51					
9	8	63/4	63/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	52					
9	8	16	16	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	53					
9	8	65/4	65/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	54					
9	8	16	16	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	55					
9	8	29/2	29/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	56			articStaccatoAbove		
9	8	15	15	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	57			articStaccatoAbove		
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	58			articStaccatoAbove		
9	8	16	16	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	59			articStaccatoAbove		
10	9	33/2	33/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	60			articStaccatoAbove		
10	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	61			articStaccatoAbove		
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	62			articStaccatoAbove		
10	9	18	18	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	63			articStaccatoAbove		
10	9	33/2	33/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	64			articStaccatoBelow		
10	9	17	17	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	65			articStaccatoBelow		
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	66			articStaccatoBelow		
