mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0		0	31/32	Dynamic	4/4	2	1	0						f										
1	0	0	0	0.125		0	31/32	Chord	4/4	2	1	1/32		1/32	1	0												
2	1	1	1	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	1												
2	1	9/8	9/8	0.0		1/4	1/4	Dynamic	4/4	1	1	0						sf										
2	1	9/8	9/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	2												
2	1	17/8	17/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	3												
2	1	3	3	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	4												
2	1	25/8	25/8	0.0		3/4	3/4	Dynamic	4/4	1	1	0						sf										
2	1	25/8	25/8	0.0		3/4	3/4	Spanner	4/4	1	1	0											0					
2	1	25/8	25/8	0.75		3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	5			ornamentTrill				0					
2	1	31/8	31/8	0.125		15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	6							0					
2	1	4	4	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	7							0					
2	1	25/8	25/8	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	8							0					
2	1	1/8	1/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	9												
2	1	1	1	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	10												
2	1	9/8	9/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	11												
2	1	17/8	17/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	12												
2	1	3	3	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	13												
2	1	25/8	25/8	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	14												
3	2	33/8	33/8	0.0		0	0	Spanner	4/4	1	1	0																
3	2	33/8	33/8	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	15												
3	2	41/8	41/8	0.0		1/4	1/4	Spanner	4/4	1	1	0													0			
3	2	41/8	41/8	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	16									0			
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/32	1	17									0			
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/32	1	18									0			
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/32	1	19									0			
3	2	49/8	49/8	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	20									0			
3	2	33/8	33/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	21												
3	2	41/8	41/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	22												
3	2	45/8	45/8	0.0		3/8	3/8	Spanner	4/4	2	1	0															0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	23											0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	24											0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	25											0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	26											0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	27											0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	28											0	0
3	2	49/8	49/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	29											0	0
3	2	49/8	49/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	30											0	0
3	2	8	8	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	31	f										0	0
4	3	65/8	65/8	0.0		0	0	Spanner	4/4	1	1	0																
4	3	9	9	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	32												
4	3	73/8	73/8	0.0		1/4	1/4	Dynamic	4/4	1	1	0						sf										
4	3	73/8	73/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	33												
4	3	81/8	81/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	34												
4	3	11	11	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	35												
4	3	89/8	89/8	0.0		3/4	3/4	Dynamic	4/4	1	1	0						sf										
4	3	89/8	89/8	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	36												
4	3	95/8	95/8	0.0		15/16	15/16	Spanner	4/4	1	1	0											1					
4	3	89/8	89/8	0.75		3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	37			ornamentTrill				1					
4	3	95/8	95/8	0.125		15/16	15/16	Chord	4/4	1	2	1/32		1/32	1	38							1					
