mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
1	1	1/2	1/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	0								
1	1	7/8	7/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	1								
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	2								
1	1	2	2	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	3								
1	1	19/8	19/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	4								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	5								
1	1	0	0	0.0	0	0	Dynamic	6/8	2	1	0						pp						
1	1	0	0	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	6								
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	7								
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	8			articStaccatoAbove	0				
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	9			articStaccatoAbove					
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	10								
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	11			articStaccatoBelow	1				
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	12			articStaccatoBelow					
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	13								
3	3	13/2	13/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	14								
3	3	55/8	55/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	15								
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	16								
3	3	8	8	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	17								
3	3	67/8	67/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	18								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	19								
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	20								
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	21								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	22			articStaccatoBelow	2				
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	23			articStaccatoBelow					
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	24								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	25			articStaccatoBelow	3				
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	26			articStaccatoBelow					
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	27								
5	5	25/2	25/2	0.0	1/8	1/8	Spanner	6/8	1	1	0											0	
5	5	25/2	25/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	28	<						0	
5	5	103/8	103/8	0.0	7/32	7/32	Spanner	6/8	1	1	0												
5	5	103/8	103/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	29								
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	30								
5	5	14	14	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	31								
5	5	115/8	115/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	32								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	33				4				
5	5	12	12	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	34				5				
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	35								
6	6	15	15	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	36				4				
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	37				4				
6	6	16	16	0.0	1/4	1/4	Dynamic	6/8	1	1	0						sf						
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	38								
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	1	1	0									0			
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	39					0			
6	6	35/2	35/2	0.0	5/8	5/8	Spanner	6/8	1	1	0												
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	40			articAccentBelow					
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	41								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	42								
