mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	Trill:trill
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0						p							
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8		1/8	1	0			articStaccatoBelow						
1	0	0	0	0.5		0	3/8	Chord	2/4	2	1	1/8		1/8	1	1			articStaccatoBelow						
2	1	1/2	1/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	2			articStaccatoBelow						
2	1	2	2	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	3				0					
2	1	13/6	13/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	4				0					
2	1	7/3	7/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	5									
2	1	1/2	1/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	6			articStaccatoBelow						
3	2	5/2	5/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	7			articStaccatoAbove						
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	8			articStaccatoBelow						
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	9			articStaccatoBelow						
4	3	9/2	9/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	10			articStaccatoBelow						
4	3	6	6	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	11				1					
4	3	37/6	37/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	12				1					
4	3	19/3	19/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	13									
4	3	9/2	9/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	14			articStaccatoBelow						
5	4	13/2	13/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	15			articStaccatoAbove						
5	4	8	8	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	16				2					
6	5	17/2	17/2	0.0		0	0	Spanner	2/4	1	1	0								2		0			
6	5	17/2	17/2	0.375		0	0	Chord	2/4	1	1	3/32		1/16	3/2	17				2		0			
6	5	71/8	71/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	18				2		0			
6	5	9	9	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	19				2		0			
6	5	10	10	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	20				2		0			
6	5	17/2	17/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	21				3					
6	5	19/2	19/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	22				3					
7	6	21/2	21/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	23				2		0			
7	6	11	11	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	24				2		0			
7	6	12	12	0.0		3/8	3/8	Spanner	2/4	1	1	0								2					
7	6	12	12	0.0		3/8	3/8	Spanner	2/4	1	1	0								2				0	
7	6	12	12	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	25				2				0	
7	6	21/2	21/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	26				3					
7	6	23/2	23/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	27				3					
8	7	25/2	25/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	28				2				0	
8	7	13	13	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	29				2				0	
8	7	14	14	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	30				2				0	
8	7	57/4	57/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	31								0	
8	7	25/2	25/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	32				3					
8	7	27/2	27/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	33				3					
9	8	29/2	29/2	0.0		0	0	Spanner	2/4	1	1	0													
9	8	29/2	29/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	34				4					
9	8	15	15	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	35									
9	8	29/2	29/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	36									
10	9	33/2	33/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	37			ornamentTrill	5					
10	9	17	17	0.0		1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	38				5					
10	9	17	17	0.0		1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	39				5					
10	9	17	17	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	40				5					
10	9	18	18	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	41				5					
10	9	73/4	73/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	42									
10	9	33/2	33/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	43				6					
10	9	35/2	35/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	44				6					
11	10	37/2	37/2	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	45									
11	10	37/2	37/2	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	46									
