mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	diminuendo_line	crescendo_line
1	0	0	0	0.0	0	1/4	Dynamic	3/8	1	1	0						p				
1	0	0	0	0.25	0	1/4	Chord	3/8	1	1	1/16		1/16	1	0	p			0		
1	0	1/4	1/4	0.25	1/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1				0		
2	1	1/2	1/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	2			articStaccatoBelow			
2	1	1	1	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	3				1		
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	4				1		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	5			articStaccatoBelow			
3	2	2	2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	6				2		
3	2	9/4	9/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	7				2		
3	2	5/2	5/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	8			articStaccatoAbove			
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	9			articStaccatoAbove			
4	3	7/2	7/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	10				3		
4	3	9/2	9/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	11				3		
4	3	19/4	19/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	12				3		
4	3	7/2	7/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	13				4		
4	3	9/2	9/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	14				4		
4	3	19/4	19/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	15				4		
4	3	7/2	7/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	16						
5	4	5	5	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	17			articStaccatoAbove			
5	4	6	6	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	18				5		
5	4	25/4	25/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	19				5		
5	4	5	5	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	20			articStaccatoAbove			
5	4	5	5	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	21						
6	5	13/2	13/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	22			articStaccatoAbove			
6	5	7	7	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	23				6		
6	5	29/4	29/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	24				6		
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	25			articStaccatoAbove			
7	6	8	8	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	26				7		
7	6	33/4	33/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	27				7		
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	28			articStaccatoAbove			
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	29			articStaccatoAbove			
8	7	19/2	19/2	0.0	0	0	Dynamic	3/8	1	1	0						sf				
8	7	19/2	19/2	0.0	0	0	Chord	3/8	1	1	0	acciaccatura	1/8	1	30						
8	7	19/2	19/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	31				8		
8	7	21/2	21/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	32				8		
8	7	43/4	43/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	33				8		
8	7	19/2	19/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	34				9		
8	7	21/2	21/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	35				9		
8	7	43/4	43/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	36				9		
8	7	19/2	19/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	37						
9	8	11	11	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	38						
9	8	12	12	0.0	1/4	1/4	Dynamic	3/8	1	1	0						p				
9	8	12	12	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	39	p			10		
9	8	73/6	73/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	40				10		
9	8	37/3	37/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	41				10		
9	8	11	11	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	42						
9	8	11	11	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	43						
10	9	25/2	25/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	44				10		
10	9	38/3	38/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	45				10		
10	9	77/6	77/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	46				10		
10	9	13	13	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	47			articStaccatoBelow			
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	48			articStaccatoAbove			
11	10	29/2	29/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	49			articStaccatoAbove			
11	10	15	15	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	50				11		
11	10	91/6	91/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	51				11		
11	10	46/3	46/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	52				11		
11	10	14	14	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	53			articStaccatoBelow			
12	11	31/2	31/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	54				11		
12	11	47/3	47/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	55				11		
12	11	95/6	95/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	56				11		
12	11	16	16	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	57			articStaccatoBelow			
12	11	33/2	33/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	58			articStaccatoAbove			
13	12	35/2	35/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	59			articStaccatoAbove			
13	12	18	18	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	60				12		
13	12	109/6	109/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	61				12		
13	12	55/3	55/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	62				12		
13	12	17	17	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	63			articStaccatoBelow			
14	13	37/2	37/2	0.0	0	0	Spanner	3/8	1	1	0								12		0
14	13	37/2	37/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	64	<			12		0
14	13	56/3	56/3	0.0	1/24	1/24	Spanner	3/8	1	1	0								12		
14	13	56/3	56/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	65				12		
14	13	113/6	113/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	66				12		
14	13	19	19	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	67				12		
14	13	115/6	115/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	68				12		
14	13	58/3	58/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	69				12		
14	13	39/2	39/2	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	70				12		
14	13	157/8	157/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	71				12		
14	13	79/4	79/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	72				12		
14	13	159/8	159/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	73				12		
15	14	20	20	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	74			articStaccatoAbove			
15	14	41/2	41/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	75			articStaccatoAbove			
15	14	21	21	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	76			articStaccatoAbove			
15	14	21	21	0.125	1/4	1/4	Chord	3/8	2	1	1/32		1/32	1	77				13		
15	14	169/8	169/8	0.125	9/32	9/32	Chord	3/8	2	1	1/32		1/32	1	78				13		
15	14	85/4	85/4	0.125	5/16	5/16	Chord	3/8	2	1	1/32		1/32	1	79				13		
15	14	171/8	171/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	80				13		
16	15	43/2	43/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	81			articStaccatoAbove			
16	15	22	22	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	82			articStaccatoAbove			
16	15	45/2	45/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	83			articStaccatoAbove			
16	15	43/2	43/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	84				13		
16	15	65/3	65/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	85				13		
16	15	131/6	131/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	86				13		
16	15	22	22	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	87				13		
16	15	133/6	133/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	88				13		
16	15	67/3	67/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	89				13		
16	15	45/2	45/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	90				13		
16	15	68/3	68/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	91				13		
16	15	137/6	137/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	92				13		
17	16	23	23	0.0	0	0	Dynamic	3/8	1	1	0						sf				
