mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	1/4	Dynamic	6/8	1	1	0					p					
1	0	0	0	0.5	0	1/4	Chord	6/8	1	1	1/8		1/8	1	0		articStaccatoBelow				
1	0	1/2	1/2	0.5	1/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1		articStaccatoBelow				
1	0	1	1	0.5	1/4	1/2	Chord	6/8	1	1	1/8		1/8	1	2		articStaccatoBelow				
1	0	3/2	3/2	0.5	3/8	5/8	Chord	6/8	1	1	1/8		1/8	1	3		articStaccatoBelow				
1	0	1	1	0.5	1/4	1/2	Chord	6/8	2	1	1/8		1/8	1	4		articStaccatoAbove				
1	0	3/2	3/2	0.5	3/8	5/8	Chord	6/8	2	1	1/8		1/8	1	5		articStaccatoAbove				
2	1	2	2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	6				0		
2	1	5/2	5/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	7						
2	1	3	3	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	8		articStaccatoBelow				
2	1	7/2	7/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	9		articStaccatoBelow				
2	1	4	4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	10		articStaccatoBelow				
2	1	9/2	9/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	11		articStaccatoBelow				
2	1	2	2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	12						
2	1	4	4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	13		articStaccatoAbove				
2	1	9/2	9/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	14		articStaccatoAbove				
3	2	5	5	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	15				1		
3	2	11/2	11/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	16						
3	2	6	6	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	17		articStaccatoAbove				
3	2	13/2	13/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	18		articStaccatoAbove				
3	2	7	7	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	19		articStaccatoAbove				
3	2	15/2	15/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	20		articStaccatoAbove				
3	2	5	5	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	21						
3	2	7	7	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	22		articStaccatoAbove				
3	2	15/2	15/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	23		articStaccatoAbove				
4	3	8	8	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	24		articStaccatoBelow				
4	3	17/2	17/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	25		articStaccatoBelow				
4	3	9	9	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	26		articStaccatoBelow				
4	3	19/2	19/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0					sf					
4	3	19/2	19/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	27						
4	3	19/2	19/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	28						
4	3	19/2	19/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	29				2		
4	3	10	10	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	30						
4	3	21/2	21/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	31		articStaccatoBelow				
4	3	8	8	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	32		articStaccatoAbove				
4	3	17/2	17/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	33		articStaccatoAbove				
4	3	9	9	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	34		articStaccatoAbove				
4	3	19/2	19/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	35						
5	4	11	11	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	36				3		
5	4	23/2	23/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	37						
5	4	12	12	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	38		articStaccatoBelow				
5	4	25/2	25/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	39		articStaccatoBelow				
5	4	13	13	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	40		articStaccatoBelow				
5	4	27/2	27/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	41		articStaccatoBelow				
5	4	11	11	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	42						
5	4	13	13	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	43		articStaccatoAbove				
5	4	27/2	27/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	44		articStaccatoAbove				
6	5	14	14	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	45				4		
6	5	29/2	29/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	46						
6	5	15	15	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	47		articStaccatoBelow				
