mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	1	3	3	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	0	pp	
1	1	7/2	7/2	0.0	7/8	7/8	Chord	9/8	1	1	0	acciaccatura	1/8	1	1		
1	1	7/2	7/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	2		
1	1	15/4	15/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	3		
1	1	4	4	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	4		
1	1	17/4	17/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	5		
1	1	0	0	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	6		articStaccatoAbove
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	7		articStaccatoAbove
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	8		articStaccatoAbove
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	9		articStaccatoAbove
1	1	2	2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	10		articStaccatoAbove
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	11		articStaccatoAbove
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	12		articStaccatoAbove
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	13		articStaccatoAbove
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	14		articStaccatoAbove
2	2	9/2	9/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	15		
2	2	6	6	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	16		
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	17		
2	2	8	8	0.0	7/8	7/8	Chord	9/8	1	1	0	acciaccatura	1/8	1	18		
2	2	8	8	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	19		
2	2	33/4	33/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	20		
2	2	17/2	17/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	21		
2	2	35/4	35/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	22		
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	23		
2	2	5	5	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	24		
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	25		
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	26		
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	27		
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	28		
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	29		
2	2	8	8	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	30		
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	31		
3	3	9	9	1.0	0	0	Chord	9/8	1	1	1/4		1/4	1	32		
3	3	10	10	0.375	1/4	1/4	Chord	9/8	1	1	3/32		1/16	3/2	33		
3	3	83/8	83/8	0.125	11/32	11/32	Chord	9/8	1	1	1/32		1/32	1	34		
3	3	21/2	21/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	35		
3	3	12	12	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	36		
3	3	25/2	25/2	0.0	7/8	7/8	Chord	9/8	1	1	0	acciaccatura	1/8	1	37		
3	3	25/2	25/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	38		
3	3	51/4	51/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	39		
3	3	13	13	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	40		
3	3	53/4	53/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	41		
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	42		
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	43		
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	44		
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	45		
3	3	11	11	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	46		
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	47		
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	48		
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	49		
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	50		
4	4	27/2	27/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	51		
4	4	15	15	0.25	3/8	3/8	Chord	9/8	1	1	1/16		1/16	1	52		
4	4	61/4	61/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16		1/16	1	53		
4	4	31/2	31/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16		1/16	1	54		
4	4	63/4	63/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16		1/16	1	55		
4	4	16	16	0.25	5/8	5/8	Chord	9/8	1	1	1/16		1/16	1	56		
4	4	65/4	65/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16		1/16	1	57		
4	4	33/2	33/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16		1/16	1	58		
4	4	67/4	67/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16		1/16	1	59		
4	4	17	17	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	60		
4	4	69/4	69/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	61		
4	4	35/2	35/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	62		
4	4	71/4	71/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	63		
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	64		
4	4	14	14	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	65		
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	66		
4	4	15	15	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	67		
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	68		
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	69		
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	70		
4	4	17	17	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	71		
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	72		
5	5	18	18	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	73		
5	5	39/2	39/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	74		
5	5	21	21	0.25	3/4	3/4	Chord	9/8	1	1	1/16		1/16	1	75		
5	5	85/4	85/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16		1/16	1	76		
5	5	43/2	43/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	77		
5	5	87/4	87/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	78		
5	5	22	22	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	79		
5	5	89/4	89/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	80		
5	5	18	18	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	81		
5	5	37/2	37/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	82		
5	5	19	19	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	83		
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	84		
5	5	20	20	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	85		
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	86		
5	5	21	21	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	87		
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	88		
5	5	22	22	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	89		
6	6	45/2	45/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	90	<	
6	6	24	24	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	91		
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	92		
6	6	25	25	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	93		
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	94		
6	6	26	26	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	95		
6	6	53/2	53/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	96		
6	6	45/2	45/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	97		
6	6	23	23	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	98		
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	99		
6	6	24	24	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	100		
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	101		
6	6	25	25	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	102		
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	103		
6	6	26	26	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	104		
6	6	53/2	53/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	105		
7	7	27	27	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	106		
7	7	57/2	57/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	107		
7	7	30	30	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	108		
7	7	61/2	61/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	109		
7	7	123/4	123/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	110		
7	7	31	31	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	111		
7	7	125/4	125/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	112		
