mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	9/8	Dynamic	12/8	1	1	0					pp									
1	0	0	0	1.0	0	9/8	Chord	12/8	1	1	1/4		1/4	1	0				0						
1	0	1	1	0.25	1/4	11/8	Chord	12/8	1	1	1/16		1/16	1	1				0						
1	0	5/4	5/4	0.25	5/16	23/16	Chord	12/8	1	1	1/16		1/16	1	2				0						
1	0	0	0	0.0	0	9/8	Spanner	12/8	2	1	0													0	
1	0	0	0	1.0	0	9/8	Chord	12/8	2	1	1/4		1/4	1	3				1					0	
1	0	1	1	0.25	1/4	11/8	Chord	12/8	2	1	1/16		1/16	1	4				1					0	
1	0	5/4	5/4	0.25	5/16	23/16	Chord	12/8	2	1	1/16		1/16	1	5				1					0	
2	1	3/2	3/2	3.0	0	0	Chord	12/8	1	1	3/4		1/2	3/2	6				0						
2	1	9/2	9/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	7				0						
2	1	6	6	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	8				0						
2	1	7	7	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	9				0						
2	1	29/4	29/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	10				0						
2	1	3/2	3/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	11				1					0	
2	1	9/2	9/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	12				1					0	
2	1	6	6	0.0	9/8	9/8	Spanner	12/8	2	1	0								1						
2	1	6	6	0.0	9/8	9/8	Spanner	12/8	2	1	0								1					1	
2	1	6	6	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	13				1					1	
2	1	7	7	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	14				1					1	
2	1	29/4	29/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	15				1					1	
3	2	15/2	15/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	16				0						
3	2	9	9	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	17				0						
3	2	10	10	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	18				0						
3	2	41/4	41/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	19				0						
3	2	21/2	21/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	20				0						
3	2	12	12	1.5	9/8	9/8	Chord	12/8	1	1	3/8		1/4	3/2	21										
3	2	15/2	15/2	1.5	0	0	Chord	12/8	2	1	3/8		1/4	3/2	22				1					1	
3	2	9	9	0.0	3/8	3/8	Spanner	12/8	2	1	0								1						
3	2	9	9	0.0	3/8	3/8	Spanner	12/8	2	1	0								1					2	
3	2	9	9	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	23				1					2	
3	2	10	10	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	24				1					2	
3	2	41/4	41/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	25				1					2	
3	2	21/2	21/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	26				1					2	
3	2	12	12	0.0	9/8	9/8	Spanner	12/8	2	1	0								1						
3	2	12	12	0.0	9/8	9/8	Spanner	12/8	2	1	0								1					3	
3	2	12	12	1.5	9/8	9/8	Chord	12/8	2	1	3/8		1/4	3/2	27				1					3	
4	3	27/2	27/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	28				2						
