mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	Trill:trill
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	50				5				
6	6	11	11	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	51				5				
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	52				5				
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	53				5				
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	54								
6	6	10	10	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	55				6				
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	56				6				
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	57				7				
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	58				7				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	59				7				
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	60				7				
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	61				7				
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	62				7				
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	63								
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	64				6				
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	65				6				
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	66				8				
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	67				8				
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	68				8				
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	69				8				
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	70				8				
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	71	pp							
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	72								
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	73				9				
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0						pp						
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	74				10				
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	75				10				
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	76				10				
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	77				10				
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	78				10				
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	79				10				
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	80				10				
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	81				10				
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	82								
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	83			articStaccatoAbove					
10	10	18	18	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	84				10				
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	85				10				
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	86				10				
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	87				10				
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	88				10				
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	89				10				
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	90				10				
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	91								
10	10	18	18	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	92				11				
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	93				11				
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	94				12				
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	95				12				
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	96								
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	97				13				
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	98				13				
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	99								
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	100				11				
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	101				11				
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	102				14				
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	103				14				
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	104								
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	105				15				
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	106				15				
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	107	pp							
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	108				11				
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	109								
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	110				16				
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	111	pp			17				
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	112				17				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	113				17				
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	114				17				
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	115				17				
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	116				17				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	117				17				
13	13	24	24	0.0	0	0	Dynamic	2/4	2	1	0						pp						
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	118								
13	13	49/2	49/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0						pp						
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	119			articStaccatoAbove					
14	14	26	26	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	120				17				
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	121				17				
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	122				17				
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	123				17				
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	124				17				
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	125				17				
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	126				17				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	127								
14	14	26	26	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	128				18				
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	129				18				
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	130				19				
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	131				19				
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	132								
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	133				20				
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	134				20				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	135								
15	15	28	28	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	136				18				
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	137				18				
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	138				21				
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	139				21				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	140								
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	141				22				
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	142				22				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	143								
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	144				18				
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	145								
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	146				23				
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	147				23				
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	148								
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	149				24				
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	150				24				
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	151								
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	152				25				
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	153				25				
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	154				26				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	155				26				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	156								
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	157				27				
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	158				27				
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	159								
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	160				25				
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	161								
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	162				28				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	163				28				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	164								
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	165				29				
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	166				29				
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	167								
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	168				30				
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	169								
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	170				31				
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	171				31				
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	172								
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	173				32				
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	174				32				
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	175								
20	20	38	38	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	176			articStaccatoAbove	33				
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	177			articStaccatoAbove					
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	178				34				
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	179				34				
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	180								
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	181				35				
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	182				35				
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	183								
21	21	40	40	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	184			articStaccatoAbove	36				
21	21	41	41	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	185			articStaccatoAbove					
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	186				37				
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	187				37				
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	188								
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	189				38				
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	190				38				
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	191								
22	22	42	42	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	192			articStaccatoAbove	39				
22	22	43	43	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	193			articStaccatoAbove					
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	194	pp			40				
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	195				40				
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	196				40				
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	197				40				
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	198				40				
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	199				40				
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	200				40				
23	23	44	44	0.0	0	0	Dynamic	2/4	2	1	0						pp						
23	23	44	44	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	201								
24	24	46	46	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	202				40				
24	24	185/4	185/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	203				40				
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	204				40				
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	205				40				
24	24	47	47	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	206				40				
24	24	189/4	189/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	207				40				
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	208				40				
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	209				40				
25	25	48	48	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	210				40				
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	211				40				
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	212				40				
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	213				40				
25	25	49	49	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	214				40				
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	215				40				
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	216				40				
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	217				40				
26	26	50	50	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	218	<			40				
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	219				40				
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	220				40				
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	221				40				
26	26	51	51	0.0	1/4	1/4	Spanner	2/4	1	1	0								40			0	
26	26	51	51	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	222				40			0	
26	26	205/4	205/4	0.0	5/16	5/16	Spanner	2/4	1	1	0								40				
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	223				40				
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	224				40				
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	225				40				
27	27	52	52	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	226				40				
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	227				40				
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	228				40				
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	229				40				
27	27	53	53	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	230				40				
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	231				40				
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	232				40				
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	233				40				
28	28	54	54	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	234				40				
28	28	217/4	217/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	235				40				
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	236				40				
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	237				40				
28	28	55	55	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	238				40				
28	28	221/4	221/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	239				40				
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	240				40				
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	241				40				
29	29	56	56	0.0	0	0	Spanner	2/4	1	1	0								40		0		
29	29	56	56	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	242	>			40		0		
29	29	225/4	225/4	0.0	1/16	1/16	Spanner	2/4	1	1	0								40				
29	29	225/4	225/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	243				40				
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	244				40				
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	245				40				
29	29	57	57	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	246				40				
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	247				40				
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	248				40				
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	249				40				
30	30	58	58	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	250				40				
30	30	233/4	233/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	251				40				
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	252				40				
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	253				40				
30	30	59	59	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	254				40				
30	30	237/4	237/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	255				40				
30	30	119/2	119/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	256				40				
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	257				40				
31	31	60	60	0.0	0	0	Dynamic	2/4	1	1	0						other-dynamics						
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	258	pp		articStaccatoAbove					
31	31	121/2	121/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0						pp						
31	31	61	61	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	259			articStaccatoAbove					
31	31	60	60	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	260								
31	31	241/4	241/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	261								
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	262								
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	263								
31	31	61	61	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	264								
31	31	245/4	245/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	265								
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	266								
