mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	3/8	StaffText	2/4	1	1	0							Andante			
1	0	0	0	0.0	0	3/8	Dynamic	2/4	1	1	0					p					
1	0	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8		1/8	1	0						
2	1	1/2	1/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1				0		
2	1	1	1	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	2				0		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	3				0		
2	1	2	2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4						
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	5				1		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	6				1		
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	7						
3	2	5/2	5/2	0.0	0	0	Dynamic	2/4	1	1	0					mf					
3	2	5/2	5/2	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	8						
3	2	3	3	0.0	1/8	1/8	Dynamic	2/4	1	1	0					p					
3	2	5/2	5/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	9				2		
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	10				2		
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	11				2		
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	12						
4	3	9/2	9/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	13				3		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	14				3		
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	15				3		
4	3	6	6	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	16						
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	17				4		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	18				4		
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	19				4		
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	20						
5	4	13/2	13/2	0.0	0	0	Dynamic	2/4	1	1	0					mf					
5	4	13/2	13/2	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	21						
5	4	7	7	0.0	1/8	1/8	Dynamic	2/4	1	1	0					p					
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	22						
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	23						
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	24						
5	4	8	8	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	25						
6	5	17/2	17/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	26						
6	5	9	9	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	27				5		
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	28						
6	5	10	10	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	29				6		
6	5	17/2	17/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	30						
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	31						
7	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	32						
7	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	33				7		
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	34						
7	6	12	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	35				8		
7	6	21/2	21/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	36						
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	37						
8	7	25/2	25/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	38				8		
8	7	13	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	39				8		
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	40				8		
8	7	14	14	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	41						
8	7	25/2	25/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	42						
8	7	27/2	27/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	43						
9	8	29/2	29/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	44				9		
9	8	61/4	61/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	45				9		
9	8	123/8	123/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	46				9		
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	47						
9	8	16	16	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	48						
9	8	29/2	29/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	49				10		
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	50						
10	9	33/2	33/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	51				11		
10	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	52				11		
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	53				11		
10	9	18	18	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	54						
10	9	17	17	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	55				12		
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	56				12		
10	9	18	18	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	57						
11	10	37/2	37/2	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	58						
11	10	37/2	37/2	0.0	0	0	Dynamic	2/4	2	1	0					mf					
11	10	37/2	37/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	59				13		
11	10	19	19	0.0	1/8	1/8	Dynamic	2/4	2	1	0					p			13		
11	10	19	19	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	60				13		
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	61				13		
11	10	20	20	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	62						
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	63				14		
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	64				14		
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	65				14		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	66						
12	11	41/2	41/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	67				15		
12	11	21	21	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	68				15		
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	69				15		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	70						
13	12	45/2	45/2	0.0	0	0	Dynamic	2/4	1	1	0					fp					
13	12	45/2	45/2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	71						
13	12	24	24	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	72				16		
13	12	45/2	45/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	73						
13	12	23	23	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	74						
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	75						
13	12	24	24	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	76						
13	12	45/2	45/2	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	77						
13	12	24	24	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	78						
14	13	49/2	49/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	79				16		
14	13	99/4	99/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	80				16		
14	13	25	25	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	81				16		
14	13	101/4	101/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	82				16		
14	13	51/2	51/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	83				16		
14	13	103/4	103/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	84				16		
14	13	26	26	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	85				16		
14	13	105/4	105/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	86						
14	13	49/2	49/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	87						
14	13	26	26	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	88						
14	13	49/2	49/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	89						
14	13	26	26	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	90						
15	14	53/2	53/2	0.0	0	0	Dynamic	2/4	1	1	0					p					
15	14	53/2	53/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	91						
15	14	53/2	53/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	92						
15	14	53/2	53/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	93						
15	14	53/2	53/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	94				17		
15	14	27	27	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	95						
15	14	55/2	55/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	96						
15	14	55/2	55/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	97						
15	14	55/2	55/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	98						
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	99				18		
15	14	28	28	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	100						
15	14	53/2	53/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	101						
15	14	27	27	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	102						
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	103						
15	14	28	28	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	104						
15	14	53/2	53/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	105						
15	14	55/2	55/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	106						
16	15	57/2	57/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	107						
16	15	57/2	57/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	108						
16	15	57/2	57/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	109						
16	15	57/2	57/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	110				19		
16	15	115/4	115/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	111				19		
16	15	29	29	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	112				19		
16	15	117/4	117/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	113				19		
16	15	59/2	59/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	114				19		
16	15	119/4	119/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	115				19		
16	15	30	30	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	116				19		
16	15	121/4	121/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	117						
16	15	57/2	57/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	118						
17	16	61/2	61/2	0.0	0	0	StaffText	2/4	1	1	0							(dolce)			
17	16	61/2	61/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	119				20		
17	16	31	31	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	120						
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	121		articStaccatoAbove		21		
17	16	32	32	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	122		articStaccatoAbove				
17	16	61/2	61/2	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	123						
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	124						
17	16	31	31	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	125						
17	16	125/4	125/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	126						
17	16	63/2	63/2	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	127						
17	16	127/4	127/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	128						
17	16	32	32	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	129						
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	130						
18	17	65/2	65/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	131		ornamentTurn		22		
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	132				22		
18	17	67/2	67/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	133						
18	17	34	34	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	134						
18	17	65/2	65/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	135						
18	17	131/4	131/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	136						
18	17	33	33	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	137						
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	138						
18	17	67/2	67/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	139						
18	17	135/4	135/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	140						
18	17	34	34	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	141						
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	142						
19	18	69/2	69/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	143				23		
19	18	35	35	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	144						
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	145		articStaccatoAbove		24		
19	18	36	36	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	146		articStaccatoAbove				
19	18	69/2	69/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	147						
19	18	139/4	139/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	148						
19	18	35	35	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	149						
19	18	141/4	141/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	150						
19	18	71/2	71/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	151						
19	18	143/4	143/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	152						
19	18	36	36	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	153						
19	18	145/4	145/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	154						
20	19	73/2	73/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	155		ornamentTurn		25		
20	19	149/4	149/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	156						
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	157						
20	19	38	38	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	158						
20	19	73/2	73/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	159						
20	19	147/4	147/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	160						
20	19	37	37	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	161						
20	19	149/4	149/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	162						
20	19	75/2	75/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	163						
20	19	151/4	151/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	164						
