mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	decrescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.	crescendo_hairpin	TextLine	Trill:trill
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							"Allegrovivace.
"	144.0	1.0									
1	0	0	0	0.0	0	3/8	Dynamic	2/4	1	1	0				p														
1	0	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8	1/8	1	0															
2	1	1/2	1/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	1							0								
2	1	3/2	3/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	2															
2	1	1/2	1/2	0.0	0	0	Dynamic	2/4	2	1	0				p														
2	1	3/4	3/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	3															
2	1	1	1	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	4															
2	1	5/4	5/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	5															
2	1	3/2	3/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	6															
2	1	7/4	7/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	7															
2	1	2	2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	8															
2	1	9/4	9/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	9															
3	2	5/2	5/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	10															
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	11		ornamentTrill													
3	2	7/2	7/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	12															
3	2	3	3	0.1	1/8	1/8	Chord	2/4	1	2	1/40	1/16	2/5	13															
3	2	31/10	31/10	0.1	3/20	3/20	Chord	2/4	1	2	1/40	1/16	2/5	14															
3	2	16/5	16/5	0.1	7/40	7/40	Chord	2/4	1	2	1/40	1/16	2/5	15															
3	2	33/10	33/10	0.1	1/5	1/5	Chord	2/4	1	2	1/40	1/16	2/5	16															
3	2	17/5	17/5	0.1	9/40	9/40	Chord	2/4	1	2	1/40	1/16	2/5	17															
3	2	5/2	5/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	18															
3	2	11/4	11/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	19															
3	2	3	3	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	20															
3	2	13/4	13/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	21															
3	2	7/2	7/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	22															
3	2	15/4	15/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	23															
3	2	4	4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	24															
3	2	17/4	17/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	25															
4	3	9/2	9/2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	26							1								
4	3	19/4	19/4	0.0	1/16	1/16	Spanner	2/4	1	1	0										1			0					
4	3	19/4	19/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	27							1			0					
4	3	5	5	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	28							1			0					
4	3	21/4	21/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	29							1			0					
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	30							1			0					
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	31							1			0					
