mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin
4	4	6	6	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	20										
5	4	7	7	0.0		0	3/4	Tempo	4/4	1	1	0							Allegromanontroppo	144.0	0.0				
5	4	7	7	0.75		0	3/4	Chord	4/4	1	1	3/16	1/8	3/2	21							4			
5	4	31/4	31/4	0.25		3/16	15/16	Chord	4/4	1	1	1/16	1/16	1	22							4			
6	5	8	8	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	23							4			
6	5	9	9	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	24							4			
6	5	10	10	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25							4			
6	5	11	11	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	26										
6	5	9	9	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	27										
6	5	10	10	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	28										
6	5	11	11	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	29										
6	5	8	8	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	30										
6	5	17/2	17/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	31										
6	5	9	9	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	32										
6	5	19/2	19/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	33										
6	5	10	10	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	34										
6	5	21/2	21/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	35										
6	5	11	11	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	36										
6	5	23/2	23/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	37										
7	6	12	12	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	38										
7	6	15	15	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39							5			
7	6	12	12	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	40										
7	6	25/2	25/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	41										
7	6	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	42										
7	6	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	43										
7	6	14	14	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	44										
7	6	29/2	29/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	45										
7	6	15	15	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	46										
7	6	31/2	31/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	47										
8	7	16	16	0.0		0	0	Spanner	4/4	1	1	0										5			0
8	7	16	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	48							5			0
8	7	17	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	49							5			0
8	7	18	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	50							5			0
8	7	19	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	51							5			0
8	7	16	16	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	52										
8	7	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	53										
8	7	17	17	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	54										
8	7	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	55										
8	7	18	18	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	56										
8	7	37/2	37/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	57										
8	7	19	19	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	58										
8	7	39/2	39/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	59										
8	7	16	16	3.0		0	0	Chord	4/4	2	2	3/4	1/2	3/2	60										
8	7	19	19	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	61										
9	8	20	20	0.0		0	0	Spanner	4/4	1	1	0										5			
9	8	20	20	0.0		0	0	Spanner	4/4	1	1	0										5		0	
9	8	20	20	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	62							5		0	
9	8	21	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	63							5		0	
9	8	22	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	64									0	
9	8	23	23	0.0		3/4	3/4	Spanner	4/4	1	1	0													
9	8	23	23	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	65										
9	8	93/4	93/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	66										
9	8	47/2	47/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	67										
9	8	95/4	95/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	68										
9	8	20	20	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	69										
9	8	41/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	70										
9	8	21	21	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	71										
9	8	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	72										
9	8	22	22	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	73										
9	8	45/2	45/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	74										
9	8	20	20	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	75										
9	8	21	21	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	76										
9	8	22	22	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	77										
10	9	24	24	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	78										
10	9	97/4	97/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	79										
10	9	49/2	49/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	80										
10	9	99/4	99/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	81										
10	9	25	25	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	82										
10	9	27	27	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	83										
10	9	109/4	109/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	84										
10	9	55/2	55/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	85										
10	9	111/4	111/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	86										
10	9	25	25	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	87										
10	9	101/4	101/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	88										
10	9	51/2	51/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	89										
10	9	103/4	103/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	90										
10	9	26	26	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	91										
11	10	28	28	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	92										
11	10	113/4	113/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	93										
11	10	57/2	57/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	94										
11	10	115/4	115/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	95										
11	10	29	29	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	96										
11	10	31	31	0.0		3/4	3/4	Spanner	4/4	1	1	0													1
11	10	31	31	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12	1/8	2/3	97							6			1
11	10	94/3	94/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12	1/8	2/3	98							6			1
11	10	95/3	95/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12	1/8	2/3	99							6			1
11	10	29	29	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	100										
11	10	117/4	117/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	101										
11	10	59/2	59/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	102										
11	10	119/4	119/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	103										
11	10	30	30	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	104										
11	10	31	31	0.3333333333333333		3/4	3/4	Chord	4/4	2	1	1/12	1/8	2/3	105										
11	10	94/3	94/3	0.3333333333333333		5/6	5/6	Chord	4/4	2	1	1/12	1/8	2/3	106										
11	10	95/3	95/3	0.3333333333333333		11/12	11/12	Chord	4/4	2	1	1/12	1/8	2/3	107										
12	11	32	32	0.0		0	0	Spanner	4/4	1	1	0										6			
12	11	32	32	0.3333333333333333		0	0	Chord	4/4	1	1	1/12	1/8	2/3	108							6			
12	11	97/3	97/3	0.3333333333333333		1/12	1/12	Chord	4/4	1	1	1/12	1/8	2/3	109							6			
12	11	98/3	98/3	0.3333333333333333		1/6	1/6	Chord	4/4	1	1	1/12	1/8	2/3	110							6			
12	11	33	33	0.3333333333333333		1/4	1/4	Chord	4/4	1	1	1/12	1/8	2/3	111							6			
12	11	100/3	100/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12	1/8	2/3	112							6			
12	11	101/3	101/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12	1/8	2/3	113							6			
12	11	34	34	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12	1/8	2/3	114							6			
12	11	103/3	103/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12	1/8	2/3	115							6			
12	11	104/3	104/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12	1/8	2/3	116							6			
12	11	35	35	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12	1/8	2/3	117							6			
12	11	106/3	106/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12	1/8	2/3	118							6			
12	11	107/3	107/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12	1/8	2/3	119										
12	11	32	32	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	120										
12	11	34	34	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	121							7			
12	11	35	35	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	122										
12	11	34	34	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	123										
13	12	36	36	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	124							8			
13	12	37	37	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	125							8			
13	12	38	38	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	126										
13	12	36	36	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	127							9			
13	12	37	37	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	128							9			
13	12	38	38	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	129										
14	13	40	40	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	130										
14	13	42	42	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	131										
14	13	40	40	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	132										
14	13	42	42	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	133										
15	14	44	44	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	134							10			
15	14	45	45	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	135							10			
15	14	46	46	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	136										
15	14	44	44	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	137							11			
15	14	45	45	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	138							11			
15	14	46	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	139										
16	15	48	48	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	140										
16	15	50	50	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	141										
16	15	48	48	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	142										
16	15	50	50	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	143										
17	16	52	52	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	144										
17	16	53	53	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	145										
17	16	213/4	213/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	146										
17	16	107/2	107/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	147										
17	16	215/4	215/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	148										
17	16	54	54	0.0		1/2	1/2	Spanner	4/4	1	1	0													2
17	16	54	54	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	149							12			2
17	16	52	52	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	150										
17	16	55	55	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	151							13			
18	17	56	56	0.0		0	0	Spanner	4/4	1	1	0										12			
18	17	56	56	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	152							12			
18	17	57	57	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	153			ornamentTurn				12			
18	17	231/4	231/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	154							12			
18	17	58	58	0.0		1/2	1/2	Dynamic	4/4	1	1	0					sf					12			
18	17	58	58	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	155							12			
18	17	59	59	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	156										
18	17	56	56	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	157										
18	17	59	59	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	158							14			
19	18	60	60	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	159										
19	18	241/4	241/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	160										
19	18	121/2	121/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	161										
19	18	243/4	243/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	162										
19	18	61	61	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	163										
19	18	245/4	245/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	164										
19	18	123/2	123/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	165										
19	18	247/4	247/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	166										
19	18	62	62	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	167										
19	18	249/4	249/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	168										
19	18	125/2	125/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	169										
19	18	251/4	251/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	170										
19	18	63	63	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	171										
19	18	253/4	253/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	172										
19	18	127/2	127/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	173										
19	18	255/4	255/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	174										
19	18	60	60	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	175							15			
19	18	62	62	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	176										
19	18	63	63	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	177										
20	19	64	64	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	178										
20	19	257/4	257/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	179										
20	19	129/2	129/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	180										
20	19	259/4	259/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	181										
20	19	65	65	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	182										
20	19	261/4	261/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	183										
20	19	131/2	131/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	184										
20	19	263/4	263/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	185										
20	19	66	66	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	186										
20	19	265/4	265/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	187										
20	19	133/2	133/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	188										
20	19	267/4	267/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	189										
20	19	67	67	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	190										
20	19	269/4	269/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	191										
20	19	135/2	135/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	192										
20	19	271/4	271/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	193										
20	19	64	64	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	194							16			
20	19	65	65	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	195							16			
20	19	66	66	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	196										
20	19	67	67	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	197										
21	20	68	68	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	198										
21	20	273/4	273/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	199										
21	20	137/2	137/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	200										
21	20	275/4	275/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	201										
21	20	69	69	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	202										
21	20	277/4	277/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	203										
21	20	139/2	139/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	204										
21	20	279/4	279/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	205										
21	20	70	70	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	206										
21	20	281/4	281/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	207										
21	20	141/2	141/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	208										
21	20	283/4	283/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	209										
21	20	71	71	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	210										
21	20	285/4	285/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	211										
21	20	143/2	143/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	212										
21	20	287/4	287/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	213										
21	20	68	68	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	214			articAccentAbove							
21	20	69	69	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	215										
21	20	70	70	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	216			articAccentAbove							
21	20	71	71	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	217										
22	21	72	72	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	218										
22	21	289/4	289/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	219										
22	21	145/2	145/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	220										
22	21	291/4	291/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	221										
22	21	73	73	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	222										
22	21	293/4	293/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	223										
22	21	147/2	147/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	224										
22	21	295/4	295/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	225										
22	21	74	74	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	226										
22	21	297/4	297/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	227										
22	21	149/2	149/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	228										
22	21	299/4	299/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	229										
22	21	75	75	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	230										
22	21	301/4	301/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	231										
22	21	151/2	151/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	232										
22	21	303/4	303/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	233										
22	21	72	72	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	234			articAccentAbove							
22	21	73	73	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	235										
22	21	75	75	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	236										
23	22	76	76	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	237										
23	22	305/4	305/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	238										
23	22	153/2	153/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	239										
23	22	307/4	307/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	240										
23	22	77	77	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	241										
23	22	309/4	309/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	242										
23	22	155/2	155/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	243										
23	22	311/4	311/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	244										
23	22	78	78	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	245										
23	22	313/4	313/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	246										
23	22	157/2	157/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	247										
23	22	315/4	315/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	248										
23	22	79	79	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	249										
23	22	317/4	317/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	250										
23	22	159/2	159/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	251										
23	22	319/4	319/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	252										
23	22	76	76	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	253			articAccentAbove							
23	22	77	77	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	254										
23	22	78	78	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	255			articAccentAbove							
23	22	79	79	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	256										
24	23	80	80	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	257										
24	23	321/4	321/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	258										
24	23	161/2	161/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	259										
24	23	323/4	323/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	260										
24	23	81	81	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	261										
24	23	325/4	325/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	262										
24	23	163/2	163/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	263										
24	23	327/4	327/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	264										
24	23	82	82	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	265										
24	23	329/4	329/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	266										
24	23	165/2	165/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	267										
24	23	331/4	331/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	268										
24	23	83	83	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	269										
24	23	333/4	333/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	270										
24	23	167/2	167/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	271										
24	23	335/4	335/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	272										
24	23	80	80	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	273			articAccentAbove							
24	23	81	81	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	274										
24	23	83	83	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	275										
25	24	84	84	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	276										
25	24	337/4	337/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	277										
25	24	169/2	169/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	278										
25	24	339/4	339/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	279										
25	24	85	85	0.0		1/4	1/4	Spanner	4/4	1	1	0													3
