mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
1	0	0	0	0.0		0	0	Tempo	2/2	1	1	0								Prestissimo	200.0	1.0					
1	0	0	0	0.0		0	0	Dynamic	2/2	2	1	0					p										
1	0	0	0	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	0							0				
1	0	1/3	1/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	1							0				
1	0	2/3	2/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	2											
1	0	1	1	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	3							1				
1	0	4/3	4/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	4							1				
1	0	5/3	5/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	5											
2	1	2	2	0.0		0	1/2	Dynamic	2/2	1	1	0					p										
2	1	2	2	1.0		0	1/2	Chord	2/2	1	1	1/4		1/4	1	6		articStaccatoAbove									
2	1	3	3	1.0		1/4	3/4	Chord	2/2	1	1	1/4		1/4	1	7		articStaccatoBelow									
2	1	2	2	0.3333333333333333		0	1/2	Chord	2/2	2	1	1/12		1/8	2/3	8											
2	1	7/3	7/3	0.3333333333333333		1/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	9											
2	1	8/3	8/3	0.3333333333333333		1/6	2/3	Chord	2/2	2	1	1/12		1/8	2/3	10											
2	1	3	3	0.3333333333333333		1/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	11											
2	1	10/3	10/3	0.3333333333333333		1/3	5/6	Chord	2/2	2	1	1/12		1/8	2/3	12											
2	1	11/3	11/3	0.3333333333333333		5/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	13											
3	2	4	4	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	14		articStaccatoAbove									
3	2	6	6	0.0		1/2	1/2	Dynamic	2/2	1	1	0					f										
3	2	6	6	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	15		articStaccatoAbove									
3	2	7	7	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	16		articStaccatoAbove									
3	2	4	4	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	17											
3	2	13/3	13/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	18											
3	2	14/3	14/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	19											
3	2	5	5	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	20											
3	2	16/3	16/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	21											
3	2	17/3	17/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	22											
3	2	6	6	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	23											
3	2	19/3	19/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	24											
3	2	20/3	20/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	25											
3	2	7	7	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	26											
3	2	22/3	22/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	27											
3	2	23/3	23/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	28											
4	3	8	8	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	29		articStaccatoAbove									
4	3	10	10	0.0		1/2	1/2	Dynamic	2/2	1	1	0					p										
4	3	10	10	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	30		articStaccatoAbove									
4	3	11	11	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	31		articStaccatoBelow									
4	3	8	8	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	32											
4	3	25/3	25/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	33											
4	3	26/3	26/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	34											
4	3	9	9	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	35											
4	3	28/3	28/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	36											
4	3	29/3	29/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	37											
4	3	10	10	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	38											
4	3	31/3	31/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	39											
4	3	32/3	32/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	40											
4	3	11	11	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	41											
4	3	34/3	34/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	42											
4	3	35/3	35/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	43											
5	4	12	12	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	44		articStaccatoAbove									
5	4	14	14	0.0		1/2	1/2	Dynamic	2/2	1	1	0					f										
5	4	14	14	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	45		articStaccatoAbove									
5	4	15	15	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	46		articStaccatoAbove									
5	4	12	12	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	47											
5	4	37/3	37/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	48											
5	4	38/3	38/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	49											
5	4	13	13	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	50											
5	4	40/3	40/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	51											
5	4	41/3	41/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	52											
5	4	14	14	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	53											
5	4	43/3	43/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	54											
5	4	44/3	44/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	55											
5	4	15	15	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	56											
5	4	46/3	46/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	57											
5	4	47/3	47/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	58											
6	5	16	16	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	59		articStaccatoAbove									
6	5	18	18	0.0		1/2	1/2	Dynamic	2/2	1	1	0					p										
6	5	18	18	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	60		articStaccatoAbove					2				
6	5	19	19	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	61		articStaccatoAbove									
6	5	16	16	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	62											
6	5	49/3	49/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	63											
6	5	50/3	50/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	64											
6	5	17	17	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	65											
6	5	52/3	52/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	66											
6	5	53/3	53/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	67											
6	5	18	18	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	68							3				
6	5	19	19	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	69											
6	5	18	18	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	70											
7	6	20	20	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	71							4				
7	6	21	21	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	72											
7	6	22	22	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	73		articStaccatoAbove					5				
7	6	23	23	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	74		articStaccatoAbove									
7	6	20	20	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	75											
7	6	22	22	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	76							6				
7	6	23	23	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	77											
7	6	20	20	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	78											
7	6	22	22	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	79											
8	7	24	24	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	80							7				
8	7	25	25	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	81											
8	7	26	26	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	82							8				
8	7	27	27	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	83							8				
8	7	24	24	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	84											
8	7	26	26	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	85							9				
8	7	27	27	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	86											
8	7	24	24	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	87											
8	7	26	26	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	88											
9	8	28	28	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	89							8				
9	8	29	29	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	90							8				
9	8	30	30	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	91							8				
9	8	31	31	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	92							8				
9	8	28	28	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	93							10				
9	8	29	29	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	94							10				
9	8	30	30	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	95							10				
9	8	31	31	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	96											
10	9	32	32	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	97											
10	9	34	34	0.0		1/2	1/2	Dynamic	2/2	1	1	0					p										
10	9	34	34	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	98		articStaccatoAbove					11				
10	9	35	35	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	99		articStaccatoAbove									
10	9	32	32	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	100		articStaccatoBelow									
10	9	33	33	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	101		articStaccatoAbove									
10	9	34	34	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	102							12				
10	9	35	35	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	103											
10	9	34	34	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	104											
11	10	36	36	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	105		ornamentTrill					13				
11	10	37	37	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	106											
11	10	38	38	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	107		articStaccatoAbove					14				
11	10	39	39	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	108		articStaccatoAbove									
11	10	36	36	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	109											
11	10	38	38	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	110							15				
11	10	39	39	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	111							15				
11	10	36	36	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	112											
11	10	38	38	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	113											
12	11	40	40	0.2		0	0	Chord	2/2	1	1	1/20		1/16	4/5	114		ornamentTrill					16				
12	11	201/5	201/5	0.2		1/20	1/20	Chord	2/2	1	1	1/20		1/16	4/5	115							16				
12	11	202/5	202/5	0.2		1/10	1/10	Chord	2/2	1	1	1/20		1/16	4/5	116							16				
12	11	203/5	203/5	0.2		3/20	3/20	Chord	2/2	1	1	1/20		1/16	4/5	117							16				
12	11	204/5	204/5	0.2		1/5	1/5	Chord	2/2	1	1	1/20		1/16	4/5	118							16				
12	11	41	41	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	119											
12	11	42	42	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	120		articStaccatoAbove					17				
12	11	43	43	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	121		articStaccatoAbove									
12	11	40	40	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	122											
12	11	42	42	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	123							18				
12	11	43	43	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	124											
12	11	40	40	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	125											
12	11	42	42	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	126											
13	12	44	44	0.0		0	0	Dynamic	2/2	1	1	0					sf										
13	12	44	44	0.0		0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	127											
13	12	44	44	1.5		0	0	Chord	2/2	1	1	3/8		1/4	3/2	128							19				
13	12	91/2	91/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	129							19				
13	12	46	46	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	130							19				
13	12	93/2	93/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	131							19				
13	12	47	47	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	132							19				
13	12	95/2	95/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	133											
13	12	44	44	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	134											
13	12	45	45	0.0		1/4	1/4	Dynamic	2/2	2	1	0					sf										
13	12	45	45	2.0		1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	135											
13	12	47	47	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	136											
14	13	48	48	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	137											
14	13	50	50	0.0		1/2	1/2	Dynamic	2/2	1	1	0					p										
14	13	50	50	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	138		articStaccatoAbove									
14	13	51	51	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	139		articStaccatoAbove									
14	13	48	48	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	140											
14	13	145/3	145/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	141											
14	13	146/3	146/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	142											
14	13	49	49	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	143											
