mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0						f										
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0				
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	0												
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	1									0			
1	1	2	2	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	2									0			
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	3									0			
1	1	0	0	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	4												
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	5									0			
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	6									0			
2	2	4	4	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	7									0			
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	8									0			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9			articStaccatoAbove									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10			articStaccatoAbove									
3	3	8	8	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	11												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	12												
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	13									1			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	14												
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	15									2			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	16												
