mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
1	1	0	0	0.0		0	0	Dynamic	4/4	1	1	0						p						
1	1	0	0	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	0	p			0				
1	1	2	2	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1				0				
1	1	1/2	1/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	2								
1	1	1	1	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	3								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	4								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	5								
1	1	3	3	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	6								
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	7								
2	2	4	4	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	8				0				
2	2	6	6	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	9								
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	10								
2	2	5	5	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	11								
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	12								
2	2	13/2	13/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	13								
2	2	7	7	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	14								
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	15								
3	3	8	8	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	16	<			1				
3	3	10	10	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	17								
3	3	17/2	17/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	18								
3	3	9	9	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	19								
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	20								
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	21								
3	3	11	11	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	22								
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	23								
4	4	12	12	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	24	>			2				
4	4	27/2	27/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	25				2				
4	4	55/4	55/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	26				2				
4	4	14	14	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	27			articStaccatoAbove					
4	4	12	12	3.0		0	0	Chord	4/4	2	1	3/4		1/2	3/2	28								
5	5	16	16	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	29								
5	5	65/4	65/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	30								
5	5	33/2	33/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	31								
5	5	67/4	67/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	32								
5	5	17	17	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	33								
5	5	69/4	69/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	34								
5	5	35/2	35/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	35								
5	5	71/4	71/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	36								
5	5	18	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	37	p							
5	5	18	18	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	38								
5	5	73/4	73/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	39								
5	5	37/2	37/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	40								
5	5	75/4	75/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	41								
5	5	19	19	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	42								
5	5	77/4	77/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	43								
5	5	39/2	39/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	44								
5	5	79/4	79/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	45								
6	6	20	20	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	46								
6	6	81/4	81/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	47	<							
6	6	41/2	41/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	48								
6	6	83/4	83/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	49								
6	6	21	21	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	50								
6	6	85/4	85/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	51								
6	6	43/2	43/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	52								
6	6	87/4	87/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	53								
6	6	22	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	54								
6	6	20	20	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	55								
6	6	22	22	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	56								
6	6	89/4	89/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	57								
6	6	45/2	45/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	58								
6	6	91/4	91/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	59								
6	6	23	23	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	60								
6	6	93/4	93/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	61								
6	6	47/2	47/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	62								
6	6	95/4	95/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	63								
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	64				3				
7	7	25	25	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	65				3				
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	66				3				
7	7	26	26	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	67				3				
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	68				3				
7	7	27	27	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	69				3				
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	70								
7	7	49/2	49/2	1.5		1/8	1/8	Chord	4/4	1	2	3/8		1/4	3/2	71								
7	7	26	26	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	72								
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	73				4				
7	7	26	26	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	74				4				
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	75				4				
7	7	27	27	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	76								
7	7	24	24	4.0		0	0	Chord	4/4	2	2	1		1	1	77								
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	78			ornamentTurn	5				
8	8	29	29	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	79				5				
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	80				5				
8	8	30	30	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	81				5				
8	8	61/2	61/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	82				5				
8	8	31	31	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	83				5				
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	84				5				
8	8	57/2	57/2	1.5		1/8	1/8	Chord	4/4	1	2	3/8		1/4	3/2	85								
8	8	30	30	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	86								
8	8	30	30	0.5		1/2	1/2	Chord	4/4	1	3	1/8		1/8	1	87				6				
8	8	61/2	61/2	0.5		5/8	5/8	Chord	4/4	1	3	1/8		1/8	1	88				6				
8	8	31	31	1.0		3/4	3/4	Chord	4/4	1	3	1/4		1/4	1	89								
8	8	28	28	0.0		0	0	Chord	4/4	2	1	0	grace16	1/16	1	90								
8	8	28	28	0.0		0	0	Chord	4/4	2	1	0	grace16	1/16	1	91								
8	8	28	28	0.0		0	0	Chord	4/4	2	1	0	grace16	1/16	1	92								
8	8	28	28	4.0		0	0	Chord	4/4	2	1	1		1	1	93								
9	9	32	32	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	94				5				
9	9	67/2	67/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	95				5				
9	9	135/4	135/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	96				5				
9	9	34	34	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	97				5				
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	98				5				
9	9	35	35	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	99				5				
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	100								
9	9	32	32	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	101	>							
9	9	34	34	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	102								
9	9	32	32	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	103				7				
9	9	33	33	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	104				7				
9	9	34	34	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	105				7				
9	9	35	35	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	106								
10	10	36	36	4.0		0	0	Chord	4/4	1	1	1		1	1	107				8				
10	10	36	36	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	108								
10	10	37	37	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	109								
10	10	38	38	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	110								
10	10	36	36	3.0		0	0	Chord	4/4	1	3	3/4		1/2	3/2	111								
10	10	39	39	1.0		3/4	3/4	Chord	4/4	1	3	1/4		1/4	1	112								
10	10	36	36	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	113				9				
10	10	38	38	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	114				9				
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	115								
10	10	38	38	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	116								
11	11	40	40	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	117				8				
11	11	83/2	83/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	118				8				
11	11	167/4	167/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	119				8				
11	11	42	42	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	120				8				
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	121				8				
11	11	43	43	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	122				8				
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	123								
11	11	40	40	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	124	p							
11	11	42	42	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	125								
11	11	40	40	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	126				10				
11	11	41	41	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	127				10				
11	11	42	42	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	128				10				
11	11	43	43	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	129								
12	12	44	44	4.0		0	0	Chord	4/4	1	1	1		1	1	130								
12	12	44	44	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	131				11				
12	12	45	45	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	132				11				
12	12	46	46	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	133								
12	12	44	44	3.0		0	0	Chord	4/4	1	3	3/4		1/2	3/2	134								
12	12	47	47	1.0		3/4	3/4	Chord	4/4	1	3	1/4		1/4	1	135								
12	12	44	44	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	136				12				
12	12	46	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	137				12				
12	12	47	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	138								
12	12	46	46	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	139								
13	13	48	48	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	140	p			13				
13	13	50	50	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	141				13				
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	142								
13	13	49	49	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	143								
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	144								
13	13	101/2	101/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	145								
13	13	51	51	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	146								
13	13	103/2	103/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	147								
14	14	52	52	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	148				13				
14	14	54	54	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	149								
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	150								
14	14	53	53	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	151								
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	152								
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	153								
14	14	55	55	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	154								
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	155								
15	15	56	56	0.0		0	0	Spanner	4/4	1	1	0										0		
15	15	56	56	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	156	<		articStaccatoBelow			0		
15	15	58	58	0.0		1/2	1/2	Spanner	4/4	1	1	0												
15	15	58	58	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	157			articStaccatoBelow					
15	15	113/2	113/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	158								
15	15	57	57	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	159								
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	160								
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	161								
15	15	59	59	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	162								
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	163								
16	16	60	60	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	164								
16	16	62	62	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	165	f			14				
16	16	121/2	121/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	166								
16	16	61	61	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	167								
16	16	123/2	123/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	168								
16	16	62	62	0.0		1/2	1/2	Dynamic	4/4	2	1	0						f						
16	16	62	62	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	169								
16	16	62	62	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	170								
16	16	125/2	125/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	171								
16	16	63	63	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	172								
16	16	127/2	127/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	173								
17	17	64	64	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	174				14				
17	17	65	65	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	175								
17	17	66	66	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	176				15				
17	17	64	64	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	177								
17	17	66	66	0.0		1/2	1/2	Dynamic	4/4	1	2	0						p						
17	17	66	66	1.5		1/2	1/2	Chord	4/4	1	2	3/8		1/4	3/2	178	p							
17	17	135/2	135/2	0.25		7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	179								
17	17	271/4	271/4	0.25		15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	180								
17	17	64	64	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	181								
17	17	66	66	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	182								
17	17	64	64	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	183								
17	17	129/2	129/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	184								
17	17	65	65	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	185								
17	17	131/2	131/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	186								
17	17	66	66	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	187								
17	17	133/2	133/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	188								
17	17	67	67	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	189								
17	17	135/2	135/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	190								
18	18	68	68	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	191				15				
18	18	69	69	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	192								
18	18	70	70	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	193				16				
18	18	68	68	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	194								
18	18	68	68	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	195								
18	18	70	70	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	196								
18	18	141/2	141/2	0.0		5/8	5/8	Dynamic	4/4	2	1	0						f						
18	18	68	68	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	197								
18	18	137/2	137/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	198								
18	18	69	69	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	199								
18	18	139/2	139/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	200								
18	18	70	70	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	201								
18	18	141/2	141/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	202								
18	18	71	71	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	203								
18	18	143/2	143/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	204								
19	19	72	72	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	205				16				
19	19	73	73	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	206								
19	19	74	74	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	207				17				
19	19	72	72	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	208								
19	19	74	74	0.0		1/2	1/2	Dynamic	4/4	1	2	0						p						
19	19	74	74	1.5		1/2	1/2	Chord	4/4	1	2	3/8		1/4	3/2	209	p							
19	19	151/2	151/2	0.25		7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	210								
19	19	303/4	303/4	0.25		15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	211								
19	19	72	72	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	212								
19	19	74	74	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	213								
19	19	72	72	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	214								
19	19	145/2	145/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	215								
19	19	73	73	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	216								
19	19	147/2	147/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	217								
19	19	74	74	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	218								
19	19	149/2	149/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	219								
19	19	75	75	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	220								
19	19	151/2	151/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	221								
20	20	76	76	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	222				17				
20	20	77	77	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	223								
20	20	78	78	0.0		1/2	1/2	Dynamic	4/4	1	1	0						sf						
20	20	78	78	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	224				18				
20	20	76	76	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	225								
20	20	78	78	1.5		1/2	1/2	Chord	4/4	1	2	3/8		1/4	3/2	226								
20	20	159/2	159/2	0.25		7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	227								
20	20	319/4	319/4	0.25		15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	228								
20	20	76	76	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	229								
20	20	78	78	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	230								
20	20	76	76	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	231								
20	20	153/2	153/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	232								
20	20	77	77	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	233								
20	20	155/2	155/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	234								
20	20	78	78	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	235								
20	20	157/2	157/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	236								
20	20	79	79	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	237								
20	20	159/2	159/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	238								
21	21	80	80	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	239			articStaccatoAbove					
21	21	82	82	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	240								
21	21	80	80	0.0		0	0	Dynamic	4/4	1	2	0						f						
21	21	80	80	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	241	f							
21	21	80	80	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	242								
21	21	82	82	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	243			articStaccatoBelow					
21	21	80	80	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	244			articStaccatoBelow					
22	22	86	86	0.0		1/2	1/2	Dynamic	4/4	1	1	0						p						
22	22	86	86	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	245	p			19				
22	22	173/2	173/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	246				19				
22	22	87	87	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	247				19				
22	22	175/2	175/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	248								
22	22	84	84	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	249								
22	22	84	84	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	250								
23	23	88	88	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	251								
23	23	90	90	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	252			articStaccatoAbove	20				
23	23	91	91	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	253			articStaccatoAbove					
24	24	92	92	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	254			articStaccatoAbove	21				
24	24	93	93	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	255			articStaccatoAbove	21				
24	24	94	94	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	256			articStaccatoAbove	21				
24	24	95	95	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	257			articStaccatoAbove					
25	25	96	96	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	258				22				
25	25	97	97	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	259				22				
