mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0						p						
1	1	0	0	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	0	p							
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1								
2	2	3	3	0.875	0	0	Chord	3/4	1	1	7/32		1/8	7/4	2				0				
2	2	31/8	31/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	3								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	4								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	5								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6								
3	3	6	6	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	7								
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	8								
4	4	9	9	0.875	0	0	Chord	3/4	1	1	7/32		1/8	7/4	9				1				
4	4	79/8	79/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	10								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	11								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	12								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	14								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	15								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	16								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	17								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	18								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	19								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	20								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	21								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	22								
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace32after	1/32	1	23								
5	5	12	12	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	24	<							
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	25								
6	6	15	15	0.875	0	0	Chord	3/4	1	1	7/32		1/8	7/4	26				2				
6	6	127/8	127/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	27								
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	28								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	29								
6	6	17	17	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	30								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	32								
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0										0		
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	33				3		0		
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	34						0		
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	35								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	36			articStaccatoAbove	4				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	37			articStaccatoAbove					
7	7	18	18	0.0	0	0	Dynamic	3/4	1	2	0						p						
7	7	18	18	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	38	p							
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	39	<							
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	40								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	41	>							
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42				5				
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	43								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	44								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	45								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	46								
7	7	18	18	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	47								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	48								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	49			articStaccatoBelow	6				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	50			articStaccatoBelow					
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	51			ornamentTrill					
8	8	43/2	43/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace32	1/32	1	52								
8	8	43/2	43/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace32	1/32	1	53								
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	54								
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	55								
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	56								
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	57				7				
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	58				7				
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	59								
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	60				8				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	61								
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62				9				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	63								
8	8	21	21	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	64								
9	9	24	24	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	65								
9	9	24	24	0.875	0	0	Chord	3/4	1	2	7/32		1/8	7/4	66				10				
9	9	199/8	199/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	67								
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	68								
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	69								
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	70								
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	71				11				
10	10	55/2	55/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	72			ornamentTurn	11				
