mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
4	4	43/4	43/4	0.125	7/16	7/16	Chord	3/4	1	2	1/32		1/32	1	33												1	
4	4	87/8	87/8	0.125	15/32	15/32	Chord	3/4	1	2	1/32		1/32	1	34												1	
4	4	11	11	0.0	1/2	1/2	Chord	3/4	1	2	0	acciaccatura	1/32	1	35												1	
4	4	11	11	0.0	1/2	1/2	Chord	3/4	1	2	0	acciaccatura	1/32	1	36												1	
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	37												1	
4	4	23/2	23/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	38												1	
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	39												1	
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	40													
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	41													
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0																	
5	5	12	12	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	42									6				
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	43									6				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	44													
5	5	12	12	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	45													
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	46													
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	47													
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	48													
5	5	13	13	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	49													
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	50													
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	51													
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	52													
5	5	14	14	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	53													
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	54													
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	55													
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	56													
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	57									7				
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	58													
6	6	15	15	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	59													
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	60													
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	61													
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	62													
6	6	16	16	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	63													
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	64													
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	65													
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	66													
6	6	17	17	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	67													
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	68													
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	69													
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	70													
7	7	18	18	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	71									8				
7	7	39/2	39/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	72									8				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	73													
7	7	18	18	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	74													
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	75													
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	76													
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	77													
7	7	19	19	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	78													
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	79													
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	80													
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	81													
7	7	20	20	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	82													
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	83													
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	84													
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	85													
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	86									9				
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	87													
8	8	21	21	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	88													
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	89													
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	90													
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	91													
8	8	22	22	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	92													
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	93													
8	8	45/2	45/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	94													
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	95													
8	8	23	23	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	96													
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	97													
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	98													
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	99													
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0																	2
9	9	24	24	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	100									10				2
9	9	51/2	51/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	101									10				2
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	102													2
9	9	24	24	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	103													
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	104													
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	105													
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	106													
9	9	25	25	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	107													
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	108													
9	9	51/2	51/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	109													
9	9	103/4	103/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	110													
9	9	26	26	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	111													
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	112													
9	9	53/2	53/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	113													
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	114													
10	10	27	27	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	115									11				2
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	116													2
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	117			articStaccatoAbove						12				2
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118			articStaccatoAbove										2
10	10	27	27	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	119													
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	120													
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	121													
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	122													
10	10	28	28	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	123													
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	124													
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	125													
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	126													
10	10	29	29	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	127													
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	128													
10	10	59/2	59/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	129													
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	130													
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0						sf											
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0																	
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0																2	
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	131									13			2	
11	11	61/2	61/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	132									13			2	
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	133									13			2	
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	134									13			2	
11	11	32	32	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	135									13			2	
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	136												2	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137												2	
11	11	30	30	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	138													
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	139													
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	140													
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	141													
11	11	31	31	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	142													
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	143													
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	144													
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	145													
11	11	32	32	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	146													
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	147													
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	148													
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	149													
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																	
12	12	33	33	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	150			articStaccatoAbove										
12	12	265/8	265/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	151													
12	12	133/4	133/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	152													
12	12	267/8	267/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	153													
12	12	67/2	67/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	154			articStaccatoAbove										
12	12	269/8	269/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	155													
12	12	135/4	135/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	156													
12	12	271/8	271/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	157													
12	12	34	34	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	158			articStaccatoAbove										
12	12	273/8	273/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	159													
12	12	137/4	137/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	160													
12	12	275/8	275/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	161													
12	12	69/2	69/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	162			articStaccatoBelow										
12	12	277/8	277/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	163													
12	12	139/4	139/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	164													
12	12	279/8	279/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	165													
12	12	35	35	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	166			articStaccatoAbove										
12	12	281/8	281/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	167													
12	12	141/4	141/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	168													
12	12	283/8	283/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	169													
12	12	71/2	71/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	170			articStaccatoAbove										
12	12	285/8	285/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	171													
12	12	143/4	143/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	172													
12	12	287/8	287/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	173													
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	174													
13	13	36	36	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	175			articStaccatoAbove										
13	13	289/8	289/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	176													
13	13	145/4	145/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	177													
13	13	291/8	291/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	178													
13	13	73/2	73/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	179			articStaccatoAbove										
13	13	293/8	293/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	180													
13	13	147/4	147/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	181													
13	13	295/8	295/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	182													
13	13	37	37	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	183			articStaccatoBelow										
13	13	297/8	297/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	184													
13	13	149/4	149/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	185													
13	13	299/8	299/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	186													
13	13	75/2	75/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	187			articStaccatoBelow										
13	13	301/8	301/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	188													
13	13	151/4	151/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	189													
13	13	303/8	303/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	190													
13	13	38	38	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	191			articStaccatoAbove										
13	13	305/8	305/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	192													
13	13	153/4	153/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	193													
13	13	307/8	307/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	194													
13	13	77/2	77/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	195			articStaccatoAbove										
13	13	309/8	309/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	196													
13	13	155/4	155/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	197													
13	13	311/8	311/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	198													
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	199													
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	200													
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	201													
14	14	39	39	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	202			articStaccatoAbove										
14	14	313/8	313/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	203													
14	14	157/4	157/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	204													
14	14	315/8	315/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	205													
14	14	79/2	79/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	206			articStaccatoAbove										
14	14	317/8	317/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	207													
14	14	159/4	159/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	208													
14	14	319/8	319/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	209													
14	14	40	40	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	210			articStaccatoAbove										
14	14	321/8	321/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	211													
14	14	161/4	161/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	212													
14	14	323/8	323/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	213													
14	14	81/2	81/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	214			articStaccatoBelow										
14	14	325/8	325/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	215													
14	14	163/4	163/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	216													
14	14	327/8	327/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	217													
14	14	41	41	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	218			articStaccatoAbove										
14	14	329/8	329/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	219													
14	14	165/4	165/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	220													
14	14	331/8	331/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	221													
14	14	83/2	83/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	222			articStaccatoAbove										
14	14	333/8	333/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	223													
14	14	167/4	167/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	224													
14	14	335/8	335/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	225													
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	226													
15	15	42	42	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	227			articStaccatoAbove										
15	15	337/8	337/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	228													
15	15	169/4	169/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	229													
15	15	339/8	339/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	230													
15	15	85/2	85/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	231													
15	15	341/8	341/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	232													
15	15	171/4	171/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	233													
15	15	343/8	343/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	234													
15	15	43	43	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	235			articStaccatoBelow										
15	15	345/8	345/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	236													
15	15	173/4	173/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	237													
15	15	347/8	347/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	238													
15	15	87/2	87/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	239													
15	15	349/8	349/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	240													
15	15	175/4	175/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	241													
15	15	351/8	351/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	242													
15	15	44	44	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	243			articStaccatoAbove										
15	15	353/8	353/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	244													
15	15	177/4	177/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	245													
15	15	355/8	355/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	246													
15	15	89/2	89/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	247			articStaccatoAbove										
15	15	357/8	357/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	248													
15	15	179/4	179/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	249													
15	15	359/8	359/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	250													
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	251													
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	252													
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	253													
16	16	45	45	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	254			articStaccatoAbove										
16	16	361/8	361/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	255													
16	16	181/4	181/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	256													
16	16	363/8	363/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	257													
16	16	91/2	91/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	258			articStaccatoAbove										
16	16	365/8	365/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	259													
16	16	183/4	183/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	260													
16	16	367/8	367/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	261													
16	16	46	46	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	262			articStaccatoAbove										
16	16	369/8	369/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	263													
16	16	185/4	185/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	264													
16	16	371/8	371/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	265													
16	16	93/2	93/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	266			articStaccatoAbove										
16	16	373/8	373/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	267													
