mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Trill:prallprall	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	0	0	0	0.0		0	7/8	Tempo	2/2	1	1	0									𝅗𝅥=128	256.0	𝅗𝅥	128.0	0.0										
1	0	0	0	0.0		0	7/8	SystemText	2/2	1	1	0								"<b><font size=""12""/>Allegro.</b>"															
1	0	0	0	0.0		0	7/8	SystemText	2/2	1	1	0								<b>(<sym>unicodeNoteHalfUp</sym> = 138)</b>															
1	0	0	0	0.0		0	7/8	Dynamic	2/2	2	1	0						ff																	
1	0	0	0	0.0		0	7/8	Spanner	2/2	2	1	0																					0	0	
1	0	0	0	0.5		0	7/8	Chord	2/2	2	1	1/8			1/8	1	0																0	0	
2	1	1/2	1/2	0.0		0	0	Tempo	2/2	1	1	0									𝅗𝅥=132	264.0	𝅗𝅥	132.0	0.0										
2	1	2	2	0.0		3/8	3/8	Dynamic	2/2	1	1	0						ff																	
2	1	2	2	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	1																		
2	1	5/2	5/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	2		articStaccatissimoAbove																
2	1	7/2	7/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	3		articStaccatissimoAbove																
2	1	4	4	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	4		articStaccatissimoAbove																
2	1	1/2	1/2	1.5		0	0	Chord	2/2	2	1	3/8			1/4	3/2	5																0	0	
2	1	2	2	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	6																0	0	
2	1	5/2	5/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	7		articStaccatissimoAbove														0	0	
2	1	7/2	7/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	8		articStaccatissimoAbove														0	0	
2	1	4	4	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	9		articStaccatissimoAbove														0	0	
3	2	9/2	9/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	10		articStaccatissimoAbove																
3	2	11/2	11/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	11		articStaccatissimoAbove																
3	2	9/2	9/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	12		articStaccatissimoAbove														0	0	
3	2	11/2	11/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	13		articStaccatissimoAbove														0	0	
3	2	8	8	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	14																0	0	
4	3	10	10	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	15																		
4	3	21/2	21/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	16		articStaccatissimoAbove																
4	3	23/2	23/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	17		articStaccatissimoAbove																
4	3	12	12	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	18		articStaccatissimoAbove																
4	3	17/2	17/2	1.5		0	0	Chord	2/2	2	1	3/8			1/4	3/2	19																0	0	
4	3	10	10	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	20																0	0	
4	3	21/2	21/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	21		articStaccatissimoAbove														0	0	
4	3	23/2	23/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	22		articStaccatissimoAbove														0	0	
4	3	12	12	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	23		articStaccatissimoAbove														0	0	
5	4	25/2	25/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	24		articStaccatissimoAbove																
5	4	27/2	27/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	25		articStaccatissimoAbove																
5	4	29/2	29/2	0.0		1/2	1/2	SystemText	2/2	1	1	0								"<i><font size=""12""/><sym>keyboardPedalUp</sym></i>"															
5	4	31/2	31/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0						p																	
5	4	31/2	31/2	0.0		3/4	3/4	Tempo	2/2	1	1	0									𝅗𝅥=128	256.0	𝅗𝅥	128.0	0.0										
5	4	31/2	31/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	26									0									
5	4	16	16	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	27									0									
5	4	25/2	25/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	28		articStaccatissimoAbove														0	0	
5	4	27/2	27/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	29		articStaccatissimoAbove														0	0	
5	4	31/2	31/2	0.0		3/4	3/4	Spanner	2/2	2	1	0																							
6	5	33/2	33/2	0.0		0	0	Tempo	2/2	1	1	0									𝅗𝅥=132	264.0	𝅗𝅥	132.0	0.0	0									
6	5	33/2	33/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	30									0									
6	5	37/2	37/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	31																		
6	5	39/2	39/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	32									1									
6	5	20	20	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	33									1									
6	5	35/2	35/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	34																		
6	5	37/2	37/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	35																		
6	5	39/2	39/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	36																		
6	5	35/2	35/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	37									2									
6	5	37/2	37/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	38									2									
6	5	39/2	39/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	39									2									
7	6	41/2	41/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	40									1									
7	6	45/2	45/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	41																		
7	6	47/2	47/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	42									3									
7	6	24	24	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	43									3									
7	6	41/2	41/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	44																		
7	6	43/2	43/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	45																		
7	6	45/2	45/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	46																		
7	6	47/2	47/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	47																		
7	6	41/2	41/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	48									2									
7	6	43/2	43/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	49									2									
7	6	45/2	45/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	50									2									
7	6	47/2	47/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	51									2									
8	7	49/2	49/2	1.5		0	0	Chord	2/2	1	1	3/8			1/4	3/2	52									3									
8	7	26	26	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	53									3									
8	7	53/2	53/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	54									3									
8	7	27	27	1.0		5/8	5/8	Chord	2/2	1	1	1/4			1/4	1	55									3									
8	7	28	28	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	56																		
8	7	49/2	49/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	57																		
8	7	51/2	51/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	58																		
8	7	53/2	53/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	59																		
8	7	55/2	55/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	60																		
8	7	49/2	49/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	61									2									
8	7	51/2	51/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	62									2									
8	7	53/2	53/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	63									2									
8	7	55/2	55/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	64																		
9	8	57/2	57/2	0.0		0	0	SystemText	2/2	1	1	0								"<i><font size=""12""/>ritard.</i>"															
9	8	57/2	57/2	0.0		0	0	Tempo	2/2	1	1	0									𝅗𝅥=110	220.0	𝅗𝅥	110.0	0.0										
9	8	57/2	57/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	65									4									
9	8	29	29	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	66									4									
9	8	59/2	59/2	0.0		1/4	1/4	Tempo	2/2	1	1	0									𝅗𝅥=98	196.0	𝅗𝅥	98.0	0.0	4									
