mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0						p		
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8		1/8	1	0			articStaccatoAbove	
1	0	0	0	0.5		0	3/8	Chord	2/4	2	1	1/8		1/8	1	1			articStaccatoAbove	
2	1	1/2	1/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	2			articStaccatoAbove	
2	1	2	2	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	3				0
2	1	17/8	17/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	4				0
2	1	9/4	9/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	5				0
2	1	19/8	19/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	6				0
2	1	1/2	1/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	7			articStaccatoAbove	
2	1	2	2	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	8				1
2	1	17/8	17/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	9				1
2	1	9/4	9/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	10				1
2	1	19/8	19/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	11				1
3	2	5/2	5/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	12				
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	13			articStaccatoAbove	
3	2	5/2	5/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	14				
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	15			articStaccatoAbove	
4	3	9/2	9/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	16			articStaccatoAbove	
4	3	6	6	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	17				2
4	3	49/8	49/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	18				2
4	3	25/4	25/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	19				2
4	3	51/8	51/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	20				2
4	3	9/2	9/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	21			articStaccatoAbove	
4	3	6	6	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	22				3
4	3	49/8	49/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	23				3
4	3	25/4	25/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	24				3
4	3	51/8	51/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	25				3
5	4	13/2	13/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	26				
5	4	8	8	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	27			articStaccatoAbove	
5	4	13/2	13/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	28				
5	4	8	8	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	29			articStaccatoAbove	
6	5	17/2	17/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	30			articStaccatoAbove	
6	5	19/2	19/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	31			articStaccatoAbove	
6	5	17/2	17/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	32			articStaccatoAbove	
6	5	19/2	19/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	33			articStaccatoAbove	
7	6	21/2	21/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	34			articStaccatoBelow	
7	6	23/2	23/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	35			articStaccatoBelow	
7	6	21/2	21/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	36			articStaccatoAbove	
7	6	23/2	23/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	37			articStaccatoAbove	
8	7	25/2	25/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	38			articStaccatoBelow	
8	7	27/2	27/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	39			articStaccatoBelow	
8	7	25/2	25/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	40			articStaccatoAbove	
8	7	27/2	27/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	41			articStaccatoAbove	
9	8	29/2	29/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	42			articStaccatoBelow	
9	8	16	16	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	43				
9	8	97/6	97/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	44				
9	8	49/3	49/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	45				
9	8	29/2	29/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	46			articStaccatoAbove	
10	9	33/2	33/2	0.0		0	0	Dynamic	2/4	1	1	0						fp		
10	9	33/2	33/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	47			articStaccatoAbove	
10	9	17	17	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	48			articStaccatoAbove	
10	9	35/2	35/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	49			articStaccatoAbove	
10	9	18	18	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	50			articStaccatoAbove	
10	9	33/2	33/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	51				
11	10	37/2	37/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	52			articStaccatoAbove	
11	10	19	19	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	53			articStaccatoAbove	
11	10	39/2	39/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	54			articStaccatoAbove	
11	10	20	20	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	55			articStaccatoAbove	
12	11	41/2	41/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	56				4
12	11	22	22	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	57				4
12	11	21	21	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	58				5
12	11	43/2	43/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	59				5
12	11	22	22	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	60				5
12	11	21	21	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	61				6
12	11	43/2	43/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	62				6
12	11	22	22	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	63				6
13	12	45/2	45/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	64				
13	12	45/2	45/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	65				
13	12	23	23	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	66				7
13	12	47/2	47/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	67				7
13	12	24	24	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	68				
14	13	25	25	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	69				8
14	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	70				8
14	13	26	26	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	71				8
14	13	49/2	49/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	72				9
14	13	26	26	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	73				9
15	14	53/2	53/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	74				8
15	14	27	27	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	75				8
15	14	55/2	55/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	76				8
15	14	28	28	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	77				8
15	14	53/2	53/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	78				9
15	14	27	27	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	79				9
15	14	55/2	55/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	80				9
15	14	28	28	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	81				9
16	15	57/2	57/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	82				8
16	15	30	30	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	83				8
16	15	57/2	57/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	84				
16	15	29	29	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	85				
16	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	86				
16	15	30	30	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	87				
16	15	57/2	57/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	88				9
16	15	29	29	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	89				9
16	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	90				9
16	15	30	30	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	91				9
17	16	61/2	61/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	92				8
17	16	31	31	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	93				8
17	16	63/2	63/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	94				8
17	16	32	32	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	95				
17	16	61/2	61/2	1.5		0	0	Chord	2/4	1	2	3/8		1/4	3/2	96				
17	16	32	32	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	97				
17	16	61/2	61/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	98				9
17	16	31	31	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	99				9
17	16	63/2	63/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	100				9
17	16	32	32	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	101				
18	17	65/2	65/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	102				10
18	17	33	33	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	103				10
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	104				10
18	17	34	34	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	105				10
18	17	65/2	65/2	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	106				
18	17	67/2	67/2	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	107				
18	17	65/2	65/2	0.0		0	0	Dynamic	2/4	2	1	0						pp		
18	17	65/2	65/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	108				11
18	17	33	33	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	109				11
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	110				11
18	17	34	34	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	111				11
18	17	65/2	65/2	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	112				
19	18	69/2	69/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	113				10
19	18	35	35	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	114				10
19	18	71/2	71/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	115				10
19	18	36	36	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	116				
19	18	69/2	69/2	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	117				
19	18	71/2	71/2	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	118				
19	18	69/2	69/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	119				11
19	18	35	35	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	120				11
19	18	71/2	71/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	121				11
19	18	36	36	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	122				
19	18	69/2	69/2	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	123				
20	19	73/2	73/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	124				
20	19	75/2	75/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	125				
20	19	73/2	73/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	126				
20	19	75/2	75/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	127				
21	20	77/2	77/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	128				
21	20	40	40	0.0		3/8	3/8	Dynamic	2/4	1	1	0						f		
21	20	40	40	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	129			articStaccatoAbove	
21	20	77/2	77/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	130				
21	20	40	40	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	131			articStaccatoAbove	
22	21	81/2	81/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	132			articStaccatoAbove	
22	21	42	42	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	133				12
22	21	337/8	337/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	134				12
22	21	169/4	169/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	135				12
22	21	339/8	339/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	136				12
22	21	81/2	81/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	137			articStaccatoAbove	
22	21	42	42	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	138				13
22	21	337/8	337/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	139				13
22	21	169/4	169/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	140				13
22	21	339/8	339/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	141				13
23	22	85/2	85/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	142				
23	22	85/2	85/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	143				
23	22	44	44	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	144				
23	22	265/6	265/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	145				
23	22	133/3	133/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	146				
24	23	89/2	89/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	147			articStaccatoBelow	
24	23	45	45	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	148			articStaccatoBelow	
24	23	91/2	91/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	149			articStaccatoBelow	
24	23	46	46	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	150			articStaccatoBelow	
25	24	93/2	93/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	151			articStaccatoAbove	
25	24	47	47	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	152			articStaccatoAbove	
25	24	95/2	95/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	153			articStaccatoAbove	
25	24	48	48	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	154			articStaccatoAbove	
26	25	49	49	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	155				14
26	25	99/2	99/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	156				14
26	25	50	50	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	157				14
26	25	97/2	97/2	0.0		0	0	Dynamic	2/4	2	1	0						p		
26	25	97/2	97/2	0.0		0	0	Dynamic	2/4	2	1	0						sfp		
26	25	97/2	97/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	158				15
26	25	50	50	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	159				15
27	26	101/2	101/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	160				14
27	26	51	51	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	161				14
27	26	103/2	103/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	162				14
27	26	52	52	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	163				14
27	26	101/2	101/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	164				15
27	26	51	51	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	165				15
27	26	103/2	103/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	166				15
27	26	52	52	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	167				15
28	27	105/2	105/2	0.0		0	0	Dynamic	2/4	1	1	0						fp		14
28	27	105/2	105/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	168				14
28	27	54	54	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	169				14
28	27	105/2	105/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	170				
28	27	53	53	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	171				
28	27	107/2	107/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	172				
28	27	54	54	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	173				
28	27	105/2	105/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	174				15
28	27	53	53	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	175				15
28	27	107/2	107/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	176				15
28	27	54	54	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	177				15
29	28	109/2	109/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	178				
29	28	109/2	109/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	179				15
29	28	55	55	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	180				15
29	28	111/2	111/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	181				15
29	28	56	56	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	182				
30	29	57	57	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	183				16
30	29	115/2	115/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	184				16
30	29	58	58	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185				16
30	29	57	57	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	186				
30	29	115/2	115/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	187				
30	29	58	58	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	188				
30	29	113/2	113/2	0.0		0	0	Dynamic	2/4	2	1	0						sfp		
30	29	113/2	113/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	189				17
30	29	58	58	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	190				17
31	30	117/2	117/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	191				16
31	30	59	59	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	192				16
31	30	119/2	119/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	193				16
31	30	60	60	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	194				
31	30	117/2	117/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	195				
31	30	59	59	1.0		1/8	1/8	Chord	2/4	1	2	1/4		1/4	1	196				
31	30	60	60	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	197				
31	30	117/2	117/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	198				17
31	30	59	59	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	199				17
31	30	119/2	119/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	200				17
31	30	60	60	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	201				
32	31	121/2	121/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	202			articStaccatoAbove	
32	31	123/2	123/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	203			articStaccatoAbove	
32	31	121/2	121/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	204			articStaccatoAbove	
32	31	123/2	123/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	205			articStaccatoBelow	
33	32	125/2	125/2	0.0		0	0	Dynamic	2/4	1	1	0						f		
33	32	125/2	125/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	206			articStaccatoAbove	
33	32	125/2	125/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	207				
33	32	188/3	188/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	208				
33	32	377/6	377/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	209				
33	32	63	63	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	210				
33	32	379/6	379/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	211				
33	32	190/3	190/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	212				
33	32	127/2	127/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	213				
33	32	191/3	191/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	214				
33	32	383/6	383/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	215				
33	32	64	64	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	216				
33	32	385/6	385/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	217				
33	32	193/3	193/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	218				
34	33	129/2	129/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	219			articStaccatoAbove	
34	33	65	65	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	220			articStaccatoAbove	
34	33	131/2	131/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	221			articStaccatoAbove	
34	33	66	66	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	222			articStaccatoAbove	
35	34	133/2	133/2	0.0		0	0	Dynamic	2/4	1	1	0						f		
35	34	133/2	133/2	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	223				
35	34	200/3	200/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	224				
35	34	401/6	401/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	225				
35	34	67	67	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	226				
35	34	403/6	403/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	227				
35	34	202/3	202/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	228				
35	34	135/2	135/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	229				
35	34	203/3	203/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	230				
35	34	407/6	407/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	231				
35	34	68	68	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	232				
35	34	409/6	409/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	233				
35	34	205/3	205/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	234				
35	34	133/2	133/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	235			articStaccatoAbove	
35	34	67	67	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	236			articStaccatoAbove	
35	34	135/2	135/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	237			articStaccatoAbove	
35	34	68	68	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	238			articStaccatoAbove	
36	35	137/2	137/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	239			articStaccatoAbove	
36	35	69	69	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	240			articStaccatoAbove	
36	35	139/2	139/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	241			articStaccatoAbove	
36	35	70	70	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	242			articStaccatoAbove	
36	35	137/2	137/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	243			articStaccatoAbove	
36	35	69	69	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	244			articStaccatoAbove	
36	35	139/2	139/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	245			articStaccatoAbove	
36	35	70	70	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	246			articStaccatoAbove	
37	36	141/2	141/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	247				
37	36	143/2	143/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	2	1/24		1/16	2/3	248				
37	36	215/3	215/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	2	1/24		1/16	2/3	249				
37	36	431/6	431/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	2	1/24		1/16	2/3	250				
37	36	72	72	0.16666666666666666		3/8	3/8	Chord	2/4	1	2	1/24		1/16	2/3	251				
37	36	433/6	433/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	2	1/24		1/16	2/3	252				
37	36	217/3	217/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	2	1/24		1/16	2/3	253				
37	36	141/2	141/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	254				
37	36	212/3	212/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	255				
37	36	425/6	425/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	256				
37	36	71	71	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	257				
37	36	427/6	427/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	258				
37	36	214/3	214/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	259				
38	37	145/2	145/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	260			articStaccatoBelow	
38	37	73	73	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	261			articStaccatoBelow	
38	37	147/2	147/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	262			articStaccatoBelow	
38	37	74	74	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	263			articStaccatoBelow	
39	38	224/3	224/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	264				
39	38	449/6	449/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	265				
