mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin
1	0	0	0	0.0		0	3/8	Dynamic	3/4	1	1	0					p			
1	0	0	0	0.5		0	3/8	Chord	3/4	1	1	1/8	1/8	1	0				0	
1	0	1/2	1/2	0.5		1/8	1/2	Chord	3/4	1	1	1/8	1/8	1	1				0	
1	0	1	1	0.5		1/4	5/8	Chord	3/4	1	1	1/8	1/8	1	2					
2	1	3/2	3/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	3			articStaccatoAbove		
2	1	5/2	5/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	4			articStaccatoAbove		
2	1	7/2	7/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	5			articStaccatoAbove		
3	2	9/2	9/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	6			articStaccatoAbove		
3	2	11/2	11/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	7			articStaccatoAbove		
3	2	13/2	13/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	8			articStaccatoAbove		
3	2	6	6	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	9				1	
3	2	13/2	13/2	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	10				1	
3	2	7	7	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	11					
4	3	15/2	15/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	12					
4	3	15/2	15/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	13			articStaccatoBelow		
4	3	17/2	17/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	14			articStaccatoBelow		
4	3	19/2	19/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	15			articStaccatoBelow		
5	4	21/2	21/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	16					
5	4	21/2	21/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	17			articStaccatoBelow		
5	4	23/2	23/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	18			articStaccatoBelow		
