mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	crescendo_hairpin
1	0	0	0	0.0	0	3/16	Dynamic	3/8	1	1	0					p						
1	0	0	0	0.25	0	3/16	Chord	3/8	1	1	1/16	1/16	1	0	p			0				
1	0	1/4	1/4	0.25	1/16	1/4	Chord	3/8	1	1	1/16	1/16	1	1				0				
1	0	1/2	1/2	0.25	1/8	5/16	Chord	3/8	1	1	1/16	1/16	1	2				0				
2	1	3/4	3/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	3			articStaccatoAbove					
2	1	3/2	3/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	4				1				
2	1	7/4	7/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	5				1				
2	1	2	2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	6				1				
2	1	3/4	3/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	7								
2	1	1	1	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	8								
2	1	5/4	5/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	9								
2	1	3/2	3/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	10								
2	1	7/4	7/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	11								
2	1	3/4	3/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	12								
2	1	1	1	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	13								
3	2	9/4	9/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	14			articStaccatoAbove					
3	2	3	3	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	15				2				
3	2	13/4	13/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	16				2				
3	2	7/2	7/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	17				2				
3	2	9/4	9/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	18								
3	2	5/2	5/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	19								
3	2	11/4	11/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	20								
3	2	3	3	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	21								
3	2	13/4	13/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	22								
3	2	9/4	9/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	23								
3	2	5/2	5/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	24								
4	3	15/4	15/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	25			articStaccatoAbove					
4	3	9/2	9/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	26				3				
4	3	19/4	19/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	27				3				
4	3	5	5	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	28				3				
4	3	15/4	15/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	29								
4	3	4	4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	30								
4	3	17/4	17/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	31								
4	3	9/2	9/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	32								
4	3	19/4	19/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	33								
4	3	15/4	15/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	34								
4	3	4	4	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	35								
5	4	21/4	21/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	36			articStaccatoAbove					
5	4	6	6	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	37				4				
5	4	25/4	25/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	38				4				
5	4	13/2	13/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	39				4				
5	4	21/4	21/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	40								
5	4	11/2	11/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	41								
5	4	23/4	23/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	42								
5	4	6	6	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	43								
5	4	25/4	25/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	44								
