mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	crescendo_hairpin
9	8	30	30	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	55													
9	8	29	29	0.0	0	0	Spanner	2/2	2	1	0																	
9	8	30	30	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	56													
9	8	32	32	0.0	3/4	3/4	Dynamic	2/2	2	1	0						p											
9	8	32	32	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	57	p		articStaccatoBelow										
10	9	33	33	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	58			articStaccatoAbove										
10	9	34	34	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	59			articStaccatoAbove										
10	9	35	35	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	60			articStaccatoAbove										
10	9	36	36	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	61			articStaccatoAbove										
11	10	37	37	1.5	0	0	Chord	2/2	2	1	3/8		1/4	3/2	62									6				
11	10	77/2	77/2	0.16666666666666666	3/8	3/8	Chord	2/2	2	1	1/24		1/16	2/3	63									6				
11	10	116/3	116/3	0.16666666666666666	5/12	5/12	Chord	2/2	2	1	1/24		1/16	2/3	64									6				
11	10	233/6	233/6	0.16666666666666666	11/24	11/24	Chord	2/2	2	1	1/24		1/16	2/3	65									6				
11	10	39	39	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	66			articStaccatoAbove										
11	10	40	40	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	67			articStaccatoAbove										
12	11	85/2	85/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	68									7				
12	11	128/3	128/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	69									7				
12	11	257/6	257/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	70									7				
12	11	43	43	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	71			articStaccatoAbove										
12	11	44	44	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	72			articStaccatoAbove										
12	11	41	41	4.0	0	0	Chord	2/2	1	2	1		1	1	73													
12	11	41	41	4.0	0	0	Chord	2/2	2	1	1		1	1	74													
13	12	45	45	4.0	0	0	Chord	2/2	1	1	1		1	1	75													
13	12	45	45	1.5	0	0	Chord	2/2	1	2	3/8		1/4	3/2	76													
13	12	93/2	93/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	2	1/24		1/16	2/3	77									8				
13	12	140/3	140/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	2	1/24		1/16	2/3	78									8				
13	12	281/6	281/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	2	1/24		1/16	2/3	79									8				
13	12	47	47	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	80			articStaccatoBelow										
13	12	48	48	1.0	3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	81			articStaccatoBelow										
13	12	45	45	4.0	0	0	Chord	2/2	2	1	1		1	1	82													
14	13	49	49	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	83													
14	13	101/2	101/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	84									9				
14	13	152/3	152/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	85									9				
14	13	305/6	305/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	86									9				
14	13	51	51	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	87			articStaccatoAbove										
14	13	52	52	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	88			articStaccatoAbove										
14	13	49	49	4.0	0	0	Chord	2/2	1	2	1		1	1	89													
14	13	49	49	4.0	0	0	Chord	2/2	2	1	1		1	1	90													
15	14	109/2	109/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	91									10				
15	14	164/3	164/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	92									10				
15	14	329/6	329/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	93													
15	14	55	55	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	94			articStaccatoAbove										
15	14	56	56	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	95			articStaccatoAbove										
15	14	53	53	4.0	0	0	Chord	2/2	1	2	1		1	1	96													
15	14	53	53	4.0	0	0	Chord	2/2	2	1	1		1	1	97													
16	15	57	57	0.0	0	0	Spanner	2/2	1	1	0																	0
16	15	57	57	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	98									11				0
16	15	58	58	0.0	1/4	1/4	Spanner	2/2	1	1	0													11	1			0
16	15	58	58	2.0	1/4	1/4	Chord	2/2	1	1	1/2		1/2	1	99									11	1			0
16	15	60	60	0.0	3/4	3/4	Spanner	2/2	1	1	0													11	1			
16	15	60	60	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	100									11	1			
16	15	57	57	4.0	0	0	Chord	2/2	1	2	1		1	1	101										1			
16	15	57	57	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	102													
16	15	59	59	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	103													
17	16	61	61	0.0	0	0	Spanner	2/2	1	1	0																	
17	16	61	61	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	104			articStaccatoBelow										
17	16	62	62	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	105									12				
17	16	63	63	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	106													
17	16	64	64	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	107									13				
17	16	61	61	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	108													
17	16	64	64	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	109													
18	17	65	65	0.0	0	0	Spanner	2/2	1	1	0													13				1
18	17	65	65	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	110									13				1
18	17	66	66	0.0	1/4	1/4	Spanner	2/2	1	1	0													13	2			1
18	17	66	66	2.0	1/4	1/4	Chord	2/2	1	1	1/2		1/2	1	111									13	2			1
18	17	68	68	0.0	3/4	3/4	Spanner	2/2	1	1	0													13	2			
18	17	68	68	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	112									13	2			
18	17	65	65	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	113													
18	17	67	67	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	114													
19	18	69	69	0.0	0	0	Spanner	2/2	1	1	0																	
19	18	69	69	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	115			articStaccatoBelow										
19	18	70	70	0.0	1/4	1/4	Dynamic	2/2	1	1	0						f											
19	18	70	70	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	116									14				
19	18	71	71	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	117									14				
19	18	72	72	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	118									14				
19	18	69	69	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	119													
19	18	72	72	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	120													
20	19	73	73	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	121													
20	19	74	74	2.0	1/4	1/4	Chord	2/2	1	1	1/2		1/2	1	122									15				
20	19	76	76	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	123									15				
20	19	73	73	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	124													
20	19	75	75	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	125													
21	20	77	77	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	126													
21	20	80	80	0.0	3/4	3/4	Dynamic	2/2	1	1	0						p											
21	20	80	80	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	127									16				
21	20	77	77	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	128													
21	20	155/2	155/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	129													
21	20	78	78	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	130													
21	20	157/2	157/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	131													
21	20	79	79	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	132													
21	20	159/2	159/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	133													
21	20	80	80	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	134													
21	20	161/2	161/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	135													
22	21	81	81	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	136									16				
22	21	82	82	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	137									16				
22	21	83	83	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	138									16				
22	21	84	84	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	139													
22	21	81	81	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	140													
22	21	163/2	163/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	141													
22	21	82	82	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	142													
22	21	165/2	165/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	143													
22	21	83	83	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	144													
22	21	167/2	167/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	145													
22	21	84	84	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	146													
22	21	169/2	169/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	147													
23	22	85	85	0.0	0	0	Dynamic	2/2	1	1	0						sf											
23	22	85	85	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	148									17				
23	22	173/2	173/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	149													
23	22	87	87	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	150			articStaccatoBelow										
23	22	88	88	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	151									18				
23	22	85	85	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	152									19				
23	22	87	87	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	153													
23	22	85	85	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	154													
23	22	86	86	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	155													
23	22	87	87	0.5	1/2	1/2	Chord	2/2	2	2	1/8		1/8	1	156													
23	22	175/2	175/2	0.5	5/8	5/8	Chord	2/2	2	2	1/8		1/8	1	157													
23	22	88	88	0.5	3/4	3/4	Chord	2/2	2	2	1/8		1/8	1	158													
23	22	177/2	177/2	0.5	7/8	7/8	Chord	2/2	2	2	1/8		1/8	1	159													
24	23	89	89	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	160									18				
24	23	90	90	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	161									18				
24	23	91	91	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	162									18				
24	23	92	92	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	163													
24	23	89	89	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	164													
24	23	179/2	179/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	165													
24	23	90	90	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	166													
24	23	181/2	181/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	167													
24	23	91	91	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	168													
24	23	183/2	183/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	169													
24	23	92	92	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	170													
24	23	185/2	185/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	171													
25	24	93	93	0.0	0	0	Dynamic	2/2	1	1	0						sf											
25	24	93	93	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	172									20				
25	24	189/2	189/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	173													
25	24	95	95	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	174			articStaccatoBelow										
25	24	96	96	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	175									21				
25	24	93	93	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	176									22				
25	24	95	95	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	177													
25	24	93	93	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	178													
25	24	94	94	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	179													
25	24	95	95	0.5	1/2	1/2	Chord	2/2	2	2	1/8		1/8	1	180													
25	24	191/2	191/2	0.5	5/8	5/8	Chord	2/2	2	2	1/8		1/8	1	181													
25	24	96	96	0.5	3/4	3/4	Chord	2/2	2	2	1/8		1/8	1	182													
25	24	193/2	193/2	0.5	7/8	7/8	Chord	2/2	2	2	1/8		1/8	1	183													
26	25	97	97	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	184									21				
26	25	98	98	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	185									21				
26	25	99	99	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	186									21				
26	25	100	100	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	187													
26	25	97	97	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	188													
26	25	195/2	195/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	189													
26	25	98	98	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	190													
26	25	197/2	197/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	191													
26	25	99	99	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	192													
26	25	199/2	199/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	193													
26	25	100	100	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	194													
26	25	201/2	201/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	195													
27	26	203/2	203/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	196									23				
27	26	102	102	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	197									23				
27	26	205/2	205/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	198													
27	26	207/2	207/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	199									24				
27	26	104	104	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	200									24				
27	26	209/2	209/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	201													
27	26	101	101	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	202													
27	26	203/2	203/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	203													
27	26	102	102	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	204													
27	26	205/2	205/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	205													
27	26	103	103	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	206													
27	26	207/2	207/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	207													
27	26	104	104	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	208													
27	26	209/2	209/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	209													
28	27	211/2	211/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	210									25				
28	27	106	106	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	211									25				
28	27	213/2	213/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	212													
28	27	215/2	215/2	0.0	5/8	5/8	Spanner	2/2	1	1	0																	2
28	27	215/2	215/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	213									26				2
28	27	108	108	0.0	3/4	3/4	Spanner	2/2	1	1	0													26				
28	27	108	108	0.0	3/4	3/4	Spanner	2/2	1	1	0													26	3			
28	27	108	108	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	214									26	3			
28	27	217/2	217/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	215										3			
28	27	105	105	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	216													
28	27	211/2	211/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	217													
28	27	106	106	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	218													
28	27	213/2	213/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	219													
28	27	107	107	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	220													
28	27	215/2	215/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	221													
28	27	108	108	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	222													
28	27	217/2	217/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	223													
29	28	109	109	0.0	0	0	Spanner	2/2	1	1	0																	
29	28	109	109	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	224													
29	28	223/2	223/2	0.0	5/8	5/8	Spanner	2/2	1	1	0																	3
29	28	223/2	223/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	225									27				3
29	28	112	112	0.0	3/4	3/4	Spanner	2/2	1	1	0													27	4			3
29	28	112	112	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	226									27	4			3
29	28	225/2	225/2	0.0	7/8	7/8	Spanner	2/2	1	1	0														4			
29	28	225/2	225/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	227										4			
29	28	109	109	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	228													
29	28	219/2	219/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	229													
29	28	110	110	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	230													
29	28	221/2	221/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	231													
29	28	111	111	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	232													
29	28	223/2	223/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	233													
29	28	112	112	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	234													
29	28	225/2	225/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	235													
30	29	113	113	0.0	0	0	Spanner	2/2	1	1	0																	
30	29	113	113	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	236													
30	29	231/2	231/2	0.0	5/8	5/8	Spanner	2/2	1	1	0																	4
30	29	231/2	231/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	237									28				4
30	29	116	116	0.0	3/4	3/4	Spanner	2/2	1	1	0													28	5			4
30	29	116	116	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	238									28	5			4
30	29	233/2	233/2	0.0	7/8	7/8	Spanner	2/2	1	1	0														5			
30	29	233/2	233/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	239										5			
30	29	113	113	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	240													
30	29	227/2	227/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	241													
30	29	114	114	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	242													
30	29	229/2	229/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	243													
30	29	115	115	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	244													
30	29	231/2	231/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	245													
30	29	116	116	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	246													
30	29	233/2	233/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	247													
31	30	117	117	0.0	0	0	Spanner	2/2	1	1	0																	
31	30	117	117	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	248													
31	30	239/2	239/2	0.0	5/8	5/8	Spanner	2/2	1	1	0																	5
31	30	239/2	239/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	249									29				5
31	30	120	120	0.0	3/4	3/4	Spanner	2/2	1	1	0													29	6			5
31	30	120	120	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	250									29	6			5
31	30	241/2	241/2	0.0	7/8	7/8	Spanner	2/2	1	1	0														6			
31	30	241/2	241/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	251										6			
31	30	117	117	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	252													
31	30	235/2	235/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	253													
