mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	0	0	0	0.0	0	7/16	Dynamic	2/4	1	1	0					p										
1	0	0	0	0.0	0	7/16	Tempo	2/4	1	1	0							𝅘𝅥=108	108.0	𝅘𝅥	108.0	0.0				
1	0	0	0	0.25	0	7/16	Chord	2/4	1	1	1/16	1/16	1	0												
2	1	1/4	1/4	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	1												
2	1	7/4	7/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	2												
2	1	2	2	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	3												
2	1	1/4	1/4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	4												
3	2	9/4	9/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	5												
3	2	5/2	5/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	6												
3	2	11/4	11/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	7												
3	2	3	3	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	8												
3	2	13/4	13/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	9												
3	2	7/2	7/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	10												
3	2	15/4	15/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	11												
3	2	4	4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	12												
4	3	17/4	17/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	13												
4	3	6	6	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p										
4	3	6	6	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	14												
5	4	25/4	25/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	15												
5	4	7	7	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	16												
5	4	29/4	29/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	17												
5	4	8	8	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	18												
5	4	25/4	25/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	19			articStaccatoAbove									
5	4	29/4	29/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	20			articStaccatoAbove									
6	5	33/4	33/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	21												
6	5	10	10	0.0	7/16	7/16	Dynamic	2/4	1	1	0					f										
6	5	10	10	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	22												
6	5	33/4	33/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	23			articStaccatoAbove									
7	6	41/4	41/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	24												
7	6	11	11	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	25												
7	6	45/4	45/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	26												
7	6	12	12	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	27												
7	6	41/4	41/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	28			articStaccatoAbove									
7	6	45/4	45/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	29			articStaccatoAbove									
8	7	49/4	49/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	30												
8	7	14	14	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	31	f											
8	7	49/4	49/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	32			articStaccatoAbove									
9	8	57/4	57/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	33												
9	8	15	15	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	34												
9	8	61/4	61/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	35												
9	8	16	16	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	36												
9	8	57/4	57/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	37			articStaccatoAbove									
9	8	61/4	61/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	38			articStaccatoBelow									
10	9	65/4	65/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	39												
10	9	65/4	65/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	40			articStaccatoAbove									
11	10	73/4	73/4	0.0	0	0	Dynamic	2/4	1	1	0					p										
11	10	73/4	73/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	41	p		articStaccatoBelow									
11	10	77/4	77/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	42			articStaccatoBelow									
11	10	73/4	73/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	43			articStaccatoAbove									
11	10	77/4	77/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	44			articStaccatoBelow									
12	11	81/4	81/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	45			articStaccatoBelow									
12	11	22	22	0.0	7/16	7/16	Dynamic	2/4	1	1	0					f										
12	11	22	22	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	46	f											
12	11	81/4	81/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	47			articStaccatoBelow									
13	12	89/4	89/4	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	48												
13	12	95/4	95/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	49												
13	12	24	24	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	50												
13	12	89/4	89/4	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	51												
13	12	95/4	95/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	52												
13	12	24	24	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	53												
14	13	97/4	97/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	54												
