mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal
4	4	15/2	15/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32	1/16	3/2	18								
4	4	63/8	63/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32	1/32	1	19								
5	5	8	8	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	20								
5	5	9	9	0.0		1/4	1/4	Dynamic	2/4	1	1	0				sfp							
5	5	9	9	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	21								
5	5	8	8	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	22								
5	5	9	9	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	23								
6	6	10	10	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	24								
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	25								
6	6	10	10	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	26								
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	27				0				
7	7	12	12	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	28								
7	7	13	13	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	29								
7	7	12	12	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	30								
7	7	13	13	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	31				1				
8	8	14	14	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	32								
8	8	14	14	0.375		0	0	Chord	2/4	2	1	3/32	1/16	3/2	33				1				
8	8	115/8	115/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32	1/32	1	34				1				
8	8	29/2	29/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32	1/16	3/2	35				1				
8	8	119/8	119/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32	1/32	1	36								
8	8	15	15	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	37								
9	9	16	16	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	38								
9	9	17	17	0.875		1/4	1/4	Chord	2/4	1	1	7/32	1/8	7/4	39								
9	9	143/8	143/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	40								
9	9	16	16	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	41								
9	9	17	17	0.875		1/4	1/4	Chord	2/4	2	1	7/32	1/8	7/4	42								
9	9	143/8	143/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32	1/32	1	43								
10	10	18	18	0.0		0	0	Spanner	2/4	1	1	0									0		
10	10	18	18	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	44						0		
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	45						0		
10	10	19	19	0.0		1/4	1/4	Spanner	2/4	1	1	0											
10	10	19	19	0.0		1/4	1/4	Spanner	2/4	1	1	0								0			
10	10	19	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	46					0			
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	47					0			
10	10	18	18	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	48								
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	49								
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	50								
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	51								
11	11	20	20	0.0		0	0	Spanner	2/4	1	1	0											
11	11	20	20	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	52								
11	11	21	21	0.875		1/4	1/4	Chord	2/4	1	1	7/32	1/8	7/4	53								
11	11	175/8	175/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	54								
11	11	20	20	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	55								
11	11	21	21	0.875		1/4	1/4	Chord	2/4	2	1	7/32	1/8	7/4	56								
11	11	175/8	175/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32	1/32	1	57								
12	12	22	22	0.0		0	0	Spanner	2/4	1	1	0									1		
12	12	22	22	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	58						1		
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	59						1		
12	12	23	23	0.0		1/4	1/4	Spanner	2/4	1	1	0											
12	12	23	23	0.0		1/4	1/4	Spanner	2/4	1	1	0								1			
12	12	23	23	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	60					1			
12	12	93/4	93/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	61					1			
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	62					1			
12	12	23	23	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	63					1			
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	64					1			
12	12	22	22	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	65								
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	66								
12	12	23	23	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	67								
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	68								
13	13	24	24	0.0		0	0	Spanner	2/4	1	1	0											
13	13	24	24	0.0		0	0	Spanner	2/4	1	1	0									2		
13	13	24	24	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	69						2		
13	13	25	25	0.875		1/4	1/4	Chord	2/4	1	1	7/32	1/8	7/4	70						2		
13	13	207/8	207/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	71						2		
13	13	24	24	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	72								
13	13	25	25	0.875		1/4	1/4	Chord	2/4	2	1	7/32	1/8	7/4	73								
13	13	207/8	207/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32	1/32	1	74								
14	14	26	26	0.0		0	0	Spanner	2/4	1	1	0											
14	14	26	26	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	75								
14	14	107/4	107/4	0.0		3/16	3/16	Spanner	2/4	1	1	0								2			
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	76					2			
14	14	27	27	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	77				2	2			
14	14	109/4	109/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	78				2	2			
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	79					2			
14	14	26	26	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	80				3				
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	81				3				
14	14	27	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	82				3				
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	83								
15	15	28	28	0.0		0	0	Dynamic	2/4	1	1	0				p							
15	15	28	28	0.0		0	0	Spanner	2/4	1	1	0											
15	15	28	28	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	84				4				
15	15	29	29	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	85				4				
15	15	28	28	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	86								
15	15	28	28	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	87								
15	15	29	29	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	88				5				
16	16	30	30	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	89								
16	16	30	30	0.375		0	0	Chord	2/4	2	1	3/32	1/16	3/2	90				5				
16	16	243/8	243/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32	1/32	1	91				5				
16	16	61/2	61/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32	1/16	3/2	92				5				
16	16	247/8	247/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32	1/32	1	93								
16	16	31	31	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	94								
17	17	32	32	0.0		0	0	Dynamic	2/4	1	1	0				p							
17	17	32	32	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	95								
17	17	33	33	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	96								
17	17	65/2	65/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	97								
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	98								
18	18	34	34	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	99								
18	18	35	35	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	100								
18	18	34	34	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	101								
18	18	69/2	69/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	102								
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	103								
19	19	36	36	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	104								
19	19	37	37	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	105								
19	19	36	36	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	106								
19	19	73/2	73/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	107								
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	108								
20	20	38	38	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	109								
20	20	77/2	77/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	110								
20	20	39	39	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	111								
20	20	79/2	79/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	112								
20	20	38	38	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	113								
20	20	153/4	153/4	0.5		1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	114								
20	20	155/4	155/4	0.5		3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	115								
20	20	157/4	157/4	0.5		5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	116								
20	20	159/4	159/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	117								
21	21	40	40	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	118								
21	21	41	41	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	119								
21	21	40	40	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	120								
21	21	81/2	81/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	121								
21	21	83/2	83/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	122								
22	22	42	42	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	123								
22	22	43	43	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	124								
22	22	42	42	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	125								
22	22	85/2	85/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	126								
22	22	87/2	87/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	127								
23	23	44	44	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	128								
23	23	45	45	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	129								
23	23	44	44	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	130								
23	23	89/2	89/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	131								
23	23	91/2	91/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	132								
24	24		46	0.25	1	0	0	Chord	2/4	1	1	1/16	1/16	1	133								
24	24		93/2	0.25	1	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	134								
24	24		47	0.25	1	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	135								
24	24		95/2	0.25	1	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	136								
24	24		46	0.25	1	0	0	Chord	2/4	2	1	1/16	1/16	1	137								
24	24		185/4	0.5	1	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	138								
24	24		187/4	0.5	1	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	139								
24	24		189/4	0.5	1	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	140								
24	24		191/4	0.25	1	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	141								
25	24		48	0.5	1	0	0	Chord	2/4	1	1	1/8	1/8	1	142								
25	24		49	0.5	1	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	143								
25	24		48	0.5	1	0	0	Chord	2/4	2	1	1/8	1/8	1	144								
25	24		97/2	1.0	1	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	145								
25	24		99/2	0.5	1	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	146				6				
26	24	46	50	0.25	2	0	0	Chord	2/4	1	1	1/16	1/16	1	147								
26	24	93/2	101/2	0.25	2	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	148								
26	24	47	51	0.25	2	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	149								
26	24	95/2	103/2	0.25	2	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	150								
26	24	46	50	0.25	2	0	0	Chord	2/4	2	1	1/16	1/16	1	151								
26	24	185/4	201/4	0.5	2	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	152								
26	24	187/4	203/4	0.5	2	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	153								
26	24	189/4	205/4	0.5	2	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	154								
26	24	191/4	207/4	0.25	2	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	155								
27	25	48	52	0.0		0	0	Dynamic	2/4	1	1	0				p							
27	25	48	52	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	156								
27	25	97/2	105/2	0.0		1/8	1/8	Spanner	2/4	1	1	0									3		
27	25	49	53	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	157						3		
27	25	97/2	105/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	158								
27	25	99/2	107/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	159				7				
28	26	50	54	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	160						3		
28	26	101/2	109/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	161						3		
28	26	51	55	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	162						3		
28	26	103/2	111/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	163						3		
28	26	50	54	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	164				7				
28	26	201/4	217/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	165								
28	26	203/4	219/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	166								
28	26	205/4	221/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	167								
28	26	207/4	223/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	168								
29	27	52	56	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	169						3		
29	27	53	57	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	170						3		
29	27	105/2	113/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	171								
29	27	107/2	115/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	172								
29	27	107/2	115/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	173				8				
30	28	54	58	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	174						3		
30	28	109/2	117/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	175						3		
30	28	55	59	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	176						3		
30	28	111/2	119/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	177						3		
30	28	54	58	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	178								
30	28	219/4	235/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	179								
30	28	221/4	237/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	180								
30	28	223/4	239/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	181								
30	28	54	58	0.25		0	0	Chord	2/4	2	2	1/16	1/16	1	182				8				
30	28	217/4	233/4	0.25		1/16	1/16	Chord	2/4	2	2	1/16	1/16	1	183								
31	29	56	60	0.0		0	0	Dynamic	2/4	1	1	0				f							
31	29	56	60	0.0		0	0	Spanner	2/4	1	1	0											
31	29	56	60	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	184								
31	29	57	61	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	185								
31	29	113/2	121/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	186								
31	29	115/2	123/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	187				9				
32	30	58	62	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	188								
32	30	117/2	125/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	189								
32	30	59	63	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	190								
32	30	119/2	127/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	191								
32	30	58	62	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	192				9				
32	30	233/4	249/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	193								
32	30	235/4	251/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	194								
32	30	237/4	253/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	195								
32	30	239/4	255/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	196								
33	31	60	64	0.0		0	0	Dynamic	2/4	1	1	0				p							
33	31	60	64	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	197								
33	31	61	65	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	198								
33	31	60	64	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	199								
33	31	121/2	129/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	200								
33	31	123/2	131/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	201								
34	32		66	0.25	1	0	0	Chord	2/4	1	1	1/16	1/16	1	202								
34	32		133/2	0.25	1	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	203								
34	32		67	0.25	1	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	204								
34	32		135/2	0.25	1	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	205								
34	32		66	0.0	1	0	0	Spanner	2/4	2	1	0											0
34	32		66	0.25	1	0	0	Chord	2/4	2	1	1/16	1/16	1	206								0
34	32		265/4	0.5	1	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	207								0
34	32		267/4	0.5	1	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	208								0
34	32		269/4	0.5	1	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	209								0
34	32		271/4	0.25	1	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	210								0
35	32	62	68	0.25	2	0	0	Chord	2/4	1	1	1/16	1/16	1	211								
35	32	125/2	137/2	0.25	2	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	212								
35	32	63	69	0.25	2	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	213								
35	32	62	68	0.0	2	0	0	Spanner	2/4	2	1	0											
35	32	62	68	0.0	2	0	0	Spanner	2/4	2	1	0											1
35	32	62	68	0.25	2	0	0	Chord	2/4	2	1	1/16	1/16	1	214								1
35	32	249/4	273/4	0.5	2	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	215								1
35	32	251/4	275/4	0.25	2	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	216								1
35	32	63	69	0.5	2	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	217								1
35	32	127/2	139/2	0.5	2	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	218								1
36	33	64	70	0.0		0	0	Spanner	2/4	1	1	0											2
36	33	64	70	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	219				10				2
36	33	257/4	281/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	220				10				2
36	33	129/2	141/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	221				10				2
36	33	259/4	283/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	222				10				2
36	33	65	71	0.0		1/4	1/4	Spanner	2/4	1	1	0							10				
36	33	65	71	0.0		1/4	1/4	Spanner	2/4	1	1	0							10				3
36	33	65	71	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	223				10				3
36	33	261/4	285/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	224				10				3
36	33	131/2	143/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	225				10				3
36	33	263/4	287/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	226				10				3
36	33	64	70	0.0		0	0	StaffText	2/4	2	1	0						<i>sempre legato</i>					
36	33	64	70	0.0		0	0	Dynamic	2/4	2	1	0				p							
36	33	64	70	0.0		0	0	Spanner	2/4	2	1	0											
36	33	64	70	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	227				11				
36	33	65	71	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	228				11				
37	34	66	72	0.0		0	0	Spanner	2/4	1	1	0							10				
37	34	66	72	0.0		0	0	Spanner	2/4	1	1	0							10				4
37	34	66	72	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	229				10				4
37	34	265/4	289/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	230				10				4
37	34	133/2	145/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	231				10				4
37	34	267/4	291/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	232				10				4
37	34	67	73	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	233				10				4
37	34	269/4	293/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	234				10				4
37	34	135/2	147/2	0.0		3/8	3/8	Spanner	2/4	1	1	0							10				
37	34	135/2	147/2	0.0		3/8	3/8	Spanner	2/4	1	1	0							10				5
37	34	135/2	147/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	235				10				5
37	34	271/4	295/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	236				10				5
37	34	66	72	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	237				11				
37	34	135/2	147/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	238				11				
38	35	68	74	0.0		0	0	Spanner	2/4	1	1	0							10				
38	35	68	74	0.0		0	0	Spanner	2/4	1	1	0							10				6
38	35	68	74	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	239				10				6
38	35	273/4	297/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	240				10				6
38	35	137/2	149/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	241				10				6
38	35	275/4	299/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	242				10				6
38	35	69	75	0.0		1/4	1/4	Spanner	2/4	1	1	0							10				
38	35	69	75	0.0		1/4	1/4	Spanner	2/4	1	1	0							10				7
38	35	69	75	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	243				10				7
38	35	277/4	301/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	244				10				7
38	35	139/2	151/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	245				10				7
38	35	279/4	303/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	246				10				7
38	35	68	74	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	247				11				
38	35	69	75	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	248				11, 12				
39	36	70	76	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	249				10				7
39	36	281/4	305/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	250				10				7
39	36	141/2	153/2	0.0		1/8	1/8	Spanner	2/4	1	1	0							10				
39	36	141/2	153/2	0.0		1/8	1/8	Spanner	2/4	1	1	0							10				8
39	36	141/2	153/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	251				10				8
39	36	283/4	307/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	252				10				8
39	36	71	77	0.0		1/4	1/4	Spanner	2/4	1	1	0							10				
39	36	71	77	0.0		1/4	1/4	Spanner	2/4	1	1	0							10				9
39	36	71	77	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	253				10				9
39	36	285/4	309/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	254				10				9
39	36	143/2	155/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	255				10				9
39	36	287/4	311/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	256				10				9
39	36	70	76	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	257				11, 12				
