mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	0			0				
1	1	3/8	3/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1			0				
1	1	1/2	1/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	2							
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	3							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4							
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	6							
1	1	0	0	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	7							
1	1	0	0	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	8							
2	2	2	2	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	9			1				
2	2	19/8	19/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	10			1				
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	11							
2	2	7/2	7/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	12			2				
2	2	31/8	31/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	13							
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	14							
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	15							
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	16							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	17							
2	2	2	2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	18							
2	2	2	2	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	19							
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	20			3				
3	3	9/2	9/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	21			3				
3	3	39/8	39/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	22							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	23			4				
3	3	11/2	11/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	24			4				
3	3	47/8	47/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	25							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	26							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	27							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	29							
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	30			5				
4	4	25/4	25/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	31			5				
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	32							
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	33							
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	34							
4	4	15/2	15/2	0.0	3/8	3/8	Chord	2/4	1	2	0	grace32	1/32	1	35							
4	4	15/2	15/2	0.0	3/8	3/8	Chord	2/4	1	2	0	grace32	1/32	1	36							
4	4	15/2	15/2	0.0	3/8	3/8	Chord	2/4	1	2	0	grace32	1/32	1	37							
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	38			6				
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	39							
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	40							
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	41							
5	5	8	8	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	42			7				
5	5	67/8	67/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	43							
5	5	17/2	17/2	0.0	1/8	1/8	Spanner	2/4	1	1	0									0		
5	5	17/2	17/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	44					0		
5	5	8	8	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	45					0		
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	46							
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	47							
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	48							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	49							
5	5	8	8	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	50							
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0											
6	6	10	10	0.0	0	0	Chord	2/4	1	1	0	grace16	1/32	1	51							
6	6	10	10	0.0	0	0	Chord	2/4	1	1	0	grace16	1/32	1	52							
6	6	10	10	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	53			8				
6	6	83/8	83/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	54							
6	6	21/2	21/2	0.0	1/8	1/8	Spanner	2/4	1	1	0									1		
6	6	21/2	21/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	55					1		
6	6	23/2	23/2	0.0	3/8	3/8	Spanner	2/4	1	1	0											
6	6	23/2	23/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	56			9				
6	6	95/8	95/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	57							
6	6	10	10	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	58							
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	59							
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	60							
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	61							
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	62							
6	6	10	10	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	63							
