mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	1	0	0	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	0	p	
1	1	0	0	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	1		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	2		
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	3		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	4		
1	1	2	2	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	5		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	6		
2	2	3	3	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	7		
2	2	3	3	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	8		
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	9		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	10		
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	11		
2	2	5	5	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	12		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	13		
3	3	6	6	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	14		
3	3	6	6	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	15		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	16		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	17		
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	18		
3	3	8	8	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	19		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	20		
4	4	9	9	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	21		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	22		
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	23		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	24		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	25		
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	26		
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	27		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	28		
5	5	12	12	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	29		
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	30		
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	31		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	32		
5	5	14	14	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	33		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	34		
5	5	12	12	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	35		
5	5	12	12	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	36		
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	37		
6	6	15	15	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	38		
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	39		
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	40		
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	41		
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	42		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	43		
6	6	15	15	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	44		
7	7	18	18	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	45		
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	46		
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	47		
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	48		
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	49		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	50		
7	7	18	18	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	51		
7	7	18	18	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	52		
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	53		
8	8	21	21	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	54		
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	55		
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	56		
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	57		
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	58		
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	59		
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	60		
9	9	24	24	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	61	<	
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	62		
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	63		
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	64		
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	65		
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	66		
9	9	24	24	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	67		
9	9	24	24	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	68		
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	69		
10	10	27	27	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	70		
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	71		
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	72		
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	73		
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	74	>	
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	75		
10	10	27	27	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	76		
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	77		
11	11	30	30	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	78		
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	79		
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	80		
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	81		
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	82		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	83		
11	11	30	30	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	84		
12	12	33	33	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	85		
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	86		
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	87		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	88		
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	89		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	90		
12	12	33	33	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	91		
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	92		
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	93		
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	94		
13	13	36	36	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	95		
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	96		
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	97		
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	98		
13	13	38	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	99		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	100		
14	14	39	39	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	101	<	
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	102		
14	14	39	39	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	103		
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	104		
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	105		
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	106		
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	107		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	108		
15	15	42	42	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	109		
15	15	42	42	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	110		
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	111		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	112		
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	113		
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	114		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	115		
16	16	45	45	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	116		
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	117		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	118		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	119		
