mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	1	0	0	0.0		0	0	Dynamic	2/4	1	1	0				ff								
1	1	0	0	0.0		0	0	StaffText	2/4	1	1	0						"<font size=""14""/>Allegro ma non troppo."						
1	1	0	0	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	0									
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	1									
1	1	0	0	0.0		0	0	Spanner	2/4	2	1	0										0		
1	1	0	0	0.0		0	0	Spanner	2/4	2	1	0										0, 1	1	
1	1	0	0	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	2							0, 1	1	
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	3							0, 1	1	
2	2	2	2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	4									
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	5									
2	2	2	2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	6							0, 1	1	
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	7							0, 1	1	
3	3	4	4	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	8									
3	3	19/4	19/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	9									
3	3	5	5	0.75		1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	10									
3	3	23/4	23/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	11									
3	3	4	4	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	12							0, 1	1	
3	3	19/4	19/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	13							0, 1	1	
3	3	5	5	0.75		1/4	1/4	Chord	2/4	2	1	3/16	1/8	3/2	14							0, 1	1	
3	3	23/4	23/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	15							0, 1	1	
4	4	6	6	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	16									
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	17									
4	4	7	7	0.75		1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	18									
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	19									
4	4	6	6	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	20							0, 1	1	
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	21							0, 1	1	
4	4	7	7	0.75		1/4	1/4	Chord	2/4	2	1	3/16	1/8	3/2	22							0, 1	1	
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	23							0, 1	1	
5	5	8	8	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	24									
5	5	19/2	19/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0				p								
5	5	19/2	19/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	25									
5	5	39/4	39/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	26									
5	5	8	8	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	27							0, 1	1	
5	5	9	9	0.0		1/4	1/4	Spanner	2/4	2	1	0												
5	5	9	9	0.0		1/4	1/4	Spanner	2/4	2	1	0												
6	6	10	10	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	28									
6	6	41/4	41/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	29									
6	6	21/2	21/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	30									
6	6	43/4	43/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	31									
