mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.375	0	0	Chord	2/4	1	1	3/32	1/16	3/2	0				0		
1	1	3/8	3/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	1						
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	2			articStaccatoAbove			
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	3			articStaccatoAbove			
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	4						
1	1	0	0	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	5						
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	6						
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					p				
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	7						
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	8						
2	2	2	2	0.375	0	0	Chord	2/4	1	1	3/32	1/16	3/2	9				1		
2	2	19/8	19/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	10						
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	11			articStaccatoAbove			
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	12			articStaccatoAbove			
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	13						
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	14						
2	2	2	2	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	15						
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	16						
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	17						
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	18						
3	3	4	4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	19				2		
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	20				2		
