mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Trill:trill
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Allegro	144.0	1.0					
1	1	0	0	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	0							0				
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1											
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2											
1	1	0	0	0.0	0	0	Dynamic	3/4	1	2	0						p									
1	1	0	0	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	3											
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	4											
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	5							1				
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	6											
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	7											
2	2	3	3	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	8											
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	9											
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10			articStaccatoBelow				2				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	11			articStaccatoBelow				2				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	12			articStaccatoBelow								
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13			articStaccatoBelow				3				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14			articStaccatoBelow				3				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15			articStaccatoBelow								
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0													0		
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	16									0		
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	17											
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0															
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	18			articStaccatoBelow				4				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	19			articStaccatoBelow				4				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	20			articStaccatoBelow								
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21			articStaccatoAbove				5				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22			articStaccatoAbove				5				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	23			articStaccatoAbove								
6	6	15	15	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	24											
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	25											
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	26							6				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	27											
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	28							7				
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	29							7				
