mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0				0				
1	1	1	1	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1				0				
1	1	0	0	0.0	0	0	Dynamic	2/4	1	2	0						p						
1	1	0	0	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	2	p							
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	3								
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	4								
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	5								
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	6								
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	7								
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	8								
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	9								
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	10	p			1				
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	11				1				
2	2	2	2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	12				0				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	13								
2	2	2	2	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	14								
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	15								
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	16								
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	17								
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	18								
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	19								
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	20								
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	21								
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	22				1				
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	23								
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	24				2				
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	25				2				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	26				2				
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	27								
3	3	4	4	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	28								
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	29								
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	30								
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	31								
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	32								
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	33								
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	34								
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	35								
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	36				3				
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	37				3				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	38				3				
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	39								
4	4	6	6	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	40				4				
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	41				4				
4	4	6	6	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	42								
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	43								
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	44								
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	45								
4	4	7	7	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	46								
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	47								
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	48								
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	49								
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	50				5				
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	51				5				
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	52								
5	5	9	9	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	53				6				
5	5	39/4	39/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	54				6				
5	5	79/8	79/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	55								
5	5	8	8	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	56								
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	57								
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	58								
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	59								
5	5	9	9	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	60								
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	61								
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	62								
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	63								
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	64				5				
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	65								
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	66				7				
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	67				7				
6	6	10	10	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	68								
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	69								
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	70								
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	71								
6	6	11	11	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	72								
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	73								
