mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
1	1	0	0	0.0		0	0	Dynamic	2/4	1	1	0						p						
1	1	0	0	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	0	p							
1	1	3/2	3/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1								
1	1	1/4	1/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2			articStaccatoBelow					
1	1	1/2	1/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	3			articStaccatoBelow					
1	1	3/4	3/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	4			articStaccatoBelow					
1	1	1	1	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	5			articStaccatoBelow					
1	1	5/4	5/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	6			articStaccatoBelow					
1	1	3/2	3/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	7			articStaccatoBelow					
1	1	7/4	7/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	8			articStaccatoBelow					
2	2	2	2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	9								
2	2	7/2	7/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	10								
2	2	9/4	9/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	11			articStaccatoBelow					
2	2	5/2	5/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	12			articStaccatoBelow					
2	2	11/4	11/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	13			articStaccatoBelow					
2	2	3	3	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	14			articStaccatoBelow					
2	2	13/4	13/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	15			articStaccatoBelow					
2	2	7/2	7/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	16			articStaccatoBelow					
2	2	15/4	15/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	17			articStaccatoBelow					
3	3	4	4	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	18				0				
3	3	9/2	9/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	19								
3	3	5	5	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	20			articStaccatoAbove					
3	3	11/2	11/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	21			articStaccatoAbove					
3	3	4	4	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	22			articStaccatoBelow					
3	3	17/4	17/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	23			articStaccatoBelow					
3	3	9/2	9/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	24			articStaccatoBelow					
3	3	19/4	19/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	25			articStaccatoBelow					
3	3	5	5	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	26			articStaccatoBelow					
3	3	21/4	21/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	27			articStaccatoBelow					
3	3	11/2	11/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	28			articStaccatoBelow					
3	3	23/4	23/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	29			articStaccatoBelow					
4	4	6	6	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	30								
4	4	7	7	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	31								
