mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	0	0	0	0.5		0	3/8	Chord	9/16	1	1	1/8		1/8	1	0				0						
1	0	1/2	1/2	0.25		1/8	1/2	Chord	9/16	1	1	1/16		1/16	1	1										
1	0	0	0	0.0		0	3/8	Dynamic	9/16	1	2	0						p								
1	0	0	0	0.75		0	3/8	Chord	9/16	1	2	3/16		1/8	3/2	2										
1	0	0	0	0.75		0	3/8	Chord	9/16	2	1	3/16		1/8	3/2	3										
2	1	3/4	3/4	1.5		0	0	Chord	9/16	1	1	3/8		1/4	3/2	4										
2	1	9/4	9/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	5				1						
2	1	11/4	11/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	6										
2	1	3/4	3/4	0.75		0	0	Chord	9/16	1	2	3/16		1/8	3/2	7				2						
2	1	3/2	3/2	0.75		3/16	3/16	Chord	9/16	1	2	3/16		1/8	3/2	8				2						
2	1	9/4	9/4	0.75		3/8	3/8	Chord	9/16	1	2	3/16		1/8	3/2	9										
2	1	3/4	3/4	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	10										
2	1	3/2	3/2	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	11										
2	1	9/4	9/4	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	12										
3	2	3	3	1.5		0	0	Chord	9/16	1	1	3/8		1/4	3/2	13										
3	2	9/2	9/2	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	14										
3	2	3	3	0.75		0	0	Chord	9/16	1	2	3/16		1/8	3/2	15				3						
3	2	15/4	15/4	0.75		3/16	3/16	Chord	9/16	1	2	3/16		1/8	3/2	16				3						
3	2	9/2	9/2	0.75		3/8	3/8	Chord	9/16	1	2	3/16		1/8	3/2	17										
3	2	3	3	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	18										
3	2	15/4	15/4	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	19										
3	2	9/2	9/2	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	20										
4	3	21/4	21/4	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	21				4						
4	3	6	6	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	22				4						
4	3	27/4	27/4	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	23										
4	3	6	6	0.75		3/16	3/16	Chord	9/16	1	2	3/16		1/8	3/2	24										
4	3	27/4	27/4	0.75		3/8	3/8	Chord	9/16	1	2	3/16		1/8	3/2	25										
4	3	21/4	21/4	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	26										
4	3	6	6	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	27										
4	3	27/4	27/4	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	28										
5	4	15/2	15/2	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	29										
5	4	33/4	33/4	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	30										
5	4	9	9	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	31										
