mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	24									
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	25			3						
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	26			3						
4	4	11	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	27			3						
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	28									
5	5	12	12	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	29			5						
5	5	12	12	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	30			5						
5	5	12	12	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	31			5						
5	5	12	12	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	32			5						
5	5	13	13	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	33			5						
5	5	29/2	29/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	34			5						
5	5	59/4	59/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	35			5						
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	36									
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	37									
5	5	12	12	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	38			6						
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	39									
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	40									
5	5	12	12	2.0		0	0	Chord	3/4	2	2	1/2		1/2	1	41			7						
6	6	15	15	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	42			5						
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	43			5						
6	6	17	17	0.0		1/2	1/2	Chord	3/4	1	1	0	grace32	1/32	1	44									
6	6	17	17	0.0		1/2	1/2	Chord	3/4	1	1	0	grace32	1/32	1	45									
6	6	17	17	0.0		1/2	1/2	Chord	3/4	1	1	0	grace32	1/32	1	46									
6	6	17	17	0.0		1/2	1/2	Chord	3/4	1	1	0	grace32	1/32	1	47									
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	48									
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	49									
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50									
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51									
7	7	18	18	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	52									
7	7	19	19	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	53		articAccentBelow	8						
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	54									
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55			9						
7	7	19	19	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	56			9						
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	57									
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	58									
8	8	21	21	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	59			10						
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	60									
8	8	21	21	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	61			11						
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	62			11						
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	63									
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	64			12						
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65			12						
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66									
8	8	21	21	2.0		0	0	Chord	3/4	2	2	1/2		1/2	1	67									
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	68									
9	9	24	24	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	69			13						
9	9	25	25	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	70			13						
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	71			13						
9	9	25	25	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	72									
9	9	26	26	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	73									
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	74									
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	75									
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	76									
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	77									
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	78									
10	10	27	27	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	79			13						
10	10	28	28	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	80			13						
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81									
10	10	28	28	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	82									
10	10	29	29	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	83									
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	84									
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85									
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86									
11	11	30	30	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	87			14						
11	11	31	31	0.0		1/4	1/4	Spanner	3/4	1	1	0													0
11	11	31	31	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	88									0
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89									0
11	11	31	31	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	90									0
11	11	32	32	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	91									0
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	92									
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93									
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94									
12	12	33	33	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	95			15						0
12	12	34	34	0.0		1/4	1/4	Spanner	3/4	1	1	0							15						
12	12	34	34	0.0		1/4	1/4	Spanner	3/4	1	1	0							15					0	
12	12	34	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	96			15					0	
12	12	35	35	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97								0	
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	98									
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99			16						
12	12	35	35	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100									
13	13	36	36	0.0		0	0	Spanner	3/4	1	1	0													
13	13	36	36	0.0		0	0	Spanner	3/4	1	1	0													1
13	13	36	36	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	101									1
13	13	36	36	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	102									1
13	13	36	36	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	103									1
13	13	36	36	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	104									1
13	13	37	37	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	105									1
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	106									1
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	107									
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	108									
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	109									
14	14	39	39	0.0		0	0	Dynamic	3/4	1	1	0					sf								
14	14	39	39	0.0		0	0	Spanner	3/4	1	1	0													
14	14	39	39	0.0		0	0	Spanner	3/4	1	1	0												1	
14	14	39	39	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	110								1	
14	14	39	39	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	111								1	
14	14	39	39	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	112								1	
14	14	39	39	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	113			17					1	
14	14	81/2	81/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	114								1	
14	14	41	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	115		articStaccatoBelow	18					1	
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	116		articStaccatoBelow						1	
14	14	39	39	0.0		0	0	Chord	3/4	2	1	0	grace32	1/32	1	117									
14	14	39	39	0.0		0	0	Chord	3/4	2	1	0	grace32	1/32	1	118									
14	14	39	39	0.0		0	0	Chord	3/4	2	1	0	grace32	1/32	1	119									
14	14	39	39	0.0		0	0	Chord	3/4	2	1	0	grace32	1/32	1	120									
14	14	39	39	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	121									
14	14	41	41	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	122									
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	123									
15	15	42	42	0.0		0	0	Spanner	3/4	1	1	0													
15	15	42	42	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	124			19						
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	125									
15	15	43	43	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	126			20						
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	127									
15	15	42	42	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	128									
15	15	43	43	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	129			21						
15	15	44	44	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	130									
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	131			22						
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	132									
15	15	42	42	2.0		0	0	Chord	3/4	2	2	1/2		1/2	1	133									
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	134									
16	16	45	45	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	135			23						
16	16	47	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	136									
16	16	45	45	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	137			24						
16	16	46	46	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	138			24						
16	16	47	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	139									
17	17	48	48	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/32	1	140									
17	17	48	48	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	141									
17	17	50	50	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	142									
17	17	203/4	203/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	143									
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	144									
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	145									
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	146									
18	18	51	51	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	147			25						
18	18	52	52	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	148			25						
18	18	53	53	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	149									
18	18	215/4	215/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	150									
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	151									
18	18	52	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	152									
18	18	53	53	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	153									
19	19	54	54	0.0		0	0	Chord	3/4	1	1	0	grace32	1/32	1	154									
19	19	54	54	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	155									
19	19	111/2	111/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156			26						
19	19	56	56	0.1		1/2	1/2	Chord	3/4	1	1	1/40		1/32	4/5	157			26						
19	19	561/10	561/10	0.1		21/40	21/40	Chord	3/4	1	1	1/40		1/32	4/5	158			26						
19	19	281/5	281/5	0.1		11/20	11/20	Chord	3/4	1	1	1/40		1/32	4/5	159			26						
19	19	563/10	563/10	0.1		23/40	23/40	Chord	3/4	1	1	1/40		1/32	4/5	160			26						
19	19	282/5	282/5	0.1		3/5	3/5	Chord	3/4	1	1	1/40		1/32	4/5	161			26						
19	19	113/2	113/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	162			26						
19	19	227/4	227/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	163									
19	19	54	54	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	164									
19	19	55	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165									
19	19	56	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166									
20	20	57	57	0.0		0	0	Spanner	3/4	1	1	0													2
20	20	57	57	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	167			27						2
20	20	58	58	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	168			27						2
20	20	119/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	169									2
20	20	57	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	170									
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171									
20	20	59	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172									
21	21	60	60	0.0		0	0	Spanner	3/4	1	1	0													
21	21	60	60	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/32	1	173									
21	21	60	60	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	174		articAccentAbove	28						
21	21	123/2	123/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	175									
21	21	62	62	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	176		articStaccatoAbove	29						
21	21	251/4	251/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	177		articStaccatoAbove							
21	21	60	60	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	178									
21	21	61	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	179									
21	21	62	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	180									
22	22	63	63	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	181			30						
22	22	127/2	127/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	182									
22	22	129/2	129/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183		articStaccatoAbove	31						
22	22	65	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	184		articStaccatoAbove	31						
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185		articStaccatoAbove							
22	22	63	63	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	186									
22	22	64	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187									
22	22	65	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188									
23	23	66	66	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	189			32						
23	23	133/2	133/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	190			32						
23	23	67	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	191			32						
23	23	135/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	192			32						
23	23	68	68	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	193			32						
23	23	137/2	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	194									
23	23	68	68	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	195									
23	23	66	66	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	196									
23	23	67	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	197									
23	23	68	68	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	198									
23	23	137/2	137/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	199									
23	23	66	66	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	200									
23	23	67	67	0.5		1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	201			33						
23	23	135/2	135/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	202			33						
23	23	68	68	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	203			33						
24	24		69	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	204			34						
24	24		139/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	205			34						
24	24		70	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	206			34						
24	24		141/2	0.5	1	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	207									
24	24		71	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	208									
24	24		287/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	209									
24	24		69	2.0	1	0	0	Chord	3/4	1	2	1/2		1/2	1	210									
24	24		71	1.0	1	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	211									
24	24		69	0.5	1	0	0	Chord	3/4	2	1	1/8		1/8	1	212			35						
24	24		139/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	213			35						
24	24		70	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	214			35						
24	24		141/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	215									
24	24		71	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	216			36						
24	24		143/2	0.25	1	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	217			36						
24	24		287/4	0.25	1	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	218									
24	24		69	2.0	1	0	0	Chord	3/4	2	2	1/2		1/2	1	219									
25	24	69	72	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	220			37						
25	24	139/2	145/2	0.5	2	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	221			37						
25	24	70	73	0.5	2	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	222			37						
25	24	141/2	147/2	0.5	2	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	223									
25	24	71	74	0.75	2	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	224									
25	24	287/4	299/4	0.25	2	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	225									
25	24	69	72	2.0	2	0	0	Chord	3/4	1	2	1/2		1/2	1	226									
25	24	71	74	1.0	2	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	227									
25	24	69	72	0.5	2	0	0	Chord	3/4	2	1	1/8		1/8	1	228			38						
25	24	139/2	145/2	0.5	2	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	229			38						
25	24	70	73	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	230			38						
25	24	141/2	147/2	0.5	2	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	231									
25	24	71	74	0.5	2	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	232			39						
25	24	143/2	149/2	0.5	2	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	233									
25	24	69	72	2.0	2	0	0	Chord	3/4	2	2	1/2		1/2	1	234									
26	25	72	75	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/32	1	235									
26	25	72	75	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	236		articAccentAbove							
26	25	147/2	153/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	237			40						
26	25	74	77	0.0		1/2	1/2	Spanner	3/4	1	1	0							40						3
26	25	74	77	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	238			40						3
26	25	299/4	311/4	0.0		11/16	11/16	Spanner	3/4	1	1	0													
26	25	299/4	311/4	0.0		11/16	11/16	Spanner	3/4	1	1	0												2	
26	25	299/4	311/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	239								2	
26	25	72	75	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	240									
26	25	73	76	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	241									
26	25	74	77	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	242									
27	26	75	78	0.0		0	0	Spanner	3/4	1	1	0													
27	26	75	78	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/32	1	243									
27	26	75	78	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	244									
27	26	153/2	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	245			41						
27	26	77	80	0.0		1/2	1/2	Spanner	3/4	1	1	0							41						4
27	26	77	80	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	246			41						4
27	26	311/4	323/4	0.0		11/16	11/16	Spanner	3/4	1	1	0													
27	26	311/4	323/4	0.0		11/16	11/16	Spanner	3/4	1	1	0												3	
27	26	311/4	323/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	247								3	
27	26	75	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	248									
27	26	76	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	249									
27	26	77	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	250									
28	27	78	81	0.0		0	0	Spanner	3/4	1	1	0													
28	27	78	81	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/32	1	251									
28	27	78	81	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	252									
28	27	159/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	253			42						
28	27	80	83	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	254			42						
28	27	323/4	335/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	255									
28	27	80	83	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	256									
28	27	78	81	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	257									
28	27	79	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	258									
28	27	80	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	259									
29	28	81	84	0.0		0	0	Spanner	3/4	1	1	0													5
29	28	81	84	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	260			43						5
29	28	163/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	261			43						5
29	28	82	85	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	262			43						5
29	28	165/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	263			43						5
29	28	83	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	264			43						5
29	28	167/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	265									5
29	28	81	84	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	266									
29	28	163/2	169/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	267									
29	28	82	85	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	268									
29	28	165/2	171/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	269									
29	28	83	86	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	270									
29	28	167/2	173/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	271									
29	28	81	84	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	272									
29	28	82	85	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	273			44						
29	28	83	86	0.5		1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	274			44						
29	28	167/2	173/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	275									
30	29	84	87	0.0		0	0	Dynamic	3/4	1	1	0					sf								
30	29	84	87	0.0		0	0	Spanner	3/4	1	1	0													
30	29	84	87	0.0		0	0	Spanner	3/4	1	1	0													6
30	29	84	87	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/32	1	276									6
