mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	1/2	1/8		1/8	1		1	55	2	1	
1	1	1/2	1/8		1/8	1		5	59	2	1	
1	1	1/2	3/16		1/8	3/2		1	67	1	1	
1	1	5/8	1/8		1/8	1		2	62	2	1	
1	1	11/16	1/16		1/16	1		6	66	1	1	
2	2	0	1/8		1/8	1		3	57	2	1	
2	2	0	1/8		1/8	1		0	60	2	1	
2	2	0	1/2		1/2	1		6	66	1	1	
2	2	1/8	1/8		1/8	1		2	62	2	1	
2	2	1/4	1/8		1/8	1		2	50	2	1	
2	2	3/8	1/8		1/8	1		2	62	2	1	
2	2	1/2	1/8		1/8	1		3	57	2	1	
2	2	1/2	1/8		1/8	1		0	60	2	1	
2	2	1/2	3/16		1/8	3/2		6	66	1	1	
2	2	5/8	1/8		1/8	1		2	62	2	1	
2	2	11/16	1/16		1/16	1		1	67	1	1	
3	3	0	1/8		1/8	1		1	55	2	1	
3	3	0	1/8		1/8	1		5	59	2	1	
3	3	0	1/2		1/2	1		1	67	1	1	
3	3	1/8	1/8		1/8	1		2	62	2	1	
3	3	1/4	1/8		1/8	1		2	50	2	1	
3	3	3/8	1/8		1/8	1		2	62	2	1	
3	3	1/2	1/8		1/8	1		1	55	2	1	
3	3	1/2	1/8		1/8	1		5	59	2	1	
3	3	1/2	3/16		1/8	3/2		1	67	1	1	
3	3	5/8	1/8		1/8	1		2	62	2	1	
3	3	11/16	1/16		1/16	1		5	71	1	1	
4	4	0	1/8		1/8	1		6	54	2	1	
4	4	0	1/8		1/8	1		3	57	2	1	
4	4	0	1/4		1/4	1	1	2	74	1	1	
4	4	1/8	1/8		1/8	1		2	62	2	1	
4	4	1/4	1/8		1/8	1		2	50	2	1	
4	4	1/4	1/8		1/8	1	-1	2	74	1	1	
4	4	3/8	1/8		1/8	1		2	62	2	1	
4	4	3/8	1/8		1/8	1		4	76	1	1	
4	4	1/2	1/8		1/8	1		6	54	2	1	
4	4	1/2	1/8		1/8	1		3	57	2	1	
4	4	1/2	1/8		1/8	1		2	74	1	1	
4	4	5/8	1/8		1/8	1		2	62	2	1	
4	4	5/8	1/8		1/8	1		0	72	1	1	
5	5	0	1/8		1/8	1		1	55	2	1	
