mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5		0	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	0
1	0	1/2	0.5		1/8	1/2	3/4	1	1	1/8	1/8	1		6	78	F#5	5	1
1	0	1	0.5		1/4	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	2
2	1	3/2	1.0		0	0	3/4	1	1	1/4	1/4	1		3	81	A5	5	3
2	1	5/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	4
2	1	7/2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	5
3	2	9/2	1.0		0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	6
3	2	11/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	7
3	2	6	0.5		3/8	3/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	9
3	2	13/2	0.5		1/2	1/2	3/4	1	2	1/8	1/8	1		2	62	D4	4	10
3	2	13/2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	8
3	2	7	0.5		5/8	5/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	11
4	3	15/2	1.0		0	0	3/4	1	2	1/4	1/4	1		-1	65	F4	4	13
4	3	15/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		5	71	B4	4	12
4	3	17/2	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	14
4	3	19/2	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	15
5	4	21/2	1.0		0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	17
5	4	21/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	16
5	4	23/2	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	18
5	4	12	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	20
5	4	25/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		6	54	F#3	3	21
5	4	25/2	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		0	60	C4	4	19
5	4	13	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	22
6	5	27/2	1.0		0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	24
6	5	27/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		1	67	G4	4	23
6	5	27/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		5	71	B4	4	23
6	5	27/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		2	74	D5	5	23
6	5	29/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	25
6	5	31/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	26
7	6	33/2	1.0		0	0	3/4	2	1	1/4	1/4	1		4	52	E3	3	28
7	6	33/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		1	67	G4	4	27
7	6	33/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	27
7	6	33/2	3.0		0	0	3/4	1	1	3/4	1/2	3/2		4	76	E5	5	27
7	6	35/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	29
7	6	37/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		0	48	C3	3	30
8	7	39/2	1.0		0	0	3/4	2	1	1/4	1/4	1		5	47	B2	2	34
8	7	39/2	1.0		0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	31
8	7	39/2	1.0		0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	31
8	7	39/2	1.0		0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	31
8	7	41/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		1	43	G2	2	35
8	7	41/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	32
8	7	41/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	32
8	7	41/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	32
8	7	43/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		0	48	C3	3	36
8	7	43/2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	33
8	7	43/2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	33
8	7	43/2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		4	76	E5	5	33
9	8	45/2	1.0		0	0	3/4	2	1	1/4	1/4	1		1	43	G2	2	38
9	8	45/2	1.0		0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	37
9	8	45/2	1.0		0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	37
9	8	45/2	1.0		0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	37
9	8	24	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		2	74	D5	5	39
9	8	49/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		7	73	C#5	5	40
9	8	25	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		2	74	D5	5	41
10	9	51/2	1.0		0	0	3/4	2	1	1/4	1/4	1		-3	75	Eb5	5	45
10	9	53/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		2	74	D5	5	46
10	9	27	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	42
10	9	55/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		0	72	C5	5	47
10	9	55/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		4	76	E5	5	43
10	9	28	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	44
11	10	57/2	1.0		0	0	3/4	2	1	1/4	1/4	1		-2	70	Bb4	4	52
11	10	57/2	1.0		0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	48
11	10	59/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		3	69	A4	4	53
11	10	30	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	49
11	10	61/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		1	67	G4	4	54
11	10	61/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		6	78	F#5	5	50
11	10	31	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	51
12	11	63/2	1.0		0	0	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	59
12	11	63/2	1.0		0	0	3/4	2	1	1/4	1/4	1		6	66	F#4	4	59
12	11	63/2	1.0		0	0	3/4	1	1	1/4	1/4	1		3	81	A5	5	55
12	11	65/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	60
12	11	33	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	56
12	11	67/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	61
12	11	67/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	57
12	11	34	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	58
13	12	69/2	1.0		0	0	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	66
13	12	69/2	1.0		0	0	3/4	1	1	1/4	1/4	1		-2	82	Bb5	5	62
13	12	71/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	67
13	12	36	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-2	82	Bb5	5	63
13	12	73/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	68
13	12	73/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		3	81	A5	5	64
13	12	37	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		-2	82	Bb5	5	65
14	13	75/2	1.0		0	0	3/4	2	1	1/4	1/4	1		-2	46	Bb2	2	73
14	13	75/2	1.0		0	0	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	73
14	13	75/2	1.0		0	0	3/4	1	1	1/4	1/4	1		7	85	C#6	6	69
14	13	77/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		3	45	A2	2	74
14	13	77/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	74
14	13	39	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		7	85	C#6	6	70
14	13	79/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		1	43	G2	2	75
14	13	79/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	75
14	13	79/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		12	84	B#5	5	71
14	13	40	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		7	85	C#6	6	72
15	14	81/2	1.0		0	0	3/4	2	1	1/4	1/4	1		6	42	F#2	2	80
15	14	81/2	1.0		0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	80
15	14	81/2	1.0		0	0	3/4	1	1	1/4	1/4	1		2	86	D6	6	76
15	14	83/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		4	40	E2	2	81
15	14	83/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		4	52	E3	3	81
15	14	42	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		2	86	D6	6	77
15	14	85/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	38	D2	2	82
15	14	85/2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	82
15	14	85/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		7	85	C#6	6	78
15	14	43	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		2	86	D6	6	79
16	15	87/2	1.0		0	0	3/4	2	1	1/4	1/4	1		1	43	G2	2	86
16	15	87/2	1.0		0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	86
16	15	87/2	1.0		0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	83
16	15	87/2	1.0		0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	83
16	15	87/2	1.0		0	0	3/4	1	1	1/4	1/4	1		5	83	B5	5	83
16	15	89/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		0	36	C2	2	87
16	15	89/2	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		0	48	C3	3	87
16	15	89/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	84
