mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	7/8	2/2	2	1	1/8			1/8	1		-2	34	Bb1	1	0
2	1	1/2	1/2	1.5		0	0	2/2	2	1	3/8			1/4	3/2		-1	53	F3	3	5
2	1	1/2	1/2	1.5		0	0	2/2	2	1	3/8			1/4	3/2		-2	58	Bb3	3	5
2	1	1/2	1/2	1.5		0	0	2/2	2	1	3/8			1/4	3/2		2	62	D4	4	5
2	1	2	2	0.5		3/8	3/8	2/2	2	1	1/8			1/8	1		-1	53	F3	3	6
2	1	2	2	0.5		3/8	3/8	2/2	2	1	1/8			1/8	1		-2	58	Bb3	3	6
2	1	2	2	0.5		3/8	3/8	2/2	2	1	1/8			1/8	1		2	62	D4	4	6
2	1	2	2	0.5		3/8	3/8	2/2	1	1	1/8			1/8	1		2	74	D5	5	1
2	1	2	2	0.5		3/8	3/8	2/2	1	1	1/8			1/8	1		-1	77	F5	5	1
2	1	2	2	0.5		3/8	3/8	2/2	1	1	1/8			1/8	1		-2	82	Bb5	5	1
2	1	2	2	0.5		3/8	3/8	2/2	1	1	1/8			1/8	1		2	86	D6	6	1
2	1	5/2	5/2	1.0		1/2	1/2	2/2	2	1	1/4			1/4	1		-1	53	F3	3	7
2	1	5/2	5/2	1.0		1/2	1/2	2/2	2	1	1/4			1/4	1		-2	58	Bb3	3	7
2	1	5/2	5/2	1.0		1/2	1/2	2/2	2	1	1/4			1/4	1		2	62	D4	4	7
2	1	5/2	5/2	1.0		1/2	1/2	2/2	1	1	1/4			1/4	1		2	74	D5	5	2
2	1	5/2	5/2	1.0		1/2	1/2	2/2	1	1	1/4			1/4	1		-1	77	F5	5	2
2	1	5/2	5/2	1.0		1/2	1/2	2/2	1	1	1/4			1/4	1		-2	82	Bb5	5	2
2	1	5/2	5/2	1.0		1/2	1/2	2/2	1	1	1/4			1/4	1		2	86	D6	6	2
2	1	7/2	7/2	0.5		3/4	3/4	2/2	2	1	1/8			1/8	1		-1	53	F3	3	8
2	1	7/2	7/2	0.5		3/4	3/4	2/2	2	1	1/8			1/8	1		-2	58	Bb3	3	8
2	1	7/2	7/2	0.5		3/4	3/4	2/2	2	1	1/8			1/8	1		2	62	D4	4	8
2	1	7/2	7/2	0.5		3/4	3/4	2/2	1	1	1/8			1/8	1		2	74	D5	5	3
