mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0		0	0	3/4	2	2	1/4		1/4	1		0	36	C2	2	3
1	1	0	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	0
1	1	1	1.0		1/4	1/4	3/4	2	2	1/4		1/4	1		-3	39	Eb2	2	4
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	1
1	1	2	1.0		1/2	1/2	3/4	2	2	1/4		1/4	1		1	43	G2	2	5
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	2
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	9
2	2	3	1.0		0	0	3/4	1	1	1/4		1/4	1		0	60	C4	4	6
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	10
2	2	4	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-3	63	Eb4	4	7
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	11
2	2	5	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	8
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		0	60	C4	4	15
3	3	6	1.0		0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	12
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	16
3	3	7	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	13
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	17
3	3	8	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	14
4	4	9	1.0		0	0	3/4	2	1	1/4		1/4	1		5	59	B3	3	21
4	4	9	1.0		0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	18
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	22
4	4	10	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	19
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	23
4	4	11	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	20
5	5	12	1.0		0	0	3/4	2	1	1/4		1/4	1		5	47	B2	2	27
5	5	12	1.0		0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	24
5	5	13	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	28
5	5	13	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		2	62	D4	4	25
5	5	14	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	29
5	5	14	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		5	59	B3	3	26
6	6	15	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	33
6	6	15	1.0		0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	30
6	6	16	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	34
6	6	16	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		2	62	D4	4	31
6	6	17	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	35
6	6	17	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-2	58	Bb3	3	32
7	7	18	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	39
7	7	18	1.0		0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	36
7	7	19	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	40
7	7	19	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	37
7	7	20	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	41
7	7	20	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	38
8	8	21	1.0		0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	45
8	8	21	1.0		0	0	3/4	1	1	1/4		1/4	1		-1	77	F5	5	42
8	8	22	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	46
8	8	22	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	43
8	8	23	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	47
8	8	23	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	44
9	9	24	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	51
9	9	24	1.0		0	0	3/4	1	1	1/4		1/4	1		-1	65	F4	4	48
9	9	25	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	48	C3	3	52
9	9	25	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	60	C4	4	49
9	9	26	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	53
9	9	26	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		3	57	A3	3	50
10	10	27	1.0		0	0	3/4	2	1	1/4		1/4	1		-4	44	Ab2	2	57
10	10	27	1.0		0	0	3/4	1	1	1/4		1/4	1		-1	65	F4	4	54
10	10	28	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	48	C3	3	58
10	10	28	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	60	C4	4	55
10	10	29	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	59
10	10	29	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-4	56	Ab3	3	56
11	11	30	1.0		0	0	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	63
11	11	30	1.0		0	0	3/4	1	1	1/4		1/4	1		-1	77	F5	5	60
11	11	31	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	64
11	11	31	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	61
11	11	32	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	65
11	11	32	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	62
12	12	33	1.0		0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	69
12	12	33	1.0		0	0	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	66
12	12	34	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	70
12	12	34	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	67
12	12	35	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	71
12	12	35	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	68
13	13	36	1.0		0	0	3/4	2	1	1/4		1/4	1		0	36	C2	2	75
13	13	36	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	75
13	13	36	1.0		0	0	3/4	1	1	1/4		1/4	1		-3	63	Eb4	4	72
13	13	36	1.0		0	0	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	72
13	13	37	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	43	G2	2	76
13	13	37	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	73
13	13	38	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	45	A2	2	77
13	13	38	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	74
14	14	39	1.0		0	0	3/4	2	1	1/4		1/4	1		2	38	D2	2	81
14	14	39	1.0		0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	81
14	14	39	1.0		0	0	3/4	1	1	1/4		1/4	1		2	62	D4	4	78
14	14	39	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	78
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	43	G2	2	82
14	14	40	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	79
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	83
14	14	41	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	80
15	15	42	1.0		0	0	3/4	2	1	1/4		1/4	1		2	38	D2	2	87
15	15	42	1.0		0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	87
15	15	42	1.0		0	0	3/4	1	1	1/4		1/4	1		2	62	D4	4	84
15	15	42	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	84
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		6	42	F#2	2	88
15	15	43	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	85
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	45	A2	2	89
15	15	44	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		6	66	F#4	4	86
16	16	45	1.0		0	0	3/4	2	1	1/4		1/4	1		1	31	G1	1	91
16	16	45	1.0		0	0	3/4	2	1	1/4		1/4	1		1	43	G2	2	91
16	16	45	1.0		0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	90
16	16	46	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	39	Eb2	2	92
16	16	47	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	38	D2	2	93
17	17	48	1.0		0	0	3/4	2	2	1/4		1/4	1		0	36	C2	2	97
17	17	48	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	94
17	17	49	1.0		1/4	1/4	3/4	2	2	1/4		1/4	1		-3	39	Eb2	2	98
17	17	49	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	95
17	17	50	1.0		1/2	1/2	3/4	2	2	1/4		1/4	1		1	43	G2	2	99
17	17	50	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	96
18	18	51	1.0		0	0	3/4	2	1	1/4		1/4	1		1	31	G1	1	101
18	18	51	1.0		0	0	3/4	2	1	1/4		1/4	1		1	43	G2	2	101
18	18	51	1.0		0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	100
18	18	52	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	41	F2	2	102
18	18	53	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	40	E2	2	103
19	19	54	1.0		0	0	3/4	2	2	1/4		1/4	1		-5	37	Db2	2	107
19	19	54	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	104
19	19	55	1.0		1/4	1/4	3/4	2	2	1/4		1/4	1		-1	41	F2	2	108
19	19	55	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	105
19	19	56	1.0		1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	109
19	19	56	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-5	49	Db3	3	106
20	20	57	1.0		0	0	3/4	2	2	1/4		1/4	1		0	36	C2	2	113
20	20	57	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	110
20	20	58	1.0		1/4	1/4	3/4	2	2	1/4		1/4	1		4	40	E2	2	114
20	20	58	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	111
20	20	59	1.0		1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	115
20	20	59	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	112
21	21	60	1.0		0	0	3/4	2	1	1/4		1/4	1		4	40	E2	2	119
21	21	60	1.0		0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	116
21	21	61	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	43	G2	2	120
21	21	61	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		1	67	G4	4	117
21	21	62	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	121
21	21	62	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	118
22	22	63	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	125
22	22	63	1.0		0	0	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	122
22	22	64	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-4	44	Ab2	2	126
22	22	64	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	123
22	22	65	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	127
22	22	65	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	124
23	23	66	1.0		0	0	3/4	2	2	1/4		1/4	1		0	36	C2	2	131
23	23	66	1.0		0	0	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	128
23	23	67	1.0		1/4	1/4	3/4	2	2	1/4		1/4	1		-3	39	Eb2	2	132
23	23	67	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	129
23	23	68	1.0		1/2	1/2	3/4	2	2	1/4		1/4	1		-4	44	Ab2	2	133
23	23	68	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	130
24	24	69	1.0		0	0	3/4	2	2	1/4		1/4	1		5	35	B1	1	137
24	24	69	1.0		0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	134
24	24	70	1.0		1/4	1/4	3/4	2	2	1/4		1/4	1		2	38	D2	2	138
24	24	70	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	135
24	24	71	1.0		1/2	1/2	3/4	2	2	1/4		1/4	1		1	43	G2	2	139
