mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	3/8		1/4	3/2		0	48		4
1	1	0	0	3/4	2	1	3/8		1/4	3/2		-3	51		4
1	1	0	0	3/4	2	1	3/8		1/4	3/2		1	55		4
1	1	0	0	3/4	2	1	3/8		1/4	3/2		0	60		4
1	1	0	0	3/4	1	1	3/8		1/4	3/2		-3	63		0
1	1	0	0	3/4	1	1	3/8		1/4	3/2		1	67		0
1	1	0	0	3/4	1	1	3/8		1/4	3/2		0	72		0
1	1	7/16	7/16	3/4	1	1	1/16		1/16	1		1	67		1
1	1	1/2	1/2	3/4	1	1	3/16		1/8	3/2		-3	75		2
1	1	11/16	11/16	3/4	1	1	1/16		1/16	1		0	72		3
2	2	0	0	3/4	1	1	3/16		1/8	3/2		1	79		5
2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		-3	75		6
2	2	1/4	1/4	3/4	1	1	3/16		1/8	3/2		0	84		7
2	2	7/16	7/16	3/4	1	1	1/16		1/16	1		1	79		8
2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	87		9
3	3	0	0	3/4	1	1	1/4		1/4	1		-3	87		10
3	3	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		12
3	3	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63		12
3	3	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67		11
3	3	1/2	1/2	3/4	1	1	1/4		1/4	1		0	72		11
4	4	0	0	3/4	2	1	1/2		1/2	1		0	60		15
4	4	0	0	3/4	2	1	1/2		1/2	1		-3	63		15
4	4	0	0	3/4	1	1	1/2		1/2	1		1	67		13
4	4	0	0	3/4	1	1	1/2		1/2	1		0	72		13
4	4	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		16
4	4	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65		16
4	4	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67		14
4	4	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		14
5	5	0	0	3/4	2	1	3/8		1/4	3/2		2	50		21
5	5	0	0	3/4	2	1	3/8		1/4	3/2		-1	53		21
5	5	0	0	3/4	2	1	3/8		1/4	3/2		-4	56		21
5	5	0	0	3/4	2	1	3/8		1/4	3/2		5	59		21
5	5	0	0	3/4	2	1	3/8		1/4	3/2		2	62		21
5	5	0	0	3/4	1	1	3/8		1/4	3/2		-1	65		17
5	5	0	0	3/4	1	1	3/8		1/4	3/2		-4	68		17
5	5	0	0	3/4	1	1	3/8		1/4	3/2		5	71		17
5	5	7/16	7/16	3/4	1	1	1/16		1/16	1		5	71		18
5	5	1/2	1/2	3/4	1	1	3/16		1/8	3/2		-1	77		19
5	5	11/16	11/16	3/4	1	1	1/16		1/16	1		2	74		20
6	6	0	0	3/4	1	1	3/16		1/8	3/2		5	83		22
6	6	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77		23
6	6	1/4	1/4	3/4	1	1	3/16		1/8	3/2		2	86		24
6	6	7/16	7/16	3/4	1	1	1/16		1/16	1		5	83		25
6	6	1/2	1/2	3/4	1	1	1/4		1/4	1		-1	89		26
7	7	0	0	3/4	1	1	1/4		1/4	1		-1	89		27
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		29
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65		29
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	68		29
7	7	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		28
7	7	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		28
8	8	0	0	3/4	2	1	1/2		1/2	1		2	62		32
8	8	0	0	3/4	2	1	1/2		1/2	1		-1	65		32
8	8	0	0	3/4	2	1	1/2		1/2	1		-4	68		32
8	8	0	0	3/4	1	1	1/2		1/2	1		5	71		30
8	8	0	0	3/4	1	1	1/2		1/2	1		2	74		30
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63		33
