mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	4	2/4	1/4	1/4		1			firstMeasure	2
2	1	1	2.0	4	2/4	1/2	0						3
3	2	3	2.0	4	2/4	1/2	0						4
4	3	5	2.0	4	2/4	1/2	0						5
5	4	7	2.0	4	2/4	1/2	0						6
6	5	9	2.0	4	2/4	1/2	0						7
7	6	11	2.0	4	2/4	1/2	0						8
8	7	13	2.0	4	2/4	1/2	0						9
9	8	15	2.0	4	2/4	1/2	0			double			10
10	9	17	3.0	4	3/4	3/4	0						11
11	10	20	3.0	4	3/4	3/4	0						12
12	11	23	3.0	4	3/4	3/4	0						13
13	12	26	3.0	4	3/4	3/4	0						14
14	13	29	3.0	4	3/4	3/4	0						15
15	14	32	3.0	4	3/4	3/4	0						16
16	15	35	5.0	4	3/4	5/4	0						17
17	15	40	1.0	4	2/4	1/4	0		1				18
18	16	41	2.0	4	2/4	1/2	0						19
19	17	43	2.0	4	2/4	1/2	0						20
20	18	45	2.0	4	2/4	1/2	0						21
21	19	47	2.0	4	2/4	1/2	0						22
22	20	49	2.0	4	2/4	1/2	0						23
23	21	51	2.0	4	2/4	1/2	0						24
24	22	53	2.0	4	2/4	1/2	0						25
25	23	55	2.0	4	2/4	1/2	0						26
26	24	57	2.0	4	2/4	1/2	0						27
27	25	59	2.0	4	2/4	1/2	0						28
28	26	61	2.0	4	2/4	1/2	0						29
29	27	63	2.0	4	2/4	1/2	0						30
30	28	65	2.0	4	2/4	1/2	0						31
31	29	67	2.0	4	2/4	1/2	0						32
32	30	69	2.0	4	2/4	1/2	0						33
33	31	71	2.0	4	2/4	1/2	0						34
34	32	73	2.0	4	2/4	1/2	0						35
35	33	75	2.0	4	2/4	1/2	0						36
36	34	77	2.0	4	2/4	1/2	0						37
37	35	79	2.0	4	2/4	1/2	0						38
38	36	81	2.0	4	2/4	1/2	0						39
39	37	83	2.0	4	2/4	1/2	0						40
40	38	85	2.0	4	2/4	1/2	0						41
41	39	87	2.0	4	2/4	1/2	0						42
42	40	89	2.0	4	2/4	1/2	0						43
43	41	91	2.0	4	2/4	1/2	0						44
44	42	93	2.0	4	2/4	1/2	0						45
45	43	95	2.0	4	2/4	1/2	0						46
46	44	97	2.0	4	2/4	1/2	0						47
47	45	99	2.0	4	2/4	1/2	0						48
48	46	101	2.0	4	2/4	1/2	0						49
49	47	103	2.0	4	2/4	1/2	0						50
50	48	105	2.0	4	2/4	1/2	0						51
51	49	107	2.0	4	2/4	1/2	0						52
52	50	109	2.0	4	2/4	1/2	0						53
53	51	111	2.0	4	2/4	1/2	0						54
54	52	113	2.0	4	2/4	1/2	0						55
55	53	115	2.0	4	2/4	1/2	0						56
56	54	117	2.0	4	2/4	1/2	0						57
57	55	119	2.0	4	2/4	1/2	0						58
58	56	121	2.0	4	2/4	1/2	0						59
59	57	123	2.0	4	2/4	1/2	0			double			60
60	58	125	3.0	4	3/4	3/4	0						61
61	59	128	3.0	4	3/4	3/4	0						62
62	60	131	3.0	4	3/4	3/4	0						63
63	61	134	3.0	0	3/4	3/4	0						64
64	62	137	3.0	0	3/4	3/4	0						65
65	63	140	3.0	4	3/4	3/4	0						66
66	64	143	1.5	4	3/4	3/8	0				line		67
67	64	289/2	1.5	4	3/4	3/8	3/8		1				68
68	65	146	3.0	4	3/4	3/4	0				line		69
69	65	149	2.0	4	2/4	1/2	0		1				70
70	66	151	2.0	4	2/4	1/2	0						71
71	67	153	2.0	4	2/4	1/2	0						72
72	68	155	2.0	4	2/4	1/2	0						73
73	69	157	2.0	4	2/4	1/2	0						74
74	70	159	2.0	4	2/4	1/2	0						75
75	71	161	2.0	4	2/4	1/2	0						76
76	72	163	2.0	4	2/4	1/2	0						77
77	73	165	2.0	4	2/4	1/2	0						78
78	74	167	2.0	4	2/4	1/2	0						79
79	75	169	2.0	4	2/4	1/2	0						80
80	76	171	2.0	4	2/4	1/2	0						81
81	77	173	2.0	4	2/4	1/2	0						82
82	78	175	2.0	4	2/4	1/2	0						83
83	79	177	2.0	4	2/4	1/2	0						84
84	80	179	2.0	4	2/4	1/2	0						85
85	81	181	2.0	4	2/4	1/2	0						86
86	82	183	2.0	4	2/4	1/2	0						87
87	83	185	2.0	4	2/4	1/2	0						88
88	84	187	2.0	4	2/4	1/2	0						89
89	85	189	2.0	4	2/4	1/2	0						90
90	86	191	2.0	4	2/4	1/2	0						91
91	87	193	2.0	4	2/4	1/2	0						92
92	88	195	2.0	4	2/4	1/2	0						93
93	89	197	2.0	4	2/4	1/2	0						94
94	90	199	2.0	4	2/4	1/2	0						95
95	91	201	2.0	4	2/4	1/2	0						96
96	92	203	2.0	4	2/4	1/2	0						97
97	93	205	2.0	4	2/4	1/2	0						98
98	94	207	2.0	4	2/4	1/2	0						99
99	95	209	2.0	4	2/4	1/2	0						100
100	96	211	2.0	4	2/4	1/2	0						101
101	97	213	2.0	4	2/4	1/2	0						102
102	98	215	2.0	4	2/4	1/2	0						103
103	99	217	1.0	4	2/4	1/4	0			double		lastMeasure	-1
